Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
IRF7,0.418669640308853,1.23900672879257e-54,2.04411330116198e-50,0.656779,0.238109,0.491729,0.19802
MX1,0.415779884352471,6.47203019551993e-53,5.33877770828439e-49,0.627745,0.211965,0.443609,0.165711
COX5A,-0.394459057155979,2.94675089908882e-46,1.62051654443891e-42,1.397101,1.79156,0.819549,0.922355
PFN1,-0.228972826245055,2.36054744344477e-41,9.73607793048794e-38,2.176257,2.40523,0.966917,0.986972
ANP32B,-0.337344559382172,1.8163056683455e-37,5.99308218327282e-34,1.481639,1.818984,0.854135,0.93851
PTPRCAP,0.233924134987372,6.9750051135908e-35,1.91789390606702e-31,0.320743,0.086819,0.26015,0.08025
TIGIT,0.382825860779808,3.31178956199494e-33,7.8054148848275e-30,0.681695,0.298869,0.437594,0.194372
ISG15,0.346802020124408,4.23301397778863e-33,8.72953307569459e-30,0.653451,0.306649,0.476692,0.249088
SYNE2,0.353215555146171,3.27144000615304e-32,5.99691302461254e-29,0.692243,0.339027,0.508271,0.270974
MRPL41,-0.361709917515465,1.49953653274449e-31,2.33326250461017e-28,0.980041,1.34175,0.706767,0.826472
UQCRFS1,-0.363340309538934,1.55569690572869e-31,2.33326250461017e-28,0.7789,1.142241,0.640602,0.761334
AC017002.1,0.205269123489483,2.32243977493354e-30,3.19296761723779e-27,0.295243,0.089974,0.255639,0.081813
IFI6,0.320220162950499,4.12112110618799e-30,5.23001969306842e-27,0.595122,0.274902,0.445113,0.21678
MAF,0.249238039082713,1.26633070439488e-28,1.4922802829362e-25,0.398397,0.149159,0.312782,0.12246
FTH1,-0.247415974747526,1.64302193812347e-28,1.80710506234406e-25,1.948521,2.195937,0.929323,0.977071
EIF5A,-0.257963366094222,4.90865561277902e-28,5.06143751872676e-25,1.932902,2.190865,0.911278,0.963523
RNF213,0.391723467913563,6.6221593556596e-28,6.42661088527483e-25,1.35681,0.965086,0.827068,0.655029
HNRNPAB,-0.354541120885568,2.48572317496088e-27,2.27830338558359e-24,1.055049,1.40959,0.703759,0.824909
GAPDH,-0.134723443469563,1.39501789932203e-26,1.21131606857973e-23,2.667244,2.801967,0.98797,0.996352
GIMAP7,0.336813559524977,2.38889711238742e-26,1.97060122800838e-23,0.72436,0.387546,0.511278,0.30641
HMGN1,-0.311855704486391,3.29498541000995e-26,2.58860329973067e-23,1.146953,1.458809,0.777444,0.869724
JTB,-0.285252528737096,1.09883409196411e-25,8.24025674964719e-23,1.468288,1.753541,0.83609,0.92444
MCUR1,-0.262911291835668,7.83978272022886e-25,5.62351023123199e-22,0.197604,0.460515,0.213534,0.399166
RPS2,-0.143152665822141,3.64769524971743e-24,2.50748650957659e-21,2.431689,2.574842,0.984962,0.994268
JAK1,0.264260465039808,1.11240911122569e-23,7.34101020680054e-21,0.516656,0.252395,0.401504,0.218343
XAF1,0.205747405822267,4.99129919403969e-23,3.16717131166411e-20,0.329838,0.12409,0.26015,0.103179
AC092580.4,0.177719240914344,6.21662796233262e-23,3.79858993046532e-20,0.249472,0.071752,0.171429,0.0568
