Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
SPATS2L,0.493130452908713,8.50582456911013e-05,0.460124875588999,0.652487,0.159356,0.395349,0.102564
HTT,0.45008595311791,0.000151250666951333,0.460124875588999,0.539878,0.089792,0.302326,0.051282
CD63,0.657349320345148,0.000191355415088415,0.460124875588999,1.35051,0.693161,0.72093,0.384615
FBXO21,0.466750600079233,0.000237571987495762,0.460124875588999,0.619679,0.152928,0.348837,0.102564
CEBPD,0.350807198969182,0.000279825381206818,0.460124875588999,0.368648,0.017841,0.186047,0.012821
CXCR6,0.72587193579779,0.000288184267648779,0.460124875588999,1.361318,0.635446,0.651163,0.307692
PIM1,0.56716585500509,0.000316856289802981,0.460124875588999,0.905177,0.338011,0.465116,0.217949
GNG2,0.560236130893835,0.000323547420647973,0.460124875588999,0.881073,0.320837,0.488372,0.179487
TMIGD2,0.557534089704035,0.00038752876749926,0.489879420871008,0.740454,0.18292,0.348837,0.089744
SGTA,-0.38477476796865,0.000780655141062798,0.718753650408444,0.056356,0.44113,0.046512,0.294872
GOLGA8B,0.3075307564289,0.000973261133211221,0.718753650408444,0.335487,0.027956,0.186047,0.012821
ARHGAP35,0.371688161993851,0.000985612194532324,0.718753650408444,0.463318,0.09163,0.255814,0.051282
CTDNEP1,0.453155548642203,0.00110893253834463,0.718753650408444,0.691938,0.238783,0.395349,0.153846
C20orf24,0.347031791933818,0.0011361049354452,0.718753650408444,0.45619,0.109158,0.27907,0.076923
HMHA1,0.445168803188868,0.00118306631017085,0.718753650408444,0.651918,0.206749,0.372093,0.115385
CERK,0.283678652704224,0.0012316804922366,0.718753650408444,0.338149,0.05447,0.209302,0.051282
ZNF480,0.259790847254567,0.00135553128212513,0.718753650408444,0.271235,0.011444,0.139535,0.012821
HADH,-0.336441643869301,0.00136454367520976,0.718753650408444,0.028271,0.364713,0.023256,0.24359
MVD,0.386162365058667,0.00141766011405256,0.718753650408444,0.517357,0.131194,0.27907,0.089744
NOC2L,-0.456555524288932,0.00149767042557768,0.718753650408444,0.219063,0.675619,0.162791,0.423077
STK17A,0.48609110579721,0.00158578319263392,0.718753650408444,0.730541,0.24445,0.372093,0.128205
ATP6AP1,0.338250811532202,0.00158585045908522,0.718753650408444,0.469285,0.131034,0.302326,0.102564
B9D2,0.231312843220676,0.00161731243730736,0.718753650408444,0.243042,0.011729,0.139535,0.012821
LMBR1L,0.230053394339805,0.0016541871746461,0.718753650408444,0.230053,0,0.139535,0
ECH1,0.231180877648583,0.00166327976442529,0.718753650408444,0.261283,0.030102,0.186047,0.025641
RNF10,0.427728800241906,0.00174120994440857,0.718753650408444,0.635867,0.208139,0.372093,0.115385
CAPNS1,0.416943528713324,0.00177318517069904,0.718753650408444,0.656349,0.239406,0.418605,0.141026
SMC6,0.330520605287455,0.00181550818629143,0.718753650408444,0.445758,0.115237,0.27907,0.089744
GIMAP4,0.459102203075418,0.00189662274763803,0.718753650408444,0.704894,0.245792,0.372093,0.141026
GSE1,0.174312741257424,0.00198264806528387,0.718753650408444,0.174313,0,0.116279,0
CTCF,0.344723006516038,0.00200247863458285,0.718753650408444,0.436875,0.092152,0.255814,0.051282
SCAND1,0.519465570764024,0.00211128553144403,0.718753650408444,1.099821,0.580356,0.604651,0.346154
RREB1,0.200095578681591,0.00212214164213401,0.718753650408444,0.200096,0,0.116279,0
WDR7,0.262886949039032,0.00219695005354156,0.718753650408444,0.292457,0.02957,0.162791,0.025641
ITPRIPL1,0.308805545953035,0.00228533148701838,0.718753650408444,0.386731,0.077926,0.232558,0.051282
PLAUR,0.19943303562874,0.0023175614025057,0.718753650408444,0.199433,0,0.116279,0
PSMA2,0.164660168248554,0.00233751297047661,0.718753650408444,0.16466,0,0.116279,0
IL7R,0.613193422929119,0.00249462547851855,0.727727182378884,1.123115,0.509922,0.465116,0.25641
NSL1,0.394535905417759,0.00249462600973688,0.727727182378884,0.642178,0.247642,0.395349,0.166667
GZMK,0.549646096813871,0.00262180706245379,0.730833480758246,0.863909,0.314263,0.372093,0.141026
CYB561A3,0.274519329598495,0.0027730871149966,0.730833480758246,0.333895,0.059376,0.209302,0.038462
TRMT6,-0.414246822547969,0.00281016380684,0.730833480758246,0.174505,0.588752,0.139535,0.358974
OSBPL2,0.238679131796194,0.00281364168483127,0.730833480758246,0.238679,0,0.116279,0
YWHAQ,-0.550079714455772,0.00287557360949839,0.730833480758246,1.04128,1.59136,0.534884,0.769231
ANP32B,-0.539507685101451,0.00295385485172913,0.730833480758246,0.821467,1.360975,0.465116,0.692308
TSTD2,0.165286452271218,0.00298240363728317,0.730833480758246,0.165286,0,0.116279,0
FAM172A,0.259752725979083,0.00304635821229047,0.730833480758246,0.278745,0.018992,0.139535,0.012821
VEGFB,0.289648448489717,0.0030834145272388,0.730833480758246,0.33917,0.049522,0.186047,0.025641
WDR59,0.170785330062689,0.00328935720444901,0.763735039081967,0.170785,0,0.116279,0
VPS52,0.226620628176947,0.00340916798866697,0.775722084141283,0.241125,0.014505,0.139535,0.012821
DENND4C,0.352760420928914,0.0036141837393471,0.806246439265724,0.501203,0.148443,0.27907,0.102564
APOL2,0.228734579055026,0.00394544800412457,0.823457471362898,0.271762,0.043027,0.186047,0.025641
DUS1L,0.278353594958818,0.00400535674397237,0.823457471362898,0.358695,0.080341,0.209302,0.064103
FLI1,0.318310062765862,0.00434205924319013,0.823457471362898,0.429339,0.111029,0.255814,0.064103
DPH2,-0.350318720743069,0.00443932844869613,0.823457471362898,0.126515,0.476834,0.093023,0.307692
BCL2L13,0.226503414132443,0.00456570506376333,0.823457471362898,0.274382,0.047878,0.186047,0.038462
C12orf75,0.328922050938979,0.00466949860471103,0.823457471362898,0.422289,0.093367,0.209302,0.051282
AASDHPPT,-0.420731776373402,0.00469194715558083,0.823457471362898,0.269967,0.690699,0.186047,0.423077
HNRNPH2,0.231353546688794,0.00493739007146257,0.823457471362898,0.254826,0.023473,0.139535,0.012821
ADSS,-0.466867732411704,0.00495966171136813,0.823457471362898,0.418147,0.885014,0.255814,0.5
ZNF600,0.166030443311804,0.00499003226984302,0.823457471362898,0.176925,0.010894,0.116279,0.012821
LYRM2,-0.37048153615666,0.00505541689382719,0.823457471362898,0.136029,0.506511,0.093023,0.307692
CTA-29F11.1,0.258033004308927,0.00506063538345487,0.823457471362898,0.306371,0.048338,0.162791,0.038462
SMPD4,0.321020413667728,0.00507678412969604,0.823457471362898,0.474687,0.153667,0.302326,0.102564
