Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.400670203916723,1.65192655035772e-38,2.64192613198711e-34,2.144129,1.743459,0.979408,0.900609
IGHM,0.547952730208858,4.78281182839141e-37,3.82457547857319e-33,1.994817,1.446864,0.954955,0.738337
PRELID1,-0.571517920172983,4.82871319305386e-34,2.57418700321701e-30,0.863589,1.435107,0.625483,0.744422
TESC,-0.33061051627929,3.79025414919019e-32,1.51543836519997e-28,0.048887,0.379498,0.048906,0.275862
IFI44L,0.502344799589588,2.45378925870982e-30,7.84869032290922e-27,0.671265,0.16892,0.446589,0.121704
C17orf89,-0.450022253492225,9.99217338518808e-29,2.66341381582188e-25,0.460976,0.910998,0.431145,0.586207
TRAF4,-0.313375784072049,6.36174838671383e-27,1.45347774212449e-23,0.154902,0.468278,0.191763,0.403651
PTPRCAP,0.47611796601449,1.01341181536943e-26,2.02593689540041e-23,1.156144,0.680026,0.770914,0.523327
BOP1,-0.303216350361239,1.36099577312126e-26,2.41848948883649e-23,0.187292,0.490509,0.229086,0.440162
ZYX,-0.347101117268592,2.19849254297783e-25,3.21538074464035e-22,0.237024,0.584125,0.239382,0.482759
ATP5D,-0.495790069770709,2.21154181148276e-25,3.21538074464035e-22,0.637973,1.133763,0.501931,0.63286
PTGES2,-0.368341711784454,5.08409749865989e-25,6.77583094133896e-22,0.318431,0.686773,0.320463,0.517241
CRELD2,-0.318649682096925,6.36802910064785e-25,7.83414533897393e-22,0.215774,0.534424,0.252252,0.448276
STUB1,-0.36787237612616,7.74102081259925e-25,8.84301041827856e-22,0.316816,0.684688,0.30888,0.523327
IGHD,0.429309219821475,1.28397469246351e-24,1.30458293585327e-21,0.758351,0.329042,0.571429,0.294118
PPIF,-0.380815323021525,1.30515394070233e-24,1.30458293585327e-21,0.380841,0.761656,0.374517,0.527383
LGALS9,0.377101685914335,1.13122469399534e-23,1.03593541678444e-20,0.629144,0.252042,0.513514,0.229209
IFITM1,0.476540940839048,1.16593744151315e-23,1.03593541678444e-20,1.587352,1.110811,0.863578,0.685598
IGHA2,-0.454526529676534,3.5526992177743e-23,2.99043782051918e-20,0.256969,0.711495,0.176319,0.403651
GET4,-0.215418885932351,8.21463158614688e-23,6.56883014786235e-20,0.06358,0.278999,0.060489,0.294118
PDF,-0.201475024247135,3.08836487665152e-22,2.35201045106132e-19,0.074848,0.276323,0.101673,0.294118
NFKBIA,-0.427274439478777,1.20848377497649e-21,8.7851277332723e-19,1.222538,1.649812,0.803089,0.849899
JCHAIN,-0.469563715430424,2.19013647361326e-21,1.52290663576073e-18,0.381155,0.850719,0.259974,0.486815
KDELR2,-0.352337125601956,4.43557716421406e-21,2.95575773280314e-18,0.372646,0.724984,0.355212,0.541582
