Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.798942575285071,2.2052341701416e-20,3.0088215017412e-16,2.181578,1.382635,0.888252,0.562044
MT-CO2,-0.146141787682117,8.22340070963435e-17,5.61000396411255e-13,3.191246,3.337388,1,1
PTPRCAP,0.630482615400437,3.70592984756838e-16,1.6854568946741e-12,0.871373,0.24089,0.406877,0.10219
MT-CO1,-0.143935020870047,7.93208341784419e-16,2.70563365382665e-12,3.20286,3.346796,1,1
MTRNR2L12,-0.255615144720579,4.49124924535367e-14,1.22557209407211e-10,2.97475,3.230365,0.988539,0.99635
RPS18,-0.184286116120098,1.75556002614707e-13,3.56641217918192e-10,2.896422,3.080708,0.988539,1
RPL10,-0.13684146190047,2.07592150219914e-13,3.56641217918192e-10,3.055003,3.191844,1,1
MT-ND5,-0.261507261293819,2.18445682166029e-13,3.56641217918192e-10,2.747966,3.009473,0.974212,0.99635
RPS12,-0.146730440378944,2.35251463006723e-13,3.56641217918192e-10,3.085558,3.232288,0.997135,1
MT-CYB,-0.142585531521302,3.79356602873935e-13,5.17594148961197e-10,3.020771,3.163357,1,1
MT-CO3,-0.132657698099688,5.86994162197325e-13,7.280862135473e-10,3.057965,3.190623,1,1
RPL13,-0.139034139699378,2.01152739972993e-12,2.28710665349293e-09,3.049206,3.18824,1,0.99635
MT-ATP6,-0.150759936710421,2.23196056858103e-11,2.34252846136305e-08,2.99915,3.14991,0.997135,0.99635
RPS3,-0.131638450972412,7.4030096338109e-11,7.21476167455113e-08,3.00272,3.134359,1,0.99635
RP11-290D2.6,-0.592744791678258,2.67889221405594e-10,2.43672035790529e-07,0.607667,1.200411,0.280802,0.467153
RPL19,-0.122422329586088,2.86689917850126e-10,2.44474827446695e-07,2.947051,3.069473,0.997135,1
RPS4X,-0.160591279059405,6.13583328350484e-10,4.69093967441117e-07,2.815499,2.976091,0.991404,0.99635
GABARAP,0.5629073705969,6.18857476835247e-10,4.69093967441117e-07,1.502933,0.940026,0.684814,0.40146
TNFAIP3,0.579874524653096,7.80429896975405e-10,5.60430816543812e-07,1.576237,0.996362,0.69341,0.408759
PET100,0.485671529021203,1.35293156448297e-09,9.22969913290281e-07,0.875174,0.389502,0.418338,0.175182
RPLP1,-0.134386931074944,3.71782769909983e-09,2.41552576792943e-06,3.108215,3.242602,0.997135,0.99635
TPT1,-0.159508486718861,4.11718557506573e-09,2.55340363573622e-06,2.916366,3.075875,0.994269,0.992701
IFI44L,0.371554147891004,4.44112684339902e-09,2.63455368049288e-06,0.485921,0.114366,0.223496,0.047445
EEF1A1,-0.1187006750999,8.01338818313861e-09,4.5556111821143e-06,3.144258,3.262959,1,0.99635
IER2,0.499688564764917,8.92674582346404e-09,4.87186080061373e-06,1.033308,0.53362,0.47851,0.233577
