Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.899138347980039,2.58786014419789e-16,3.39708401128857e-12,2.028011,1.128872,0.830986,0.510638
ZFP36L2,0.858882952839116,1.13935528177159e-12,5.1155155231541e-09,1.406814,0.547931,0.591549,0.248227
CENPM,-0.299929975210019,1.16908254509502e-12,5.1155155231541e-09,0.014516,0.314446,0.010563,0.191489
UHRF1,-0.400640525177587,1.60745498594418e-11,5.2752654001223e-08,0.054473,0.455114,0.03169,0.22695
TK1,-0.263478340817169,6.66310600125376e-10,1.74933184956916e-06,0.021524,0.285002,0.014085,0.170213
GINS2,-0.348524719411207,9.17799899074051e-10,2.00799321252418e-06,0.075403,0.423927,0.045775,0.234043
JUN,0.717492160897978,3.32058068744195e-09,6.22703752629293e-06,1.648671,0.931178,0.690141,0.404255
RRM2,-0.300796441036485,5.41495276618653e-09,8.88526062021633e-06,0.027587,0.328383,0.017606,0.148936
ZNF683,0.744455158775972,6.24541951095844e-09,9.1092913244835e-06,1.552631,0.808176,0.626761,0.312057
TYMS,-0.242401185098579,3.5326936992345e-08,4.63736701898513e-05,0.042211,0.284612,0.024648,0.184397
LTA,-0.457511151165005,6.7795522506293e-08,8.02542984197409e-05,0.189698,0.647209,0.080986,0.276596
CDCA5,-0.19259609791523,7.4849988306724e-08,8.02542984197409e-05,0.020336,0.212932,0.017606,0.134752
MTHFD2,-0.427316545377351,8.33822209573918e-08,8.02542984197409e-05,0.213168,0.640484,0.105634,0.312057
TOP2A,-0.172996869213799,8.55915424603011e-08,8.02542984197409e-05,0.004258,0.177255,0.003521,0.106383
CENPW,-0.162080858023704,9.8963387788418e-08,8.66061594332375e-05,0.012409,0.17449,0.010563,0.12766
DHFR,-0.257284592616428,1.06712866792812e-07,8.75512376493273e-05,0.057634,0.314918,0.038732,0.184397
EZH2,-0.207208489171395,1.28729026294849e-07,9.94015251866167e-05,0.027591,0.2348,0.017606,0.156028
CLSPN,-0.254711838050056,1.5073947102377e-07,0.000109930946451613,0.055799,0.31051,0.035211,0.177305
SLC43A3,-0.23426119794606,1.67706844799912e-07,0.000115867776404655,0.043281,0.277542,0.028169,0.170213
CENPK,-0.242946243476063,1.94143491817014e-07,0.000127426080854097,0.058074,0.30102,0.042254,0.191489
ZBED2,-0.307726353639109,2.53158732872179e-07,0.000158248318400624,0.081933,0.389659,0.042254,0.191489
CD52,0.525855636378767,2.86626573203264e-07,0.000171024864838148,2.274815,1.748959,0.887324,0.716312
NDFIP2,-0.288466182681852,3.38911873725759e-07,0.000184976213371201,0.088844,0.37731,0.049296,0.22695
MT-ND3,0.156971417985919,3.42682248747306e-07,0.000184976213371201,2.991756,2.834784,1,1
PKMYT1,-0.182988149947594,3.52281963455476e-07,0.000184976213371201,0.022901,0.205889,0.017606,0.134752
CDKN3,-0.147611121583707,6.21473153297309e-07,0.000313772233974376,0.013302,0.160913,0.010563,0.120567
CHEK1,-0.187168527817633,8.09983251393085e-07,0.000391806293179491,0.031143,0.218312,0.021127,0.141844
IL2RA,-0.365220084898051,8.56402476042604e-07,0.000391806293179491,0.15712,0.52234,0.070423,0.248227
PSAT1,-0.24658190753062,8.85654909609468e-07,0.000391806293179491,0.056819,0.303401,0.03169,0.170213
BTG1,0.501996649146949,8.95420796479374e-07,0.000391806293179491,2.224655,1.722658,0.883803,0.723404
PTPRCAP,0.489380234977651,9.95868857816384e-07,0.000421702274082441,0.779057,0.289677,0.362676,0.148936
ZWINT,-0.201802522596,1.36750893601423e-06,0.000560977806345586,0.039672,0.241474,0.024648,0.148936
NONO,-0.504964265688449,1.6677361458202e-06,0.000663405223823689,0.609192,1.114156,0.292254,0.524823
MKI67,-0.210915004349103,1.99216803608839e-06,0.000769152641462714,0.031828,0.242743,0.017606,0.12766
PRC1,-0.14396796097242,2.16706835010713e-06,0.000801293734560207,0.009231,0.153198,0.007042,0.106383
TRBC1,0.542370072865437,2.23603289280875e-06,0.000801293734560207,1.796151,1.253781,0.753521,0.567376
FAM111B,-0.155313405819961,2.25854103593568e-06,0.000801293734560207,0.013999,0.169313,0.007042,0.113475
UBE2T,-0.209317111865396,2.40961131187746e-06,0.000825688688581018,0.052982,0.262299,0.035211,0.163121
SORL1,0.489290827936064,2.45310115446482e-06,0.000825688688581018,0.841909,0.352618,0.390845,0.163121
HIST1H1B,-0.149100048741955,3.53881046124173e-06,0.001161349123118,0.006154,0.155254,0.007042,0.092199
PSMD8,-0.48292837543881,4.57329617722191e-06,0.00146423558337542,0.588988,1.071916,0.278169,0.503546
BRCA1,-0.206977997611136,4.8934851142439e-06,0.00150162267616177,0.050043,0.257021,0.03169,0.156028
SEC62,0.513501678574945,5.03011315764381e-06,0.00150162267616177,1.152311,0.638809,0.524648,0.319149
SDC4,-0.133532940299465,5.10303341335661e-06,0.00150162267616177,0.011914,0.145447,0.010563,0.099291
MT-ATP8,0.20992335751273,5.14763620227619e-06,0.00150162267616177,2.830775,2.620851,0.992958,0.964539
CDK1,-0.1828440454156,5.37677431130811e-06,0.00153436774749003,0.030763,0.213607,0.017606,0.12766
IFI6,0.516773884020274,5.58960339344246e-06,0.00155210132122745,0.993912,0.477138,0.433099,0.219858
PMAIP1,-0.294863809540536,5.77682866801779e-06,0.00155210132122745,0.141017,0.435881,0.073944,0.248227
XAF1,0.467070920956074,5.82974371448292e-06,0.00155210132122745,0.785955,0.318884,0.355634,0.148936
ATAD2,-0.259148003102754,5.91186608222538e-06,0.00155210132122745,0.098455,0.357603,0.052817,0.205674
RPL26,0.432631220252896,6.06669200716351e-06,0.00156151894074579,2.300828,1.868197,0.890845,0.780142
BCL9L,0.432552845345762,6.19152237927502e-06,0.00156300219755275,0.670967,0.238415,0.31338,0.113475
POLD2,-0.296295958195946,6.59557042402131e-06,0.00162123804476375,0.151091,0.447387,0.080986,0.248227
RP11-290D2.6,-0.464700679332628,6.66922026489242e-06,0.00162123804476375,0.468528,0.933229,0.21831,0.41844
TALDO1,-0.406611502831448,7.67014054739972e-06,0.00183065336301302,0.352901,0.759512,0.169014,0.375887
PCNA,-0.335469152344868,8.06102400986176e-06,0.00188548951524136,0.200323,0.535792,0.102113,0.269504
ISG15,0.496736524342872,8.26138789014975e-06,0.00188548951524136,0.907858,0.411121,0.394366,0.191489
CD3D,0.438891356307635,8.33079849805736e-06,0.00188548951524136,2.107015,1.668123,0.869718,0.723404
ANP32E,-0.404682614282108,9.24517676721779e-06,0.00205344151148541,0.375967,0.78065,0.183099,0.390071
RAD51,-0.146962728313771,9.38573098873502e-06,0.00205344151148541,0.021935,0.168898,0.017606,0.113475
RP11-277P12.20,-0.109559076058139,9.58767160039423e-06,0.00206323549341598,0.004229,0.113788,0.003521,0.078014
KIAA0101,-0.108483039833261,9.87100000835948e-06,0.00208994543725379,0.006788,0.115271,0.007042,0.085106
ASF1B,-0.195609753957198,1.13344440127393e-05,0.00236170232627347,0.056338,0.251948,0.035211,0.156028
CENPU,-0.20717052763938,1.26895594972359e-05,0.00260274761750336,0.068083,0.275254,0.042254,0.163121
CDC6,-0.162118228072947,1.58078818970399e-05,0.00319246254865296,0.036182,0.1983,0.024648,0.134752
FGFBP2,0.553686280042043,1.66385798976958e-05,0.0032881557057605,1.382663,0.828977,0.559859,0.326241
ASNS,-0.199673536368962,1.67826946207019e-05,0.0032881557057605,0.056827,0.2565,0.03169,0.163121
GNLY,0.566058117765704,1.73403852839972e-05,0.00334745937680928,1.862736,1.296678,0.714789,0.496454
SYNCRIP,-0.361622233113832,1.82561546939305e-05,0.00347316728503225,0.30724,0.668862,0.15493,0.347518
CDC25A,-0.0998035873129299,1.89119590883728e-05,0.00354653267075814,0.004316,0.104119,0.003521,0.078014
SKI,0.357251322408761,1.95569714398157e-05,0.00361583611395016,0.481943,0.124692,0.21831,0.06383
UBE2C,-0.178362816997894,2.15263777991613e-05,0.00386013302071197,0.037091,0.215454,0.017606,0.12766
IFITM1,0.458906062671492,2.16221344766767e-05,0.00386013302071197,2.245404,1.786498,0.869718,0.716312
CDC45,-0.151220848023052,2.17604817195617e-05,0.00386013302071197,0.029827,0.181048,0.017606,0.12766
CHAF1B,-0.143656101846966,2.2896330436227e-05,0.00400746839515136,0.02635,0.170006,0.021127,0.120567
AURKB,-0.0900998316126953,2.87489798056592e-05,0.00496562970932748,0.003091,0.093191,0.003521,0.070922
RAD51AP1,-0.143453742788931,3.49079450570203e-05,0.00595112460731825,0.025255,0.168709,0.017606,0.113475
AHCY,-0.191859273896948,3.58102634292152e-05,0.00602668369276036,0.071924,0.263784,0.045775,0.170213
CCNA2,-0.152999355405161,3.67364004111937e-05,0.00610428769870556,0.034562,0.187561,0.024648,0.120567
CTPS1,-0.180271811950768,3.76452932860241e-05,0.00617712206207049,0.05064,0.230912,0.03169,0.141844
TBX21,0.332179560904593,3.83381377564795e-05,0.0061918395893462,0.454735,0.122555,0.214789,0.06383
PTPRC,0.401658197500028,3.86783611126981e-05,0.0061918395893462,2.156359,1.754701,0.880282,0.744681
SEPT9,0.477942087212449,4.0709510605895e-05,0.00643847886413956,1.462575,0.984633,0.644366,0.453901
PAICS,-0.221593240396732,4.4864919594081e-05,0.00701121189894644,0.100407,0.322,0.056338,0.191489
NUSAP1,-0.158884247584653,4.55222604701858e-05,0.00703024368461328,0.039171,0.198055,0.024648,0.12766
EXO1,-0.113400331518531,5.10783425589584e-05,0.00779657445083078,0.017968,0.131369,0.017606,0.092199
IRF7,0.427938199929811,5.3489281218401e-05,0.00807073327073506,0.822082,0.394144,0.373239,0.191489
ACTG1,-0.319111972008298,5.77827582896666e-05,0.0086194803189597,2.363516,2.682628,0.894366,0.971631
SHMT2,-0.264357434864966,5.95402716020209e-05,0.00878185556539021,0.160395,0.424753,0.084507,0.234043
TMPO,-0.351598806828841,6.18875557469736e-05,0.00902664382545025,0.3371,0.688698,0.165493,0.35461
TNFRSF18,-0.207782215331892,7.91968661345239e-05,0.0112934177179867,0.079198,0.28698,0.038732,0.170213
HSPD1,-0.393352514561353,7.96337407455616e-05,0.0112934177179867,0.455083,0.848435,0.211268,0.382979
CDCA8,-0.124693922218463,8.00097392986032e-05,0.0112934177179867,0.022785,0.147479,0.017606,0.099291
CENPP,-0.111251637966242,8.58814944418126e-05,0.0119328518217314,0.020368,0.13162,0.017606,0.099291
SMAD7,0.321453545384325,8.6357958639787e-05,0.0119328518217314,0.450454,0.129,0.207746,0.06383
DNMT1,-0.373058811620498,8.85472250383965e-05,0.0120070965346097,0.406525,0.779583,0.193662,0.368794
DRAP1,0.449380575759155,8.89419799741894e-05,0.0120070965346097,1.367234,0.917854,0.609155,0.453901
SGOL1,-0.106398271494438,8.96393281322277e-05,0.0120070965346097,0.009709,0.116107,0.007042,0.078014
