Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
MTRNR2L12,-0.220288787426024,2.04074170762306e-25,2.88030284613918e-21,2.958475,3.178763,1,1
MT-ATP6,-0.119332442291863,1.16246564512851e-23,7.6660563083182e-20,2.950359,3.069691,1,1
IFI44L,0.583107850299845,1.62945790881073e-23,7.6660563083182e-20,0.75203,0.168922,0.359574,0.078759
PTPRCAP,0.626381063407429,9.32368430397854e-23,3.28986200665883e-19,0.952637,0.326256,0.461702,0.157518
TPT1,-0.119852234985139,1.0557019611157e-21,2.98003549583739e-18,2.979715,3.099567,1,1
AC090498.1,0.569973967024257,1.12649291964856e-19,2.6498868446533e-16,2.286091,1.716117,0.917021,0.727924
MT-ND5,-0.18926329038629,4.06724811407686e-19,8.20073426886869e-16,2.704071,2.893334,0.991489,0.997613
MT-CO2,-0.0964337743897037,1.53297925872478e-18,2.70455865720519e-15,3.114895,3.211329,1,1
RPL3,-0.120316700142855,3.58857693276401e-18,5.62768609211458e-15,2.905714,3.026031,0.997872,1
RPL7A,-0.0957594741034269,8.02498238124709e-18,1.13264601328921e-14,2.861533,2.957293,1,1
RPL13,-0.0961832143859285,1.29509197338641e-17,1.6617207374887e-14,3.07677,3.172953,1,1
RGCC,0.467993650038754,3.31743279071857e-17,3.90185386735015e-14,0.644526,0.176532,0.314894,0.090692
RPS8,-0.0959193211769391,3.83669588139061e-17,4.16547120538054e-14,2.947504,3.043423,1,1
RPS3,-0.0893969060733841,4.45287443522491e-16,4.48913355562603e-13,3.003298,3.092695,1,1
IFI6,0.505907015569116,3.59326792287018e-15,3.38102556422598e-12,0.808191,0.302284,0.368085,0.140811
MT-CO1,-0.0900345063273704,1.26118404493915e-14,1.11252197564195e-11,3.126869,3.216904,1,1
RPS3A,-0.0897133594904842,1.88516109366078e-14,1.5651272750546e-11,2.957776,3.04749,1,1
RPLP1,-0.080110129711739,3.0039842348067e-14,2.29968425444134e-11,3.102473,3.182583,1,1
ZFP36L2,0.574101730233639,3.11160888131426e-14,2.29968425444134e-11,1.811593,1.237492,0.768085,0.529833
RPL19,-0.0822737868572041,3.25872786515706e-14,2.29968425444134e-11,2.979451,3.061725,1,1
RPL10,-0.0873570871215126,4.61724983599064e-14,3.10323162786533e-11,3.067769,3.155126,1,1
MT-ND4,-0.170776109666865,5.68148574339985e-14,3.64493135374298e-11,2.589908,2.760684,0.993617,0.99284
RPS27A,-0.0885568655397373,8.59819626285132e-14,5.27630182842972e-11,3.005436,3.093993,1,1
RPL15,-0.140482404914485,1.47902505568967e-13,8.69789984833501e-11,2.696938,2.837421,0.991489,0.997613
RPS14,-0.0850112899421309,3.31160464002637e-13,1.86959951557329e-10,2.993784,3.078795,1,1
MT-CYB,-0.0941079426954676,4.04673900914131e-13,2.19675670673156e-10,2.969301,3.063409,1,1
RPL5,-0.110430901907608,8.69716703691122e-13,4.54636353922092e-10,2.769591,2.880022,0.997872,0.997613
MT-ND6,-0.384302472737723,9.64413048414522e-13,4.86133063047234e-10,2.083671,2.467974,0.86383,0.945107
RPS12,-0.0780843872576735,2.00902445072655e-12,9.77771417157052e-10,3.095033,3.173118,1,1
RPS18,-0.0931175156847432,2.95306703590097e-12,1.38931960482354e-09,2.987687,3.080805,1,0.997613
RP11-290D2.6,-0.543776856037525,4.26590001390404e-12,1.93372676239799e-09,0.728827,1.272603,0.334043,0.522673
BTG1,0.389978556409806,4.38424659180499e-12,1.93372676239799e-09,2.394082,2.004104,0.951064,0.818616
