Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
IFI44L,1.21504264640378,1.35840416580001e-08,0.000149495081363846,1.346781,0.131739,0.589744,0.054054
IFI6,1.18949964768508,2.69481895202966e-08,0.000149495081363846,1.366421,0.176922,0.602564,0.081081
MT-ND5,-0.228171189419529,4.85207707794306e-06,0.0179445983932594,2.69998,2.928152,1,1
ISG15,0.999479538933403,9.61867083043351e-06,0.0242477527430143,1.351109,0.35163,0.576923,0.162162
RPL10,-0.171505779420348,1.09273333677397e-05,0.0242477527430143,3.008405,3.179911,1,1
XAF1,0.924031814187249,2.90908326223355e-05,0.0537911855360529,1.339287,0.415255,0.589744,0.189189
RPL13,-0.156786055756543,3.46691018184546e-05,0.0537911855360529,2.976144,3.13293,1,1
PFDN5,0.753041093950873,3.8785893130998e-05,0.0537911855360529,2.305772,1.552731,0.935897,0.621622
MTRNR2L12,-0.244592587937933,7.63271890172725e-05,0.0940944624607376,2.942209,3.186802,1,1
RPS8,-0.167172900769585,0.000122065861043012,0.131262908430924,2.814325,2.981498,1,1
MT-CO1,-0.1427915253246,0.000130769146271206,0.131262908430924,3.152484,3.295276,1,1
AC090498.1,0.789126480650092,0.000141969797311499,0.131262908430924,2.135579,1.346453,0.871795,0.540541
IFITM3,0.845802846875194,0.000182666645951523,0.149883285004944,1.807032,0.961229,0.769231,0.378378
MAT2B,0.77521169693703,0.000230570615766811,0.149883285004944,1.126891,0.351679,0.525641,0.162162
RPLP1,-0.136268274286764,0.000232362680924696,0.149883285004944,3.054188,3.190456,1,1
TIAM1,-0.563868594888342,0.000239201506056678,0.149883285004944,0.140772,0.70464,0.076923,0.297297
MT-CO2,-0.138060118287947,0.000243026603353429,0.149883285004944,3.118046,3.256106,1,1
TRBC2,0.801573180111431,0.000243163508795764,0.149883285004944,1.633232,0.831659,0.730769,0.351351
MT-ATP6,-0.134836016887604,0.000271653684497856,0.152798108680468,2.952074,3.08691,1,1
EEF1A1,-0.137625756233992,0.000298627596974494,0.152798108680468,3.076092,3.213718,1,1
GADD45GIP1,-0.501545107703364,0.000321470599763569,0.152798108680468,0.096808,0.598354,0.051282,0.27027
RP11-352M15.2,-0.348632264781643,0.000329187962719649,0.152798108680468,0,0.348632,0,0.162162
MYL12A,0.695241212844848,0.000330297659949602,0.152798108680468,2.110825,1.415584,0.884615,0.594595
IRF7,0.778637145429705,0.00033052317335117,0.152798108680468,1.129473,0.350835,0.5,0.162162
MAP2K3,-0.430095920609007,0.000403228077482017,0.178952620786519,0.057171,0.487267,0.038462,0.216216
RPS12,-0.126852773083472,0.000453052066891638,0.193331257006259,2.997605,3.124458,1,1
CORO1A,0.693647209547166,0.000523709186500299,0.215205682378549,2.034778,1.341131,0.871795,0.540541
EPSTI1,0.602775594424805,0.00064881757912857,0.257093965729696,0.664943,0.062167,0.307692,0.027027
MX1,0.706707677903971,0.000849571972523042,0.313969518604607,1.025667,0.318959,0.461538,0.135135
