Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
RGCC,0.696576200535687,9.76576414334155e-20,1.26329924958266e-15,0.864117,0.167541,0.41791,0.074359
MT-ATP6,-0.133318311849685,1.40901781503886e-17,8.72255066778191e-14,3.02105,3.154368,1,1
MTRNR2L12,-0.272933174000818,2.02285497861361e-17,8.72255066778191e-14,3.012551,3.285484,0.992537,1
RPL13,-0.10459660965503,5.87687413322794e-16,1.90058109468592e-12,3.183398,3.287995,1,1
CEBPB,0.344127668797901,3.07930926099936e-14,7.96678892005754e-11,0.367945,0.023817,0.186567,0.010256
MT-CO1,-0.112569949876018,4.3298287376794e-14,9.33511075843678e-11,3.181933,3.294503,1,1
PTPRCAP,0.667406427778142,7.20759964847693e-14,1.33196441503854e-10,0.995395,0.327988,0.477612,0.148718
MT-CO3,-0.115588921940376,4.25406600561903e-13,6.87882473108597e-10,3.031637,3.147226,1,1
RPS3,-0.0962013074916532,9.32871539012134e-13,1.34084735874011e-09,3.102394,3.198595,1,1
EEF1A1,-0.0861549734932403,1.63143484491082e-12,1.95590151645928e-09,3.271328,3.357483,1,1
RPS27A,-0.0926355612492444,1.66318156161504e-12,1.95590151645928e-09,3.098715,3.191351,1,1
MT-CO2,-0.0999321676240412,2.1497330924083e-12,2.31741227361614e-09,3.185126,3.285058,1,1
RPL14,-0.0988075736652072,7.36609894594312e-12,7.32983507420925e-09,2.979786,3.078594,1,1
ZFP36L2,0.761510790436833,8.01017228839003e-12,7.40139919447239e-09,1.479422,0.717911,0.649254,0.312821
RPL28,-0.0902539086533487,2.48882110557573e-11,2.14635932144851e-08,3.09487,3.185124,1,1
RPS4X,-0.0961400265534902,4.72227074085684e-11,3.81795589398275e-08,2.980128,3.076268,1,1
RPS15,-0.0930003118661009,5.62094987476739e-11,3.90683436219785e-08,3.02135,3.11435,1,1
MT-ND5,-0.196182833865737,5.70023773546029e-11,3.90683436219785e-08,2.700835,2.897018,0.985075,0.997436
RPS12,-0.0847141739877739,5.84526587009862e-11,3.90683436219785e-08,3.215653,3.300367,1,1
RPLP0,-0.0948875854811888,6.0402510238062e-11,3.90683436219785e-08,2.963225,3.058113,1,1
AC090498.1,0.670751432981519,7.16535041282076e-11,4.41385585429759e-08,2.459529,1.788778,0.955224,0.728205
RPS8,-0.0844106465429801,9.44463761978760e-11,5.55344692043511e-08,3.116924,3.201334,1,1
RPS23,-0.081177255927583,2.84885571681884e-10,1.60229554577254e-07,3.100803,3.18198,1,1
RPLP1,-0.0787841981916291,3.15097015674666e-10,1.69837291448645e-07,3.200105,3.278889,1,1
RPS3A,-0.0823089845327427,3.89687376922531e-10,2.01639836314794e-07,3.113415,3.195724,1,1
GIMAP1,0.609689749779028,6.26557309902003e-10,3.11736360034319e-07,1.107089,0.497399,0.529851,0.223077
RPL3,-0.119405443824392,1.22501515761908e-09,5.86918373294828e-07,3.013781,3.133186,1,0.997436
MT-CYB,-0.104534701583853,1.34723393187849e-09,6.22422076527864e-07,3.010908,3.115443,1,1
RPL19,-0.0819271023137547,1.62000482437935e-09,7.22633876143837e-07,3.090951,3.172879,1,1
RPL5,-0.0938577837292565,1.79459994517156e-09,7.73831496357978e-07,2.965437,3.059295,1,1
NME2,0.620293005460348,4.27663190334014e-09,1.78459710650349e-06,1.272917,0.652624,0.589552,0.294872
RPL18A,-0.075165225206733,1.65550037200119e-08,6.6923602538148e-06,3.050937,3.126102,1,1
RPL34,-0.0768373419122605,1.94548680789526e-08,7.6263082869494e-06,3.117224,3.194062,1,1
HPCAL1,0.422585841380359,2.83100352922295e-08,1.07711357805965e-05,0.629446,0.206861,0.30597,0.089744
RPS10,0.638715545669445,3.90337579188883e-08,1.44268769268211e-05,1.784946,1.14623,0.761194,0.492308
WHAMM,0.329965612843171,4.55789178387583e-08,1.63780244767272e-05,0.436096,0.10613,0.216418,0.048718
CTD-2095E4.5,0.270739396636713,6.52298695446167e-08,2.28057727683557e-05,0.329944,0.059205,0.164179,0.025641
RPL18,-0.0780277043706481,7.52609173876265e-08,2.56204007191141e-05,3.007305,3.085333,1,1
EBPL,0.303425515183899,7.82928724220975e-08,2.59691435295449e-05,0.389949,0.086524,0.19403,0.038462
PIGX,0.228956013712626,1.05181423843555e-07,3.40156724710057e-05,0.266649,0.037693,0.134328,0.017949
TPT1,-0.105429473280955,1.92376413192165e-07,6.06971044159474e-05,3.068701,3.174131,1,0.997436
BLOC1S4,0.258500902642704,2.2405545528784e-07,6.90090802286547e-05,0.322537,0.064036,0.164179,0.028205
CITED2,0.263852540943936,2.82054031765972e-07,8.48523477889445e-05,0.329926,0.066073,0.164179,0.028205
ISG15,0.37705258189651,2.92546569479277e-07,8.60086914269076e-05,0.567997,0.190944,0.268657,0.087179
DAD1,0.537541469814126,3.55526344685647e-07,0.000102201973218967,1.195462,0.657921,0.559701,0.294872
BTG1,0.510402561424793,5.96299692730409e-07,0.00016768984402523,2.453393,1.942991,0.947761,0.766667
C19orf66,0.414020743814411,6.21304743136044e-07,0.000171004216110806,0.699899,0.285878,0.335821,0.130769
IFI44L,0.262798677469824,6.40797253547053e-07,0.000172694859830931,0.328237,0.065439,0.149254,0.028205
RPS6,-0.0948113498129346,1.02991196049582e-06,0.000271896757570896,3.001246,3.096057,1,0.997436
MALAT1,-0.087295309196155,1.26742167643324e-06,0.000327231354153255,3.271703,3.358999,1,1
MX1,0.376970644632245,1.29010506043723e-06,0.000327231354153255,0.604745,0.227775,0.283582,0.102564
C14orf169,0.234100810641126,1.76359029476855e-06,0.000438727001021652,0.297196,0.063096,0.149254,0.028205
PSIP1,0.456566022165973,1.86079144977294e-06,0.000454173550835145,0.90201,0.445444,0.432836,0.197436
RPS14,-0.0921934348433773,1.94993793766224e-06,0.000467118465955533,3.103262,3.195455,1,0.997436
RPS25,-0.0673433863245316,2.39464740365487e-06,0.000550330999797723,2.996761,3.064104,1,1
RPL30,-0.0671146490543766,2.43036574871335e-06,0.000550330999797723,3.164091,3.231206,1,1
ATP5D,0.425545725013121,2.45778445912184e-06,0.000550330999797723,0.789007,0.363462,0.380597,0.158974
SCML4,0.413264165636775,2.46747046909925e-06,0.000550330999797723,0.76654,0.353276,0.373134,0.161538
RPS19,-0.0915679035175843,2.87890173656337e-06,0.000631211404477691,3.03402,3.125588,1,0.997436
IFIT3,0.186755752702623,3.45846911328376e-06,0.00074564594082398,0.222838,0.036082,0.11194,0.017949
ZFAND3,0.148310758248171,3.58817782939585e-06,0.000760928990181388,0.165484,0.017173,0.089552,0.007692
RPL11,-0.0635400888247402,3.88033351097814e-06,0.000809612811258278,3.115899,3.179439,1,1
TPGS1,0.0994445032148219,5.02908993939361e-06,0.00103263980088882,0.099445,0,0.052239,0
SP100,0.487115404861803,5.19513359887326e-06,0.00105006637867226,1.169081,0.681965,0.544776,0.305128
RASAL3,0.349199131725394,5.54902101377754e-06,0.00110434055129579,0.59311,0.243911,0.291045,0.115385
CSNK2B,0.230884729917142,6.38491521922232e-06,0.00125144338296757,0.303629,0.072744,0.149254,0.033333
AC006129.2,0.43704020569163,6.82638401646059e-06,0.00131800154681991,0.908694,0.471654,0.432836,0.207692
NDUFA4,0.491613143967615,9.19663545518484e-06,0.00174952465070987,1.351125,0.859512,0.634328,0.376923
RTF1,0.378780835018366,9.74090033208848e-06,0.00182620705356372,0.701556,0.322776,0.335821,0.148718
