Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
GLTSCR2,0.605903055965407,4.31300675149731e-07,0.00761676992314425,1.235754,0.629851,0.55665,0.344828
GBP4,0.400457466434081,5.51537065757282e-06,0.048700722906368,0.586736,0.186279,0.310345,0.097701
CCL22,0.165398336249619,5.51096021410422e-05,0.324411857936935,0.177507,0.012109,0.128079,0.011494
CYTIP,0.455287748467548,8.6756325259824e-05,0.35275046834351,1.042936,0.587649,0.482759,0.264368
HELLS,0.200151853642636,9.98727260315714e-05,0.35275046834351,0.232343,0.032191,0.133005,0.028736
NUP98,0.373993641074457,0.000136014543484691,0.390827921768137,0.712776,0.338782,0.359606,0.172414
BANK1,0.363270948770988,0.000154914804777857,0.390827921768137,0.642778,0.279507,0.320197,0.155172
HSP90B1,0.452041337960848,0.000283909910143839,0.587184864208754,1.155795,0.703754,0.512315,0.321839
MED12,0.21960662165886,0.000345760325716515,0.587184864208754,0.299736,0.08013,0.17734,0.063218
HDLBP,0.184379211567306,0.000354669490828289,0.587184864208754,0.221731,0.037352,0.128079,0.028736
ENO1,0.412666920590868,0.000386251319488709,0.587184864208754,0.918448,0.505781,0.403941,0.224138
SNX8,0.357952500358589,0.00039899311271263,0.587184864208754,0.70636,0.348407,0.330049,0.16092
SF3B1,0.445950076620171,0.000569571340592281,0.704476645605189,1.447219,1.001269,0.625616,0.408046
LTA4H,0.207258294735636,0.000605912785349849,0.704476645605189,0.266395,0.059136,0.137931,0.034483
VPS41,0.181100383890282,0.000691978080501591,0.704476645605189,0.222916,0.041815,0.137931,0.022989
PRKCSH,0.184477128932629,0.000735105666926245,0.704476645605189,0.256284,0.071807,0.167488,0.051724
ADK,0.180568969332917,0.000779269337558807,0.704476645605189,0.238941,0.058372,0.137931,0.04023
RPS19,-0.284576702391975,0.000787157182336634,0.704476645605189,2.867976,3.152553,0.940887,0.971264
HLA-DMA,0.418343942373841,0.000881679835178915,0.704476645605189,1.072959,0.654615,0.438424,0.287356
EBI3,0.126349489872875,0.000898335594205056,0.704476645605189,0.127689,0.00134,0.068966,0.005747
DDIT3,0.194406164935461,0.000995108112377981,0.704476645605189,0.262296,0.06789,0.147783,0.034483
DDOST,0.275892269581996,0.00104392361740946,0.704476645605189,0.460525,0.184633,0.221675,0.091954
SMNDC1,0.225464440062519,0.00112293734641369,0.704476645605189,0.362212,0.136747,0.211823,0.086207
PPP1R16B,0.300649165666747,0.00116672087214571,0.704476645605189,0.589089,0.28844,0.295567,0.149425
STAT2,0.230261804912184,0.00125329334359174,0.704476645605189,0.348719,0.118457,0.172414,0.068966
RP11-37B2.1,0.154693422377207,0.00128202575729805,0.704476645605189,0.181713,0.027019,0.103448,0.017241
ARL6IP5,0.314261773341197,0.00132319344129426,0.704476645605189,0.586848,0.272586,0.270936,0.114943
COPS6,0.190337116495141,0.00133265581602524,0.704476645605189,0.25814,0.067803,0.133005,0.04023
PRKCE,0.273534505397129,0.0013530517832094,0.704476645605189,0.508775,0.23524,0.270936,0.143678
METAP2,0.284490178762789,0.0013954651874178,0.704476645605189,0.558661,0.274171,0.295567,0.166667
IPO5,0.204003290296188,0.00143678581757064,0.704476645605189,0.286113,0.08211,0.142857,0.04023
CSNK1E,0.20642704720959,0.00148906350263365,0.704476645605189,0.29355,0.087123,0.157635,0.063218
MIR155HG,0.157516550963931,0.00152249840011556,0.704476645605189,0.191951,0.034435,0.108374,0.017241
GHITM,0.280131171318305,0.00155855706340206,0.704476645605189,0.515668,0.235536,0.246305,0.132184
WDFY4,0.301604152313005,0.00160348292853317,0.704476645605189,0.645099,0.343495,0.344828,0.183908
GSTO1,0.170171565218708,0.00166938091208572,0.704476645605189,0.218718,0.048547,0.118227,0.028736
ANAPC16,0.307695007994647,0.00170257596005573,0.704476645605189,0.654996,0.347301,0.325123,0.183908
HSF1,0.193465004609332,0.00173359219045037,0.704476645605189,0.277175,0.08371,0.137931,0.045977
GTF2E2,0.153104078202021,0.00180278160734245,0.704476645605189,0.180214,0.02711,0.093596,0.017241
FKBP8,0.155051913510011,0.0018317112690704,0.704476645605189,0.212692,0.05764,0.142857,0.034483
CPNE5,0.146471713661952,0.001869268456574,0.704476645605189,0.169061,0.022589,0.1133,0.011494
RMND1,0.0977477789512409,0.00194189069267834,0.704476645605189,0.097748,0,0.064039,0
CD38,0.132696793192909,0.00195662435504978,0.704476645605189,0.142022,0.009326,0.073892,0.005747
GADD45GIP1,0.18974917059021,0.00201300844084649,0.704476645605189,0.270096,0.080347,0.157635,0.057471
ST6GALNAC4,0.319043261052547,0.0020417172024475,0.704476645605189,0.692915,0.373871,0.315271,0.166667
LSM2,0.166665566672245,0.00205756181330422,0.704476645605189,0.217918,0.051252,0.123153,0.022989
ARHGAP4,0.231493543276839,0.00213024602203252,0.704476645605189,0.391319,0.159825,0.221675,0.08046
DUSP2,0.141614515010163,0.00216839893413179,0.704476645605189,0.155904,0.014289,0.073892,0.005747
RNF145,0.269124754054596,0.00222327886694324,0.704476645605189,0.620644,0.35152,0.408867,0.229885
RPL39,-0.289517271499147,0.00224581066777535,0.704476645605189,2.088876,2.378393,0.916256,0.942529
MRPS34,0.131283855888448,0.00227175337460183,0.704476645605189,0.154218,0.022934,0.083744,0.017241
SSBP2,0.148128180374653,0.00229162834615817,0.704476645605189,0.178698,0.03057,0.108374,0.022989
PDCD2,0.169534441505747,0.00233660336815851,0.704476645605189,0.212589,0.043055,0.108374,0.034483
CLPTM1,0.252754529439561,0.00256310453432974,0.704476645605189,0.466773,0.214018,0.251232,0.12069
AHNAK,0.103695006206118,0.00262151801337596,0.704476645605189,0.103695,0,0.054187,0
HSPA5,0.269818402545401,0.00272404266354705,0.704476645605189,0.479229,0.209411,0.216749,0.097701
CAMLG,0.223257134945325,0.00282963396146682,0.704476645605189,0.371496,0.148239,0.187192,0.086207
