Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
GLTSCR2,0.638133629426661,1.62950775879409e-12,3.05826016170474e-08,1.476339,0.838205,0.774194,0.555102
CYBA,0.45554967957136,2.17438862516112e-09,2.0404462858512e-05,1.25343,0.797881,0.778226,0.538776
CD79B,0.550665652814457,2.55849596543705e-08,0.000160059507597742,1.53977,0.989105,0.729839,0.522449
MTSS1,0.434319492426307,8.24050267783504e-08,0.00038664438564402,0.864842,0.430522,0.487903,0.293878
CHCHD10,0.18170851028406,1.06072319877543e-05,0.0398153059892345,0.354846,0.173138,0.455645,0.265306
NFKBIE,0.281220919647698,2.00917953813559e-05,0.0628471359528813,0.457567,0.176346,0.25,0.122449
SYK,0.387176074493013,2.36712479944435e-05,0.0634659974799593,1.05036,0.663184,0.572581,0.371429
FTH1,-0.25847795746284,6.2888069866474e-05,0.125226849916035,1.633926,1.892404,0.903226,0.938776
CCDC85B,0.222375011637346,6.35905369544118e-05,0.125226849916035,0.387856,0.165481,0.274194,0.110204
CXXC5,0.346908326016726,7.85441562560786e-05,0.125226849916035,0.875209,0.528301,0.483871,0.306122
ARHGAP17,0.300551201034413,7.94187237610857e-05,0.125226849916035,0.761695,0.461143,0.516129,0.326531
SESN3,-0.37804296913927,8.00683183606361e-05,0.125226849916035,1.081256,1.459299,0.633065,0.734694
SORL1,0.305803551691891,9.52115792687594e-05,0.137456224593544,0.65251,0.346706,0.375,0.22449
IKZF1,0.292259177044915,0.000109038760603388,0.145873794974854,0.682622,0.390363,0.41129,0.265306
MDFIC,0.201217013718763,0.000116587112352025,0.145873794974854,0.313898,0.112681,0.221774,0.106122
AFF3,0.256453710393839,0.000137121421063349,0.160843426907308,0.568843,0.312389,0.423387,0.24898
IGHA2,-0.266791443711413,0.000164733038832911,0.171775472332821,0.258396,0.525187,0.197581,0.302041
HVCN1,0.297187856213238,0.000164746296994393,0.171775472332821,0.807811,0.510623,0.487903,0.346939
ZEB2,0.304122314262837,0.000216673782816293,0.214028081889273,0.951052,0.646929,0.604839,0.42449
EZR,-0.23267164651214,0.000234992707274157,0.220517156506069,2.430937,2.663608,0.947581,0.971429
JCHAIN,-0.280096409805342,0.000278057674781919,0.248504116205098,0.345726,0.625822,0.266129,0.363265
HIPK2,-0.251370931084565,0.000314065570936615,0.256914335376372,0.226589,0.47796,0.169355,0.257143
VPS50,-0.160793323437925,0.000317010822009122,0.256914335376372,0.085047,0.245841,0.080645,0.171429
PIK3CA,0.246369929193414,0.000328534955724261,0.256914335376372,0.529389,0.283019,0.350806,0.208163
SP140,0.313489335230436,0.00038458120791629,0.260549870399653,1.108183,0.794693,0.633065,0.493878
PNRC1,0.308006624950474,0.000385901276572898,0.260549870399653,1.038463,0.730456,0.620968,0.44898
HLA-DMA,0.344758527237278,0.000396233764624451,0.260549870399653,1.424107,1.079348,0.701613,0.55102
SNX3,0.310983634024851,0.000397607508747407,0.260549870399653,0.917462,0.606478,0.508065,0.367347
ZFP36L1,0.248177266872341,0.000416644398222405,0.260549870399653,1.871267,1.623089,0.935484,0.873469
HDAC9,0.15964676832107,0.000426949729710002,0.260549870399653,0.246981,0.087334,0.165323,0.085714
KDM6B,-0.293785256651245,0.000444278397851912,0.260549870399653,0.793802,1.087587,0.584677,0.657143
OGFR,0.226316147239744,0.000454549926422844,0.260549870399653,0.477451,0.251135,0.318548,0.187755
RP11-35G9.3,0.0994516548834902,0.000458127969053098,0.260549870399653,0.130823,0.031371,0.120968,0.044898
FAM111B,0.140367903190569,0.000510354746057908,0.281715819823965,0.189301,0.048934,0.120968,0.044898
FNTA,0.23226360887365,0.000581416562249465,0.311772172579942,0.485095,0.252831,0.314516,0.171429
SYVN1,0.278769990165638,0.000602019244290374,0.313852699356715,1.084333,0.805563,0.66129,0.526531
CBLB,0.298520835845254,0.000621554110052658,0.315279122634278,1.025115,0.726594,0.592742,0.465306
CAMK2D,0.227738929630904,0.000693802104004562,0.342665207577832,0.5269,0.299161,0.362903,0.220408
CCL22,0.102172798993356,0.000750283579424188,0.35350734162992,0.127503,0.02533,0.104839,0.012245
TRANK1,0.229824808272063,0.000782322999632574,0.35350734162992,0.559105,0.32928,0.391129,0.220408
ETF1,-0.246183597917317,0.000795217540128752,0.35350734162992,0.337,0.583184,0.25,0.338776
HLA-DOA,0.152896275323735,0.000810014796466028,0.35350734162992,0.222411,0.069515,0.145161,0.057143
PKN1,0.189392360500559,0.000810920353628563,0.35350734162992,0.339188,0.149796,0.221774,0.097959
SLAMF1,0.135370404249237,0.0008287682774785,0.35350734162992,0.175667,0.040296,0.108871,0.02449
SLC25A1,0.153331657168974,0.000943643550029789,0.393562269932424,0.229717,0.076386,0.137097,0.053061
PAX5,0.242838941569547,0.000989025440006227,0.39676177449197,0.712477,0.469638,0.512097,0.371429
FCGR2A,0.0718333351650839,0.00105071423785344,0.39676177449197,0.104756,0.032922,0.141129,0.069388
HLA-DPA1,0.316013808215159,0.00106472018903222,0.39676177449197,2.051386,1.735372,0.850806,0.75102
ATP8A1,0.145539204502101,0.0011000604579175,0.39676177449197,0.227998,0.082459,0.16129,0.073469
TMEM8A,-0.160375907964553,0.00110428970549054,0.39676177449197,0.079322,0.239698,0.068548,0.130612
PAN3,-0.264180449859152,0.00115760058928647,0.39676177449197,0.590618,0.854799,0.431452,0.526531
STX7,0.228625867500107,0.00116186280716658,0.39676177449197,0.595617,0.366991,0.407258,0.261224
EMP3,-0.2686785031706,0.0011749210011841,0.39676177449197,0.677471,0.94615,0.443548,0.563265
CYFIP2,0.273946892273434,0.00118405788334319,0.39676177449197,0.92177,0.647823,0.576613,0.428571
UCP2,0.316906324805293,0.00118489085114462,0.39676177449197,1.095519,0.778612,0.544355,0.408163
CSNK1D,-0.278687480132026,0.00121276286543036,0.39676177449197,0.685328,0.964016,0.483871,0.530612
NME6,0.13391962045285,0.00123099042112272,0.39676177449197,0.191619,0.057699,0.125,0.044898
PDCD5,0.142387736723234,0.00123660908274619,0.39676177449197,0.240169,0.097781,0.165323,0.089796
MPC2,0.179007540754556,0.00125744292449448,0.39676177449197,0.358599,0.179591,0.25,0.134694
ITGA4,0.187744997756541,0.00126841999517893,0.39676177449197,0.358117,0.170372,0.221774,0.118367
MRPL45,0.125144714292033,0.00132648840182729,0.402460137966467,0.186375,0.06123,0.137097,0.057143
PITPNC1,0.0731964745604782,0.00132952517870423,0.402460137966467,0.083205,0.010008,0.068548,0.020408
