cell	celltype	TREATMENT
Immunodeficiency7827658	SM B-cells	CONTROL
Immunodeficiency7827659	USM B-cells	CONTROL
Immunodeficiency7827660	SM B-cells	CONTROL
Immunodeficiency7827661	USM B-cells	CONTROL
Immunodeficiency7827662	SM B-cells	CONTROL
Immunodeficiency7827663	USM B-cells	CONTROL
Immunodeficiency7827664	SM B-cells	CONTROL
Immunodeficiency7827665	USM B-cells	CONTROL
Immunodeficiency7827666	SM B-cells	CONTROL
Immunodeficiency7827667	USM B-cells	CONTROL
Immunodeficiency7827668	SM B-cells	CONTROL
Immunodeficiency7827669	USM B-cells	CONTROL
Immunodeficiency7827670	SM B-cells	CONTROL
Immunodeficiency7827671	USM B-cells	CONTROL
Immunodeficiency7827672	SM B-cells	CONTROL
Immunodeficiency7827673	USM B-cells	CONTROL
Immunodeficiency7827674	SM B-cells	CONTROL
Immunodeficiency7827675	SM B-cells	CVID
Immunodeficiency7827676	SM B-cells	CONTROL
Immunodeficiency7827677	SM B-cells	CVID
Immunodeficiency7827678	SM B-cells	CONTROL
Immunodeficiency7827679	SM B-cells	CVID
Immunodeficiency7827680	SM B-cells	CONTROL
Immunodeficiency7827681	SM B-cells	CVID
Immunodeficiency7827682	SM B-cells	CONTROL
Immunodeficiency7827683	SM B-cells	CVID
Immunodeficiency7827684	SM B-cells	CONTROL
Immunodeficiency7827685	SM B-cells	CVID
Immunodeficiency7827686	SM B-cells	CONTROL
Immunodeficiency7827687	SM B-cells	CVID
Immunodeficiency7827688	SM B-cells	CONTROL
Immunodeficiency7827689	SM B-cells	CVID
Immunodeficiency7827690	SM B-cells	CONTROL
Immunodeficiency7827691	USM B-cells	CONTROL
Immunodeficiency7827692	SM B-cells	CONTROL
Immunodeficiency7827693	USM B-cells	CONTROL
Immunodeficiency7827694	SM B-cells	CONTROL
Immunodeficiency7827695	USM B-cells	CONTROL
Immunodeficiency7827696	SM B-cells	CONTROL
Immunodeficiency7827697	USM B-cells	CONTROL
Immunodeficiency7827698	SM B-cells	CONTROL
Immunodeficiency7827699	USM B-cells	CONTROL
Immunodeficiency7827700	SM B-cells	CONTROL
Immunodeficiency7827701	USM B-cells	CONTROL
Immunodeficiency7827702	SM B-cells	CONTROL
Immunodeficiency7827703	USM B-cells	CONTROL
Immunodeficiency7827704	SM B-cells	CONTROL
Immunodeficiency7827705	USM B-cells	CONTROL
Immunodeficiency7827706	SM B-cells	CONTROL
Immunodeficiency7827707	SM B-cells	CVID
Immunodeficiency7827708	SM B-cells	CONTROL
Immunodeficiency7827709	SM B-cells	CVID
Immunodeficiency7827710	SM B-cells	CONTROL
Immunodeficiency7827711	SM B-cells	CVID
Immunodeficiency7827712	SM B-cells	CONTROL
Immunodeficiency7827713	SM B-cells	CVID
Immunodeficiency7827714	SM B-cells	CONTROL
Immunodeficiency7827715	SM B-cells	CVID
Immunodeficiency7827716	SM B-cells	CONTROL
Immunodeficiency7827717	SM B-cells	CVID
Immunodeficiency7827718	SM B-cells	CONTROL
Immunodeficiency7827719	SM B-cells	CVID
Immunodeficiency7827720	SM B-cells	CONTROL
Immunodeficiency7827721	SM B-cells	CVID
Immunodeficiency7827722	SM B-cells	CONTROL
Immunodeficiency7827723	USM B-cells	CONTROL
Immunodeficiency7827724	SM B-cells	CONTROL
Immunodeficiency7827725	USM B-cells	CONTROL
Immunodeficiency7827726	SM B-cells	CONTROL
Immunodeficiency7827727	USM B-cells	CONTROL
Immunodeficiency7827728	SM B-cells	CONTROL
Immunodeficiency7827729	USM B-cells	CONTROL
Immunodeficiency7827730	SM B-cells	CONTROL
Immunodeficiency7827731	USM B-cells	CONTROL
Immunodeficiency7827732	SM B-cells	CONTROL
Immunodeficiency7827733	USM B-cells	CONTROL
Immunodeficiency7827734	SM B-cells	CONTROL
Immunodeficiency7827735	USM B-cells	CONTROL
Immunodeficiency7827736	SM B-cells	CONTROL
Immunodeficiency7827737	USM B-cells	CONTROL
Immunodeficiency7827738	SM B-cells	CONTROL
Immunodeficiency7827739	SM B-cells	CVID
Immunodeficiency7827740	SM B-cells	CONTROL
Immunodeficiency7827741	SM B-cells	CVID
Immunodeficiency7827742	SM B-cells	CONTROL
Immunodeficiency7827743	SM B-cells	CVID
Immunodeficiency7827744	SM B-cells	CONTROL
Immunodeficiency7827745	SM B-cells	CVID
Immunodeficiency7827746	SM B-cells	CONTROL
Immunodeficiency7827747	SM B-cells	CVID
