,cell,uniq_frags,frip,frac_open,mapping_rate,sequencing_depth,dup_level,mt_content,library_size,plate,celltype,TREATMENT
0,Immunodeficiency7827658,9935.0,0.779366,0.10615999999999999,93.41,43318,0.695859,0.107127,11679,,SM B-cells,CONTROL
1,Immunodeficiency7827659,27316.0,0.798977,0.223372,95.27,283382,0.873763,0.11852599999999999,31003,,USM B-cells,CONTROL
2,Immunodeficiency7827660,25011.0,0.736536,0.19805,94.81,211407,0.854074,0.048722,26326,,SM B-cells,CONTROL
3,Immunodeficiency7827661,18966.0,0.8034979999999999,0.170654,95.39,145643,0.8456629999999999,0.035742,19705,,USM B-cells,CONTROL
4,Immunodeficiency7827662,23561.0,0.824807,0.199707,95.07,220411,0.865661,0.07914500000000001,25604,,SM B-cells,CONTROL
5,Immunodeficiency7827663,27588.0,0.806053,0.22343600000000002,94.63,228515,0.858282,0.022811,28262,,USM B-cells,CONTROL
6,Immunodeficiency7827664,41252.0,0.729194,0.282557,94.74,428826,0.883617,0.012046,41765,,SM B-cells,CONTROL
7,Immunodeficiency7827665,39770.0,0.740491,0.27008899999999997,94.62,402950,0.8768889999999999,0.07309,42922,,USM B-cells,CONTROL
8,Immunodeficiency7827666,11406.0,0.713938,0.108428,93.42,40577,0.631721,0.091011,13787,,SM B-cells,CONTROL
9,Immunodeficiency7827667,35366.0,0.779879,0.250125,94.73,350422,0.8833840000000001,0.010575,35752,,USM B-cells,CONTROL
10,Immunodeficiency7827668,27366.0,0.75873,0.212207,94.86,258239,0.873297,0.021838999999999997,27990,,SM B-cells,CONTROL
11,Immunodeficiency7827669,37654.0,0.745291,0.26137,94.72,384277,0.8857879999999999,0.016225,38282,,USM B-cells,CONTROL
12,Immunodeficiency7827670,45381.0,0.753891,0.296971,94.65,492770,0.892157,0.008022,45753,,SM B-cells,CONTROL
13,Immunodeficiency7827671,39741.0,0.7852979999999999,0.270716,94.54,390910,0.880976,0.014898,40353,,USM B-cells,CONTROL
14,Immunodeficiency7827672,23857.0,0.782193,0.195734,95.07,217007,0.8687540000000001,0.012501,24173,,SM B-cells,CONTROL
