"Topic1"	"Topic2"	"Topic3"	"Topic4"	"Topic5"	"Topic6"	"Topic7"	"Topic8"	"Topic9"	"Topic10"	"Topic11"	"Topic12"	"Topic13"	"Topic14"	"Topic15"	"Topic16"	"Topic17"	"Topic18"	"celltype"	"TREATMENT"
"Immunodeficiency7827658"	0.0364397555053169	0.158368919032069	0.0322197102905468	0.0150380976304111	0.0441262664322197	0.0210667336515113	0.0557313907728376	0.168165452566357	0.0937117977057691	0.0234781880599514	0.0599514359876078	0.0418655279243071	0.0588964246839153	0.0490998911496274	0.0210667336515113	0.012626643221971	0.0848195595746462	0.0233274721594239	"SM B-cells"	"CONTROL"
"Immunodeficiency7827659"	0.0470648461433862	0.118837936633632	0.040873787184348	0.0352586406866156	0.0467768899127333	0.0331709580143818	0.0661419464241435	0.118693958518305	0.0856509810508803	0.0238123805181612	0.0575032595045553	0.0395059950887465	0.0652060886745215	0.0515281677185068	0.0144538030219407	0.0382821811084715	0.0786680424575465	0.0385701373391245	"USM B-cells"	"CONTROL"
"Immunodeficiency7827660"	0.0315591994299682	0.120283933580467	0.0361050229546049	0.0376473559361781	0.0443849158030504	0.0332638832517069	0.0443037403829676	0.130187334830569	0.0720657340512848	0.0236851836819367	0.0487683884875215	0.0952007287748825	0.0551000712539799	0.0480378097067763	0.0153241154134084	0.0426802319813116	0.0826997140821315	0.0387026363972545	"SM B-cells"	"CONTROL"
"Immunodeficiency7827661"	0.0259384666833877	0.149433575787978	0.0415517097232673	0.0207654042304155	0.0386359836134103	0.0198248474207842	0.0417398210851935	0.136642003176992	0.0892379399715743	0.0539670596104005	0.0205772928684893	0.0112657804531394	0.0679813560739069	0.0510513335005434	0.0376013711228158	0.0421160438090461	0.0999602876013711	0.0517097232672853	"USM B-cells"	"CONTROL"
"Immunodeficiency7827662"	0.0364320709508994	0.120838250545364	0.0436737832135322	0.0323284340020742	0.0405357078997246	0.0262132103136287	0.0568697922254408	0.133873332618102	0.0826985659621643	0.0112470049708543	0.0560651575295927	0.053812180381218	0.0691807030719165	0.0522029109895219	0.0145460072238315	0.0357883631942209	0.0856757143368022	0.0480188105711118	"SM B-cells"	"CONTROL"
"Immunodeficiency7827663"	0.0327850509119391	0.118600041560767	0.0398343963298646	0.034295624930066	0.0414888345401941	0.034799149602775	0.0601192474304257	0.127303825189022	0.0800444380504804	0.0329289151041417	0.0605508400070334	0.036093927332598	0.0660896114068319	0.0540769513579181	0.0198372736137087	0.0422800875973081	0.0796847775699739	0.0391870074649531	"USM B-cells"	"CONTROL"
"Immunodeficiency7827664"	0.0391772833872092	0.084356975343855	0.051327882360398	0.049046079736325	0.0489319896051214	0.0546364961653039	0.0571464790517842	0.0924573746593142	0.0644482474488179	0.0130506433415732	0.0682132217785384	0.10044368384357	0.0514419724916017	0.05982759713507	0.0262850985611967	0.0524117386068327	0.057888064904608	0.0289091715788806	"SM B-cells"	"CONTROL"
"Immunodeficiency7827665"	0.0415664128006787	0.0916767749077002	0.0537360721695268	0.0441315860990144	0.0539150377484805	0.0482477944149483	0.0641757309418229	0.0978212597851087	0.0722888371877216	0.0126932993961569	0.0643546965207766	0.0406715849059105	0.0644740069067457	0.0552871071871251	0.0217012335368238	0.0530798650466968	0.0699622846613242	0.0502164157834384	"USM B-cells"	"CONTROL"
"Immunodeficiency7827666"	0.0173970129656983	0.163630395535861	0.036008534383719	0.0271459051370425	0.0385196126702774	0.0187264073526998	0.052995240439849	0.165107500410307	0.0829804693911046	0.0274413261119317	0.0388150336451666	0.0429509272936156	0.0680617101591991	0.039405875594945	0.0227145905137042	0.0345314295092729	0.0961267027736747	0.0274413261119317	"SM B-cells"	"CONTROL"
"Immunodeficiency7827667"	0.035869953554841	0.106352268667381	0.0561914969632011	0.0347123972847446	0.0541979278313683	0.040950339406931	0.0521400500178635	0.106738120757413	0.0770275098249375	0.0302750982493748	0.0537477670596642	0.0274455162558056	0.0738120757413362	0.0581850660950339	0.0200500178635227	0.0506609503394069	0.0754197927831368	0.0462236513040372	"USM B-cells"	"CONTROL"
"Immunodeficiency7827668"	0.0330309844446129	0.119592039549593	0.0525868095033562	0.0279525337510633	0.0431878858317121	0.0328035911299763	0.0515256407017189	0.125655861273234	0.0785096473719228	0.0169618568769634	0.0702476902734615	0.0824511314922897	0.0619857331750002	0.0491001120122624	0.0149911148167799	0.0382610306812535	0.0767662986263759	0.024390038488424	"SM B-cells"	"CONTROL"
"Immunodeficiency7827669"	0.0268716641658616	0.095688338026625	0.0495022370215069	0.0561002514508095	0.0526470850205203	0.0536953676868581	0.0208286229128555	0.0979698944180661	0.0747226846998691	0.070899536152049	0.0133056531897255	0.015402218522401	0.0672613786629943	0.0623899474488363	0.060416709488671	0.051413811295417	0.0705912177207731	0.0602933821161607	"USM B-cells"	"CONTROL"
"Immunodeficiency7827670"	0.0608240404369017	0.0803436413695048	0.0538295167693856	0.0414128817317019	0.0516606722213185	0.0437443896208739	0.0768192689788959	0.0819702747805551	0.0633182116671788	0.01934488845512	0.0803436413695048	0.0546428334749107	0.0594142914806581	0.0492749432184448	0.0183146872947881	0.0429852940290505	0.0705838409032033	0.0511726821980035	"SM B-cells"	"CONTROL"
"Immunodeficiency7827671"	0.0280252927276808	0.0981809301281797	0.0485789341676237	0.0531530104418307	0.0598656158831994	0.0545786965532718	0.0222631446939395	0.0951513471413673	0.0767956384565628	0.0695484007234037	0.0191741581191504	0.00889733739917891	0.0602814409990363	0.0576082795400842	0.0659841854448009	0.0513114992145526	0.0737660554697504	0.0568360328963869	"USM B-cells"	"CONTROL"
"Immunodeficiency7827672"	0.0278348350815691	0.132181232255179	0.0469787016496408	0.0293959229133003	0.0353937866878463	0.0191256082308584	0.0689982563287961	0.134563945261505	0.0841161595413506	0.00671906809446864	0.0667798683573887	0.0620144423447357	0.0657117556304147	0.0459105889226668	0.00647258054209003	0.0449246387131524	0.0887994230365441	0.0340791864084938	"SM B-cells"	"CONTROL"
"Immunodeficiency7827673"	0.0375526395642295	0.0995655616983799	0.0494090306919189	0.0383519468312648	0.0486763323638032	0.0452792764789035	0.0519401703708638	0.109157248902803	0.0822472375792832	0.0157715165375193	0.0606659413693318	0.0476771982800092	0.0721892878024231	0.0571356676065928	0.0191019634834995	0.0483432876692052	0.0787169638165442	0.0382187289534256	"USM B-cells"	"CONTROL"
"Immunodeficiency7827674"	0.0391939918192181	0.161704553074499	0.0228994836719641	0.0304432374438409	0.0269731107087776	0.020636357540401	0.060467377455911	0.169399181921813	0.0959230201837323	0.0171662308053376	0.0503587474015959	0.0449272446858446	0.0508113726279085	0.0435693690069067	0.00645410044927245	0.0227486085965265	0.0894353919399182	0.0468886206665326	"SM B-cells"	"CONTROL"
"Immunodeficiency7827675"	0.0312058344391581	0.0674229428962898	0.0652382647722001	0.0681026205348955	0.0699474598396824	0.0712097183113787	0.0249430904834342	0.0718408475472268	0.0589755208164763	0.0241177676365559	0.0368859975617913	0.101309728021059	0.0478579365849975	0.0577618107475375	0.0397989017272443	0.0609660053295358	0.0600435856771423	0.0423719670733944	"SM B-cells"	"CVID"
"Immunodeficiency7827676"	0.0189734239460744	0.141002265318526	0.0441350350848113	0.030311066909774	0.0444333941101718	0.0306094259351345	0.055472678048511	0.146273274766562	0.0893861539311564	0.00972429415989834	0.0545776009724294	0.0779490579590033	0.0520912757610918	0.0479142494060445	0.00853085805845627	0.0334935631802862	0.090480137024145	0.0246422454279242	"SM B-cells"	"CONTROL"
"Immunodeficiency7827677"	0.0262350852360909	0.154182341912815	0.0327162563166586	0.0279112501707205	0.0417675469636583	0.0292521821184242	0.0473547634124235	0.154405830570765	0.0869122558696813	0.0398678933710781	0.0367390521597696	0.0397561490421028	0.0686979302467066	0.0389739387392756	0.0261233409071156	0.036180330514893	0.0771904992488298	0.0357333531989918	"SM B-cells"	"CVID"
"Immunodeficiency7827678"	0.0362850465181335	0.139346851114901	0.0490357977566619	0.022965790447314	0.0396960755118799	0.0196359764296092	0.0370159813025077	0.134230307624281	0.0919173051066172	0.0115956938014926	0.0580506600972775	0.0498479475170777	0.0671467374139347	0.0541523412472816	0.0233718653275219	0.0365286914462582	0.0842830973587085	0.0448938339785412	"SM B-cells"	"CONTROL"
"Immunodeficiency7827679"	0.0591163928393619	0.0683215360304782	0.0613080935991515	0.0619899560577527	0.0546355823971254	0.0541485377838388	0.0479630711950993	0.0715360304781696	0.063645907742927	0.01128861181462	0.0641816568175423	0.06208736498041	0.0556583760850272	0.0577526679221594	0.0308191008074117	0.0679319003398489	0.058239712535446	0.0493755005736303	"SM B-cells"	"CVID"
"Immunodeficiency7827680"	0.0413784645572725	0.0885087073828796	0.0534645572725043	0.0478354181996566	0.0466764778023056	0.0500981113563895	0.0562791268089281	0.0926477802305617	0.065495462349767	0.0150539612460142	0.0669303409369635	0.0946897228354182	0.0502636742702968	0.0589833210694138	0.0180340936963454	0.0517537404954624	0.068420407162129	0.0334866323276919	"SM B-cells"	"CONTROL"
"Immunodeficiency7827681"	0.0326308305920062	0.0823542879176758	0.0601224258636687	0.0651110388123727	0.0570316547976238	0.0599597537022979	0.026991528997819	0.0839810095313837	0.0715637012134138	0.0142488763571076	0.0563809661521406	0.0667919844798708	0.0582788080347998	0.0665750882647098	0.0275337695357216	0.0629963007145525	0.0705876682451891	0.0368603067876466	"SM B-cells"	"CVID"
"Immunodeficiency7827682"	0.0275780525996229	0.166922314894705	0.0376442015786278	0.0196689355446905	0.0318921164477679	0.0258524270603649	0.0353433675262838	0.167066117022976	0.10695682740549	0.0259962291886364	0.0444029016073882	0.0485731633272617	0.0418144632985013	0.0375003994503563	0.023839197264564	0.0360623781676413	0.0827980698558783	0.0400888377592433	"SM B-cells"	"CONTROL"
"Immunodeficiency7827683"	0.033361914969632	0.100500178635227	0.0493747767059664	0.0487959985709182	0.0490532332976063	0.0442300821722044	0.0474455162558056	0.112718828152912	0.0744551625580565	0.0124615934262237	0.0619792783136835	0.0593426223651304	0.055869953554841	0.0611432654519471	0.0156770275098249	0.055741336191497	0.0798570918185066	0.0379921400500179	"SM B-cells"	"CVID"
"Immunodeficiency7827684"	0.0251295756397797	0.133292840945902	0.0527534823453191	0.0330012957563978	0.043278263686427	0.0310333657272433	0.0544298671849692	0.122797214123745	0.0803773890508584	0.0103336572724328	0.0628846776805961	0.0477972141237447	0.0723598963394882	0.0553045027534824	0.011281179138322	0.0387593132491092	0.0830012957563978	0.0421849692257856	"SM B-cells"	"CONTROL"
"Immunodeficiency7827685"	0.033673480996098	0.079644608261379	0.0565054662525739	0.0496456321172201	0.0531779347690068	0.0642355778528605	0.0288101657508845	0.0811291992309705	0.0633653003879276	0.0306531062648601	0.0563518878764092	0.0913677576419462	0.0511814158788665	0.0497992104933848	0.0415571709725493	0.0565566590446287	0.0672047597920435	0.0451406664163908	"SM B-cells"	"CVID"
"Immunodeficiency7827686"	0.034474122493958	0.0854151796335951	0.0583104799829696	0.0600010017907009	0.0547603841867338	0.0579160248944989	0.0379678675632694	0.0957273626607561	0.0705949384524838	0.0242182901937213	0.050308676759708	0.0417433662672026	0.0619732772330541	0.0581977785291208	0.0311494296054197	0.0584795321637427	0.0696933268216938	0.0490689607673717	"SM B-cells"	"CONTROL"
"Immunodeficiency7827687"	0.0198479616692096	0.148371209079472	0.0405658609705827	0.0327364222811103	0.0328568751840253	0.0168366390963356	0.0416499370968174	0.158850611633074	0.103442276292192	0.0222570197275088	0.0447817125726063	0.0491180170775449	0.073208597660537	0.0469498648250756	0.00948901201852298	0.0394817848443481	0.0953719317968896	0.0241842661741481	"SM B-cells"	"CVID"
"Immunodeficiency7827688"	0.0245351359907632	0.122163561365774	0.0460720504297141	0.033250463234541	0.0401221635613658	0.0383623378679106	0.0535303593210239	0.127862044563628	0.0829445887687738	0.00660167416222055	0.0535303593210239	0.0937549465999981	0.055876793578964	0.0488374908051435	0.0165740197584663	0.0371053195154427	0.0831959924392674	0.035680698715979	"SM B-cells"	"CONTROL"
"Immunodeficiency7827689"	0.0341147083585558	0.0979258424308208	0.0568462507218848	0.0532768349788827	0.0576603279966045	0.0482671286729149	0.0374336387862595	0.109072438961599	0.0721258549550866	0.00699967297750503	0.0515860591006186	0.0936049707419236	0.0526506216906367	0.0609166370954836	0.0139506404770354	0.0462006248217032	0.0756326493692641	0.0317350978632211	"SM B-cells"	"CVID"
