Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.610133436812245,3.43941292490963e-57,5.51853803801749e-53,1.870338,1.260205,0.904079,0.680226
PTPRCAP,0.436787616678059,7.27780693780043e-42,5.83862061585039e-38,0.771903,0.335115,0.576626,0.282486
IGHM,0.512658279913624,5.44275412710828e-38,2.91096633231508e-34,1.879329,1.366671,0.929438,0.690395
RPS10,0.45758012138415,7.68417018382983e-34,3.08231276498874e-30,1.336505,0.878925,0.789416,0.548023
CXCL10,-0.622998120465215,1.92446584448812e-30,6.17561089496238e-27,0.448894,1.071892,0.194046,0.435028
ATP5D,-0.406209038266411,6.44415631407094e-29,1.7232748009878e-25,0.365411,0.77162,0.348401,0.430508
LGALS9,0.328537543669951,1.48144475471374e-28,3.39568301276885e-25,0.565073,0.236535,0.470783,0.188701
CXCL9,-0.54283746418619,2.34781487456271e-28,4.70883620779484e-25,0.35088,0.893718,0.16538,0.376271
CCL22,-0.436937032669561,3.85202145272215e-27,6.86729824543632e-24,0.212998,0.649935,0.117971,0.318644
FCRLA,0.398976508635594,5.61697623859021e-27,9.01243837481799e-24,0.913276,0.514299,0.620728,0.359322
NME2,0.404792737899257,4.89303231810778e-26,7.13715486763994e-23,1.490924,1.086132,0.815877,0.633898
ATP5I,0.390717249792872,4.34191834682321e-25,5.80550665623154e-22,1.351919,0.961201,0.803749,0.575141
MARCH1,0.320411438844353,3.78437544805269e-24,4.67079262030811e-21,0.638702,0.318291,0.507166,0.261017
ELL3,0.331970653163311,3.53024960279708e-23,4.04591820549137e-20,0.754129,0.422159,0.575524,0.323164
ACTB,-0.106857311879842,3.85450601387619e-23,4.12303659950956e-20,2.871981,2.978838,1,1
GET4,-0.151612261064724,7.96897554138713e-23,7.99138828509729e-20,0.033486,0.185099,0.040794,0.187571
CD52,0.399403191041136,9.28770692025204e-23,8.76595632561436e-20,1.091409,0.692006,0.674752,0.445198
GABARAP,0.376567635219329,9.90386246138972e-23,8.82819295516656e-20,1.410162,1.033595,0.824697,0.616949
POU2AF1,0.378418388483444,2.88124258135451e-22,2.43313353778069e-19,1.040262,0.661844,0.681367,0.435028
ARPC1B,0.369928395326515,4.4994466929609e-22,3.60968110942788e-19,1.340163,0.970235,0.798236,0.580791
ERP29,0.369809679686048,1.08549165625082e-21,8.29367315454496e-19,1.284551,0.914742,0.783903,0.559322
ARHGDIB,0.379618308539318,1.90045712117055e-21,1.38603793223552e-18,1.773629,1.394011,0.884234,0.702825
TSPO,0.30924272120646,1.03341138122688e-20,7.20916765729794e-18,0.728792,0.41955,0.570011,0.323164
TOMM7,0.327789550041016,1.08094413874832e-20,7.22656196092367e-18,1.822993,1.495203,0.919515,0.766102
MIR155HG,-0.417057385599701,1.24701401765771e-20,8.0033359653272e-18,1.523344,1.940402,0.770673,0.854237
COPE,0.339824943213483,1.2973515977765e-20,8.00615630243228e-18,1.193287,0.853462,0.76957,0.551412
RPL26,0.298857210271001,1.83797302998329e-20,1.09223249133637e-17,2.136394,1.837537,0.953693,0.848588
IFITM2,0.360806056465242,2.17359639084155e-20,1.24554836039474e-17,1.449608,1.088802,0.819184,0.636158
MEF2C,0.355454993672135,3.4366180358414e-20,1.86706059415379e-17,1.562147,1.206692,0.867696,0.677966
CD79B,0.378788838643482,3.49092040041219e-20,1.86706059415379e-17,1.152017,0.773228,0.724366,0.490395
RPS29,0.263808926920041,6.58841680872277e-20,3.41003702245022e-17,2.285167,2.021358,0.966924,0.898305
CCND2,-0.404163574231941,1.80077599967559e-19,9.02920341087338e-17,0.846086,1.25025,0.557883,0.670056
HLA-DMA,0.353248635817418,1.92336324065354e-19,9.35162521099577e-17,1.412022,1.058773,0.826902,0.627119
CHI3L2,0.297893630315599,3.94433114375527e-19,1.86137627063392e-16,0.670761,0.372868,0.507166,0.279096
CARHSP1,0.316484029345492,5.80314864106536e-19,2.66032914131125e-16,0.793357,0.476873,0.531422,0.333333
NDUFB1,0.317461005685525,9.58005108146704e-19,4.26977554450385e-16,1.022093,0.704632,0.692393,0.481356
PPP1R18,0.320824432942402,3.17406681401788e-18,1.37642978461937e-15,0.95854,0.637715,0.683572,0.444068
UQCRHL,0.262865181531027,3.38689811451545e-18,1.43007316440528e-15,0.662489,0.399624,0.53914,0.326554
EEF1G,0.216902978418149,4.9064768988996e-18,2.01857491904728e-15,0.418614,0.201712,0.394708,0.19322
KRT10,-0.245408110445586,5.66262419480707e-18,2.27142013014199e-15,0.243937,0.489345,0.257993,0.355932
CDK6,-0.275731461695777,6.40934322347702e-18,2.50785842602064e-15,0.301278,0.577009,0.287762,0.40226
RPL36A,0.321417929983856,6.56466524729616e-18,2.50785842602064e-15,1.53761,1.216192,0.85667,0.680226
DDT,0.272506831943113,7.17196977853527e-18,2.67614546736275e-15,0.684646,0.412139,0.564498,0.323164
OCIAD2,0.30438630890511,7.5911694933262e-18,2.76818896637316e-15,0.949013,0.644627,0.665932,0.449718
C17orf89,-0.275658944219098,1.66096971693109e-17,5.92227980181319e-15,0.378483,0.654142,0.377067,0.416949
NDUFA3,0.312740747127281,1.83431913084833e-17,6.39818488140465e-15,1.240015,0.927274,0.785006,0.584181
IFNGR2,-0.221709689439842,2.65533696719359e-17,9.06486843374918e-15,0.184769,0.406479,0.189636,0.318644
HLA-DMB,0.297373468122866,2.90644620419954e-17,9.71540194716282e-15,0.772221,0.474848,0.590959,0.348023
EVL,0.292841121945349,4.03775932562288e-17,1.32216017101264e-14,0.78155,0.488709,0.597574,0.367232
ORAI2,0.296804837837326,4.23055669546241e-17,1.35758564357389e-14,0.836173,0.539369,0.61742,0.387571
OAS1,0.2219132016455,4.70813068471632e-17,1.48121483992693e-14,0.361778,0.139865,0.300992,0.105085
PLAC8,0.276782252475776,4.88043384837358e-17,1.5058954057145e-14,0.640905,0.364123,0.500551,0.281356
SH3BGRL3,0.287859747271466,5.65453969386094e-17,1.71183187524526e-14,2.006413,1.718553,0.940463,0.822599
LCP1,-0.268961647849141,6.53183111560509e-17,1.94080056018303e-14,1.803231,2.072192,0.905182,0.938983
SELL,0.339848446049319,7.53821782445088e-17,2.19910372715117e-14,1.011514,0.671665,0.672547,0.433898
RPL17,0.313135324006305,1.00530108712915e-16,2.88036713267628e-14,1.591173,1.278037,0.85667,0.698305
NDUFA1,0.304054339106433,1.17219088576556e-16,3.29961451966814e-14,1.459166,1.155112,0.84344,0.674576
CTSH,0.315831193700725,1.24071102098335e-16,3.43227729856515e-14,1.614391,1.29856,0.868798,0.696045
CD19,0.306704285602608,1.46004977285376e-16,3.97059298397265e-14,1.630779,1.324075,0.889746,0.733333
BLK,0.273882876772724,1.5313990446386e-16,4.09521627853772e-14,0.697564,0.423681,0.553473,0.326554
PFDN5,0.256772138915903,2.75820526083272e-16,7.25498416558376e-14,1.957765,1.700992,0.950386,0.844068
COMMD6,0.303755193505772,3.69587728221159e-16,9.56457274082015e-14,1.407217,1.103462,0.828004,0.654237
CXCR4,0.283018604484852,4.32627524387767e-16,1.10182676647646e-13,0.680458,0.39744,0.506064,0.305085
TRAF1,-0.360383734020825,4.60983487319181e-16,1.15570000844317e-13,0.870512,1.230896,0.592062,0.676836
LAMTOR4,0.291728753023573,4.99031030477967e-16,1.23183890523369e-13,1.00487,0.713141,0.699008,0.482486
GMFG,0.280876973948154,5.73444242054688e-16,1.39407770663144e-13,0.83254,0.551663,0.625138,0.40565
SPIB,0.290385771705877,7.40791330885677e-16,1.77402938866578e-13,0.8441,0.553714,0.63065,0.385311
LRMP,0.262928209604193,1.02842716380498e-15,2.40829046462621e-13,0.644784,0.381856,0.496141,0.290395
SEPT6,0.308860689313966,1.03566246219513e-15,2.40829046462621e-13,1.403547,1.094687,0.818082,0.635028
LIMD2,0.290526333572177,1.07112661298683e-15,2.42147971543139e-13,1.801534,1.511008,0.911797,0.776271
MX1,0.306231919039551,1.0715179794056e-15,2.42147971543139e-13,0.756282,0.45005,0.54355,0.289266
FCMR,0.258756923682981,1.15206269979258e-15,2.53934670442854e-13,0.558349,0.299592,0.446527,0.239548
COX16,0.274439872179199,1.15532757509058e-15,2.53934670442854e-13,0.89014,0.6157,0.650496,0.445198
TMEM256,0.304227675607403,1.22096788417491e-15,2.64735536507924e-13,1.106531,0.802303,0.70011,0.512994
FCER2,-0.365590741792326,1.71594583442189e-15,3.67098012177323e-13,0.391012,0.756603,0.191841,0.344633
STX7,0.277605483054103,2.14636968508116e-15,4.53138178909569e-13,0.818556,0.54095,0.615215,0.386441
PAIP2,0.278025131582489,2.41391033471982e-15,5.03002484682852e-13,0.865073,0.587048,0.636163,0.429379
CD22,0.2676647223132,2.81303629700796e-15,5.78655992121702e-13,0.70784,0.440176,0.544653,0.331073
BANK1,0.314808299456279,4.35023613922674e-15,8.83538466504975e-13,1.256603,0.941795,0.775083,0.563842
LINC00926,0.265077338475413,4.67232445729951e-15,9.37093073967133e-13,0.653383,0.388306,0.503859,0.298305
NCF1,0.315289652125318,5.0685446764529e-15,1.00400986831712e-12,1.130276,0.814986,0.736494,0.519774
NUDT8,-0.0899662687250753,5.83224272942872e-15,1.141199202362e-12,0.021623,0.111589,0.025358,0.132203
BCL2A1,-0.36473213220415,6.80446568456634e-15,1.31425277948361e-12,0.884229,1.248961,0.579934,0.644068
AC079767.4,0.191517701188023,6.92290715978411e-15,1.31425277948361e-12,0.353173,0.161655,0.325248,0.152542
NME4,-0.212645524382084,6.96238617987578e-15,1.31425277948361e-12,0.249886,0.462532,0.277839,0.336723
SMIM14,0.275892215461312,7.41158100085274e-15,1.38277694370561e-12,0.74192,0.466027,0.521499,0.325424
ECH1,0.207050319329979,7.65765888213888e-15,1.41226593981515e-12,0.450795,0.243745,0.415656,0.221469
LSM6,0.291840880795768,8.97312426094353e-15,1.63606566780499e-12,1.286437,0.994596,0.779493,0.59774
PET100,0.26705334136784,9.94674013071063e-15,1.75532695637061e-12,0.825745,0.558691,0.615215,0.413559
POU2F2,0.309667255280925,9.9593781878728e-15,1.75532695637061e-12,1.435583,1.125915,0.807056,0.629379
AFF3,0.263794442974026,9.96432631528977e-15,1.75532695637061e-12,0.734191,0.470397,0.554576,0.338983
GLTSCR2,0.284040051254822,1.00648226853285e-14,1.75532695637061e-12,1.580822,1.296782,0.890849,0.724294
POLD4,0.292155343279663,1.12987917694459e-14,1.94934531119096e-12,0.989409,0.697254,0.671444,0.471186
ETFB,0.192321475773816,1.24575646088054e-14,2.12640025689662e-12,0.412871,0.220549,0.39581,0.212429
ZFP36,0.319253665941795,1.35407284473839e-14,2.28695776777131e-12,1.137016,0.817763,0.726571,0.503955
TESC,-0.125085085387341,1.55786796202761e-14,2.60374910945136e-12,0.030194,0.155279,0.034179,0.127684
SEPT9,0.293252170264529,1.69410305334869e-14,2.8022560299979e-12,1.198712,0.90546,0.758545,0.560452
KIAA0226L,0.246560429266206,1.86642856807454e-14,3.0558006504853e-12,0.63494,0.38838,0.521499,0.307345
ATP5H,0.28855157091838,2.27221625580783e-14,3.64788518336888e-12,1.181282,0.89273,0.736494,0.559322
WARS,-0.297103582303022,2.27353392544025e-14,3.64788518336888e-12,1.649509,1.946613,0.867696,0.908475
SH3BGRL,0.278724219088987,2.36001151783367e-14,3.7491470102615e-12,0.962327,0.683603,0.692393,0.468927
STUB1,-0.202277611660352,3.17543795242522e-14,4.9950884261434e-12,0.244368,0.446645,0.262404,0.341243
PDF,-0.127463344126326,3.38904450944442e-14,5.27934166544037e-12,0.071729,0.199192,0.094818,0.19887
TRBC2,0.272870148122873,4.51722641101785e-14,6.96908668015719e-12,0.849747,0.576877,0.600882,0.40904
TWF2,0.26376885919639,4.56063634413528e-14,6.96908668015719e-12,0.874789,0.61102,0.637266,0.438418
WSB1,0.272726922463591,4.61764357739394e-14,6.98963124521564e-12,0.846777,0.574051,0.629548,0.40904
IGHD,0.263071628260667,4.77228129377044e-14,7.15619190266791e-12,0.65025,0.387178,0.507166,0.277966
PHF19,0.213979214303175,6.07998626590868e-14,9.0327203367134e-12,0.504263,0.290284,0.411246,0.242938
HIST1H4C,0.327160587471422,6.35401452342201e-14,9.35322596589964e-12,1.549076,1.221915,0.801544,0.642938
RHOH,0.295399329655921,8.19978406663313e-14,1.19605032135571e-11,1.165171,0.869772,0.743109,0.540113
CRELD2,-0.17685046964827,9.89705491455101e-14,1.4306148297655e-11,0.177967,0.354817,0.219405,0.289266
BCAS4,0.249908193327094,1.10759575462083e-13,1.58672981097243e-11,0.755387,0.505479,0.570011,0.380791
HSP90AB1,-0.137410871043939,1.16026629703525e-13,1.63319644035002e-11,2.500387,2.637798,0.98677,0.985311
TCIRG1,0.202451235966854,1.16038887005237e-13,1.63319644035002e-11,0.427543,0.225092,0.381477,0.20565
TXN,-0.276821907441993,1.1826659700919e-13,1.65007612957605e-11,1.683165,1.959987,0.837927,0.890395
GYPC,0.282522747564883,1.20556661692067e-13,1.65428198920123e-11,1.239269,0.956747,0.77839,0.59435
PDLIM1,0.264065891555821,1.20630098308846e-13,1.65428198920123e-11,0.890972,0.626906,0.628445,0.435028
SYK,0.229221431976568,1.48619072576193e-13,2.02084154193646e-11,0.598759,0.369538,0.500551,0.305085
ISG15,0.267745917154613,2.16425337646021e-13,2.91810465758857e-11,0.773946,0.5062,0.585447,0.354802
LTA,-0.333730329272428,2.41993301550944e-13,3.23565210282074e-11,0.625499,0.959229,0.427784,0.512994
BOP1,-0.181777898093583,2.58837835278798e-13,3.4322752620234e-11,0.213653,0.395431,0.241455,0.329944
BTK,0.252972385390111,2.80439402858334e-13,3.66336968275086e-11,0.837493,0.58452,0.622933,0.424859
TMC8,0.198360516333763,2.80831705190624e-13,3.66336968275086e-11,0.450882,0.252521,0.417861,0.222599
PTPRC,0.297504812692801,2.89308008230024e-13,3.74350563875059e-11,1.4071,1.109595,0.820287,0.629379
