Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
EEF1A1,-0.399817349273999,2.70451616843515e-277,4.19362277077554e-273,2.949243,3.34906,0.99661,0.998951
RPLP1,-0.419268436149293,3.97346513047088e-256,3.08062751565407e-252,2.890295,3.309563,0.99096,0.999476
RPS12,-0.403989828692546,1.20196225050464e-251,6.21254221877496e-248,2.850172,3.254161,0.99435,0.998951
MALAT1,-0.43111863614652,4.58451493065601e-249,1.7771872128688e-245,2.915503,3.346622,1,0.999476
MT-CO1,-0.437384188917074,1.75135916813168e-246,5.43131505220995e-243,2.918316,3.3557,0.99774,0.999476
MT-CO2,-0.411390704142026,5.06565859711548e-245,1.30913503678121e-241,2.934255,3.345646,0.99774,1
B2M,-0.460446137841128,1.30912035349743e-229,2.89988860019016e-226,2.838014,3.29846,0.99774,0.997902
RPL10,-0.390824405776898,7.72437566543764e-216,1.49717711335345e-212,2.826013,3.216838,0.99548,0.997378
RPL28,-0.437821007246487,4.98987083180667e-211,8.59699301311047e-208,2.739512,3.177333,0.979661,0.999476
RPL13,-0.434478932064242,2.9224254110024e-210,4.53151284230032e-207,2.746345,3.180823,0.985311,0.996854
CD74,-0.420372244222574,2.74535766609897e-208,3.86995599732096e-205,2.914305,3.334677,0.99661,0.998427
MT-CYB,-0.445468677612193,3.83267376026336e-195,4.95245327722031e-192,2.682714,3.128182,0.99661,0.996329
RPS27A,-0.434381782134615,5.33372212413095e-180,6.3618996351365e-177,2.691917,3.126298,0.979661,0.995805
MT-ND4L,-0.408113214341505,7.60045370809414e-168,8.41804537126484e-165,2.719392,3.127505,0.99322,0.995805
RPS23,-0.410080752333604,6.26750041357452e-165,6.47892409419243e-162,2.72945,3.139531,0.986441,0.993707
RPS27,-0.50959279467623,3.0718391456699e-160,2.97699611204734e-157,2.627922,3.137515,0.976271,0.987939
TPT1,-0.533668171506917,8.60549808549131e-159,7.84922666550755e-156,2.532747,3.066415,0.969492,0.988464
RPS26,-0.422250753145828,1.02171814410238e-157,8.80153419025084e-155,2.662828,3.085078,0.984181,0.994232
MT-ATP6,-0.400589693789726,4.7101482703966e-154,3.84397679372472e-151,2.761307,3.161897,0.99661,0.992659
RPL18A,-0.412028076491656,2.25688557365955e-142,1.74976338525825e-139,2.71445,3.126478,0.978531,0.993183
RPS8,-0.386368267270721,4.34895663305393e-142,3.21118674057782e-139,2.746138,3.132507,0.987571,0.992659
RPL19,-0.391205912249847,2.15566030057463e-141,1.51934857366865e-138,2.722509,3.113715,0.985311,0.992659
RPS19,-0.390967673043098,2.87028829047612e-140,1.93507348835316e-137,2.724408,3.115375,0.981921,0.993183
FABP5,0.955536137931381,2.04801631923853e-138,1.32318921025469e-135,1.317218,0.361682,0.673446,0.155742
MT-CO3,-0.379390077074855,1.15997634601847e-135,7.19463728854497e-133,2.754009,3.133399,0.99322,0.993183
RPL30,-0.476152293742435,8.50492581618015e-134,5.07220691175729e-131,2.578397,3.05455,0.971751,0.986366
RPL32,-0.42424211522436,7.88861397152024e-132,4.53040178675529e-129,2.684313,3.108555,0.977401,0.990037
ATP5D,0.667387107064741,1.47684313684782e-130,8.17854631427223e-128,0.77162,0.104233,0.430508,0.048243
C17orf89,0.572036481611557,5.12681183856599e-124,2.7412532540967e-121,0.654142,0.082105,0.416949,0.038804
RPL11,-0.423936259367454,2.85772585062241e-120,1.47706323465837e-117,2.623976,3.047912,0.977401,0.987415
UHRF1,0.515518818620892,5.12913809446828e-118,2.56556178363952e-115,0.559662,0.044143,0.346893,0.018878
MCM7,0.710623511286628,1.489010282594e-117,7.21518545059453e-115,0.90414,0.193516,0.538983,0.085475
