Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
RP11-290D2.6,-0.774274239415884,6.19086503361905e-10,8.0914605989401e-06,0.272148,1.046422,0.158879,0.461794
IFITM1,0.649409298181393,2.50379126319023e-07,0.0012675867910467,1.381377,0.731968,0.626168,0.348837
TRBV3-1,0.27171103783387,2.90953356781952e-07,0.0012675867910467,0.284546,0.012835,0.102804,0.006645
TRAV12-3,0.221076346818406,5.6559864233745e-07,0.00184809356383762,0.229137,0.00806,0.093458,0.006645
CD8A,0.584859138559332,2.00139286672142e-06,0.00523164095360978,1.152491,0.567632,0.46729,0.262458
EID1,0.533172295427915,7.32663399259831e-06,0.01595985104721,1.494457,0.961285,0.71028,0.481728
CD3D,0.525061606294851,9.28054296009606e-06,0.0173280994983508,1.876791,1.351729,0.831776,0.644518
MT-ND6,-0.529521857263078,1.60471174852741e-05,0.0235073888402606,1.546248,2.07577,0.672897,0.830565
IL32,0.531719590405246,1.61871843582513e-05,0.0235073888402606,2.189699,1.657979,0.869159,0.714286
SHKBP1,0.3599842508096,3.32293881825672e-05,0.0391077581495913,0.642012,0.282028,0.345794,0.159468
ISG20,0.389537176514906,3.47565289818071e-05,0.0391077581495913,0.669463,0.279926,0.299065,0.146179
HIST1H1E,-0.520785865556578,3.59061283699385e-05,0.0391077581495913,0.541933,1.062719,0.299065,0.478405
FANCC,0.103524258964222,6.46704513729275e-05,0.0634332701537223,0.106015,0.002491,0.065421,0.003322
CKLF,0.259435402849924,6.79468846329084e-05,0.0634332701537223,0.422009,0.162573,0.261682,0.106312
ZNF34,0.101091605480586,8.77716107023028e-05,0.0764783301252732,0.101092,0,0.056075,0
PFN1,-0.369736671803084,0.000112731608881218,0.0920876330048451,2.080862,2.450598,0.841121,0.916944
MTRNR2L12,-0.278873768159848,0.000144185910384611,0.110853520513345,2.534775,2.813649,0.943925,0.986711
AC090498.1,0.438565685270322,0.00019590480974832,0.129852974404849,1.343171,0.904605,0.626168,0.465116
SNX18,0.0687560589514046,0.000203114175361364,0.129852974404849,0.068756,0,0.046729,0
MRPL41,-0.402417258322507,0.000213965028813181,0.129852974404849,0.50584,0.908258,0.299065,0.471761
IL2RA,-0.455464935990817,0.000217365920817102,0.129852974404849,1.39761,1.853075,0.616822,0.767442
UHRF1,-0.379070861713331,0.000218574249189493,0.129852974404849,0.314907,0.693978,0.186916,0.355482
CD8B,0.401996814150106,0.000247950306202076,0.134551410099133,0.84611,0.444113,0.373832,0.215947
RPS18,-0.277707061731455,0.000252093453530978,0.134551410099133,2.502656,2.780363,0.897196,0.966777
ANP32B,-0.439121905936471,0.000261644731362475,0.134551410099133,1.014079,1.4532,0.504673,0.671096
CSDE1,-0.416276914425586,0.000273143627663465,0.134551410099133,0.795052,1.211328,0.439252,0.611296
AIMP2,0.301090906754325,0.000277956241214735,0.134551410099133,0.597194,0.296103,0.35514,0.179402
TRBV6-6,0.105805473906972,0.00031197454536782,0.145625260998479,0.105805,0,0.046729,0
RGS16,-0.449549484305489,0.000323367442206783,0.145738361022161,0.63434,1.08389,0.327103,0.495017
TIGIT,0.30857291101732,0.00036216958870604,0.155709916207053,0.539772,0.231199,0.233645,0.122924
METRNL,0.189546834594524,0.000369319617629583,0.155709916207053,0.247885,0.058339,0.121495,0.0299
TNS3,0.0899719367517489,0.000393537652133973,0.156017010135004,0.089972,0,0.046729,0
MYL6,0.391844592920709,0.000398099532962857,0.156017010135004,2.276097,1.884253,0.915888,0.784053
ARPC1B,0.395977473588021,0.000405859092929621,0.156017010135004,1.135521,0.739543,0.570093,0.395349
MED10,0.348274464791492,0.000428240952333256,0.159917407057019,0.833048,0.484773,0.457944,0.27907
HLA-DPA1,0.318525149593344,0.000474453539807781,0.168725413490134,0.62234,0.303815,0.317757,0.169435
NANP,0.0765360343917826,0.000477646541632362,0.168725413490134,0.082005,0.005469,0.056075,0.006645
EIF5A,-0.400878969543037,0.000512908928049077,0.176413676042143,1.557608,1.958487,0.672897,0.813953
GADD45GIP1,-0.362092703281972,0.000537236177261971,0.179880807477242,0.410663,0.772756,0.242991,0.415282
IMP3,0.371868879843857,0.000604788270733247,0.179880807477242,1.049543,0.677674,0.542056,0.365449
HLA-E,0.395312512680075,0.000626394941469063,0.179880807477242,2.191673,1.79636,0.906542,0.770764
GOLGA5,0.17472468221014,0.000628992292384401,0.179880807477242,0.253762,0.079037,0.158879,0.049834
RPL26,0.413803948520167,0.000639746562961178,0.179880807477242,1.95149,1.537686,0.82243,0.684385
SEPSECS,0.115832729702258,0.000652316137247304,0.179880807477242,0.131482,0.015649,0.074766,0.009967
CCDC85B,-0.353629400288044,0.000668371516502291,0.179880807477242,0.397747,0.751376,0.252336,0.395349
RPL9,-0.302581429414882,0.000672676710907252,0.179880807477242,2.187562,2.490144,0.841121,0.936877
C14orf166,0.39496069029309,0.000685555160791871,0.179880807477242,1.316931,0.921971,0.635514,0.471761
TCAF2,0.188095328447468,0.000690469321159116,0.179880807477242,0.26962,0.081525,0.149533,0.046512
CEP192,0.1500720769786,0.000692430627466447,0.179880807477242,0.192419,0.042347,0.102804,0.026578
MAGED2,0.23490589836744,0.000700713724809167,0.179880807477242,0.379162,0.144256,0.214953,0.07309
SAMD10,0.0832325151040893,0.000701906746850752,0.179880807477242,0.092524,0.009291,0.056075,0.009967
PRKDC,-0.378228337987487,0.000730809062980722,0.183686047176116,0.540974,0.919203,0.308411,0.471761
VDR,-0.249924854351392,0.000777293353676035,0.18743619374319,0.109247,0.359172,0.093458,0.209302
PRF1,0.441235064238761,0.000830095046375803,0.18743619374319,1.445366,1.004131,0.64486,0.461794
C5orf56,0.16847030191778,0.000843958646238149,0.18743619374319,0.228108,0.059637,0.121495,0.036545
COMTD1,-0.206128873579896,0.000868878188084593,0.18743619374319,0.054334,0.260463,0.046729,0.166113
FTH1,-0.382599597609129,0.000906396450036908,0.18743619374319,1.631587,2.014186,0.719626,0.830565
RP9,-0.222449886199981,0.000916555499999624,0.18743619374319,0.069466,0.291916,0.046729,0.179402
ITM2A,0.261896972268423,0.000920990759774179,0.18743619374319,0.505527,0.24363,0.280374,0.146179
SH3BP5,0.183817522936711,0.000922164528530262,0.18743619374319,0.245976,0.062159,0.11215,0.033223
OASL,0.255173927029765,0.000940031834316973,0.18743619374319,0.40299,0.147817,0.168224,0.069767
NDUFA11,0.258048592454494,0.000947945421046335,0.18743619374319,0.526932,0.268884,0.327103,0.159468
RUNX3,0.349642360331082,0.000963856608080799,0.18743619374319,0.890628,0.540986,0.420561,0.302326
AK3,0.174997627866536,0.000969638907194451,0.18743619374319,0.271393,0.096395,0.17757,0.063123
ALOX5AP,-0.410080734784828,0.000980279126405101,0.18743619374319,0.526769,0.93685,0.261682,0.415282
COX5A,-0.387854381908555,0.000981087465633489,0.18743619374319,0.946135,1.333989,0.495327,0.631229
RPL4,-0.329711946464094,0.00102846957145793,0.18743619374319,2.047882,2.377594,0.813084,0.900332
HLA-C,0.246050265714279,0.00102994795504748,0.18743619374319,2.801361,2.555311,0.990654,0.953488
DNAJC2,-0.347507815975891,0.00103834950174392,0.18743619374319,0.517267,0.864775,0.299065,0.461794
BTN3A2,0.287050176764999,0.00103992140815755,0.18743619374319,0.521126,0.234076,0.242991,0.116279
HOTAIRM1,0.124625677360219,0.00104306885530947,0.18743619374319,0.137781,0.013155,0.056075,0.006645
STX5,0.236743141938807,0.00104683230644332,0.18743619374319,0.425016,0.188272,0.242991,0.112957
CUTA,0.312905255477601,0.00105302263267118,0.18743619374319,0.747203,0.434298,0.429907,0.239203
SLC9A3R1,0.328088607277152,0.00106123017115502,0.18743619374319,0.835298,0.507209,0.439252,0.289037
PAN2,0.0788058615309725,0.00110433113352788,0.192448105536125,0.081538,0.002732,0.046729,0.003322
CASZ1,0.117369989142621,0.00116505532752498,0.198136370121448,0.134088,0.016718,0.056075,0.009967
RPL3,-0.236529564077982,0.00116729154547448,0.198136370121448,2.399392,2.635922,0.897196,0.9701
C12orf76,0.144234272110602,0.00119231264327394,0.199788798046031,0.193321,0.049086,0.121495,0.0299
ATP8B4,0.11291037347733,0.00121047017660713,0.199987472221489,0.136296,0.023386,0.074766,0.016611
CBX7,0.130684815410812,0.00123638533276202,0.199987472221489,0.156361,0.025676,0.074766,0.013289
ZRANB1,0.137345745129191,0.0012476720254032,0.199987472221489,0.18269,0.045345,0.102804,0.0299
BIN2,0.252952243143457,0.00125470334523046,0.199987472221489,0.473154,0.220202,0.261682,0.122924
COX16,0.291380024859057,0.00131912231083241,0.20772203135638,0.686407,0.395027,0.373832,0.239203
ARL15,0.0687075460042624,0.0013365355487555,0.207958566931361,0.072641,0.003933,0.046729,0.003322
KLRD1,0.361423475573854,0.00135601203531527,0.208506791783183,0.920939,0.559516,0.448598,0.275748
RABAC1,0.381523814736051,0.00142511966439274,0.21047748301312,1.132909,0.751385,0.551402,0.378738
NDRG2,0.0586047350803268,0.00142683710130896,0.21047748301312,0.058605,0,0.037383,0
IFNGR1,0.167627699153368,0.00145534578771687,0.21047748301312,0.246652,0.079024,0.149533,0.049834
RARRES3,0.269509257052002,0.00148445803232289,0.21047748301312,0.438844,0.169335,0.17757,0.07309
LMF2,0.23516886587466,0.00149340131509629,0.21047748301312,0.45319,0.218021,0.252336,0.136213
RPS10,0.350790201325875,0.00149480008226456,0.21047748301312,1.063834,0.713044,0.53271,0.388704
C7orf50,-0.287739781997736,0.00150291757155328,0.21047748301312,0.249312,0.537052,0.17757,0.299003
RCBTB1,0.110157880794333,0.00150888980970783,0.21047748301312,0.136263,0.026105,0.084112,0.016611
PLCG2,0.100654199919764,0.00151545655031025,0.21047748301312,0.114988,0.014333,0.065421,0.006645
