Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.745571630067847,4.58447295068723e-47,6.78777065078752e-43,1.548299,0.802728,0.680365,0.35512
ARPC1B,0.52836619848836,3.02044931209092e-32,2.23603862574091e-28,1.01517,0.486804,0.500761,0.224946
RPS10,0.464765587269764,4.16741057659125e-27,2.05675603323367e-23,0.923466,0.4587,0.450533,0.220044
IGHM,0.597369743041181,4.06948829016647e-26,1.50632109060512e-22,1.689374,1.092004,0.724505,0.444989
NME2,0.445723182409108,1.76199264129979e-24,5.21761260941693e-21,0.966367,0.520644,0.47793,0.253268
EEF1A1,-0.137066963093816,4.51025281962882e-24,1.11298005412374e-20,3.164839,3.301906,0.998478,0.997821
RPL26,0.517403623024211,3.54810205864237e-22,7.50474272575127e-19,2.051798,1.534395,0.843227,0.62037
IFITM2,0.447325617524131,8.63164653745431e-20,1.59750198291936e-16,1.100831,0.653505,0.520548,0.291394
RPS12,-0.149246844135491,2.1796772466175e-19,3.58581125704652e-16,3.049977,3.199223,0.987823,0.996732
MALAT1,-0.144275919791674,4.61101648276795e-19,6.82707100438622e-16,3.142315,3.286591,0.996956,0.999455
RPLP1,-0.143179725674921,5.53501849734257e-19,7.45013489742309e-16,3.114135,3.257315,0.99239,0.995643
MT-ATP6,-0.164178952327028,1.16295906347141e-17,1.43489765781315e-14,2.931979,3.096158,0.993912,0.990741
MT-CO2,-0.132525600752891,1.48930486598961e-17,1.69620368044939e-14,3.161363,3.293888,0.998478,0.998911
MT-CO1,-0.137717841835422,6.13306338642758e-17,6.48615260710334e-14,3.154336,3.292054,0.998478,0.998366
B2M,-0.125526119430146,1.30626463374227e-16,1.28937027781254e-13,3.159652,3.285178,1,0.997277
TPT1,-0.219541325710249,2.15392478276809e-16,1.99318814585402e-13,2.732997,2.952538,0.969559,0.97549
RPS4Y1,0.449322889840893,3.3019973468835e-16,2.87584545399748e-13,1.829403,1.380081,0.776256,0.562092
PTPRCAP,0.197862262749062,5.44681226591444e-16,4.48030568939607e-13,0.289501,0.091639,0.155251,0.043573
CD19,0.417047128629659,7.06733272535668e-16,5.35193606711953e-13,1.265761,0.848714,0.587519,0.373094
MEF2C,0.41534422361401,7.229415192651e-16,5.35193606711953e-13,1.170896,0.755552,0.543379,0.327887
CTSH,0.401140645032522,8.76939677190995e-16,6.18284231451899e-13,1.121653,0.720513,0.531202,0.319717
CYBA,0.411082092090116,1.54435333036728e-15,1.03934979133718e-12,1.260412,0.84933,0.593607,0.372549
POU2F2,0.372076697398307,3.55313821081501e-15,2.28729410214465e-12,0.944082,0.572005,0.447489,0.256536
HLA-DRB5,0.400325442260044,4.03374593341272e-15,2.4884850954212e-12,2.355791,1.955466,0.925419,0.74183
COPE,0.326867582986512,5.57477299986134e-15,3.30160356143788e-12,0.781641,0.454774,0.407915,0.220044
ATP5J2,0.403466413565208,6.02873919773182e-15,3.43313509852374e-12,1.348648,0.945181,0.616438,0.420479
ATP5I,0.329942897707957,7.58281648161424e-15,4.15819188247335e-12,0.800517,0.470574,0.412481,0.223856
PFDN1,0.254424255678721,2.18976149335349e-14,1.15791459537828e-11,0.498125,0.243701,0.270928,0.124183
EEF1G,0.13117124733116,3.31729753418316e-14,1.69365197555572e-11,0.177807,0.046636,0.106545,0.026144
PFN1,-0.349675111156633,5.52652853716387e-14,2.72752605070827e-11,2.065798,2.415473,0.818874,0.85512
RPL10,-0.122523145357313,7.80735607787953e-14,3.72889400287369e-11,3.043882,3.166405,0.99239,0.995098
DNPH1,0.341916806931162,9.17321528167588e-14,4.24433204564041e-11,0.912879,0.570962,0.444444,0.266885
PPP1R2,0.308898178443567,2.0610074778506e-13,9.24705355062304e-11,0.735721,0.426823,0.378995,0.197712
NDUFA3,0.31685184181665,7.19995346510872e-13,3.13536797071764e-10,0.83968,0.522828,0.423135,0.246187
C19orf43,0.356017330012183,1.13256569566949e-12,4.79107648288069e-10,1.163382,0.807364,0.560122,0.365468
