Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
STK17A,1.09354606256393,5.52301970058128e-67,7.82170049996321e-63,1.758779,0.665232,0.775362,0.304348
YBX1,0.915239151981141,3.30505115541183e-50,2.34030672314711e-46,1.918757,1.003518,0.836957,0.439614
ZFP36L2,0.893573699797984,6.76709862820803e-42,3.19452169242274e-38,1.367658,0.474085,0.607488,0.217391
BTG1,0.644122529289,1.92212601389545e-41,6.80528715219683e-38,2.490064,1.845941,0.955314,0.775362
PTPRCAP,0.840185139778154,4.83851035206648e-40,1.37045967211931e-36,1.380322,0.540136,0.637681,0.258454
PNRC1,0.837174339426886,6.72710228926272e-39,1.58782037700898e-35,1.438891,0.601716,0.660628,0.275362
ATP5D,0.70248318395177,4.2012504112303e-37,8.49972976054907e-34,0.843626,0.141142,0.410628,0.067633
AC090498.1,0.696480035925831,9.83442680108296e-36,1.74093940446171e-32,2.266535,1.570055,0.908213,0.666667
MTRNR2L12,-0.15569014825683,5.45941110482064e-27,8.59068667405221e-24,3.010597,3.166287,1,1
MALAT1,-0.0904213814919701,1.10449612971006e-26,1.56418741889539e-23,3.151505,3.241927,1,1
KRT10,0.626500081900814,1.50624359928394e-26,1.93922016845992e-23,0.929189,0.302689,0.449275,0.142512
RPS10,0.669800829772212,1.4057854896099e-25,1.65906117532128e-22,1.628468,0.958667,0.7343,0.432367
C19orf43,0.644579061419491,3.20103601763889e-24,3.48715939090785e-21,1.525068,0.880489,0.705314,0.400966
MT-ATP6,-0.0821911646548137,4.94058288549229e-24,4.99775248745299e-21,3.002656,3.084847,1,1
LYSMD2,0.459551491743124,4.50903909701949e-23,4.25713411279934e-20,0.530271,0.07072,0.266908,0.033816
MARCKSL1,0.588740318005788,6.22627408911382e-23,5.51103085312687e-20,0.889874,0.301133,0.419082,0.135266
SNHG7,0.570014429121202,1.29837498490556e-22,1.08162273742544e-19,0.860701,0.290687,0.413043,0.135266
CHCHD10,0.420127369499437,1.32405501211026e-21,1.04173706008364e-18,0.471496,0.051369,0.236715,0.028986
