Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
IFI44L,0.916838799675075,3.57797253245799e-29,4.80951067813003e-25,1.131838,0.214999,0.454191,0.093023
IFI6,0.886800379167633,1.33821355885505e-23,8.99413332906478e-20,1.32412,0.43732,0.524366,0.169435
ISG15,0.860845573571257,4.49902544849852e-21,2.01586333595724e-17,1.369262,0.508416,0.528265,0.199336
IRF7,0.76082614673202,1.19712790253624e-17,4.02294831647305e-14,1.331223,0.570397,0.534113,0.225914
IFITM1,0.588860347695526,7.71893217669412e-17,2.07515772638245e-13,2.703527,2.114667,0.94152,0.757475
ISG20,0.71813111767929,1.17886433187935e-16,2.64104905818703e-13,1.171494,0.453363,0.467836,0.189369
MX1,0.662082287008665,6.16550225993021e-16,1.18395259111403e-12,0.993752,0.331669,0.401559,0.136213
XAF1,0.703572405481802,2.43171455539535e-15,4.08588838170304e-12,1.310662,0.60709,0.530214,0.239203
LY6E,0.685416419025429,3.87690499936423e-15,5.79037300016156e-12,2.178008,1.492591,0.816764,0.561462
ACTB,-0.221520064440107,1.02538983566339e-14,1.37832901709873e-11,2.920489,3.142009,0.984405,1
IFIT3,0.569720054420025,8.56953768665304e-14,1.047197505309e-10,0.805776,0.236056,0.327485,0.096346
MTRNR2L12,-0.241266703745848,1.8417939551099e-12,2.06311619538228e-09,3.025428,3.266694,0.980507,0.996678
MT-ATP6,-0.122193482718982,4.16842092713491e-12,4.3101472386575e-09,3.033154,3.155347,0.998051,1
AC090498.1,0.628292310393293,5.03310070997539e-12,4.83249569596352e-09,1.669041,1.040749,0.658869,0.418605
RSAD2,0.436410422601918,7.61772517375423e-11,6.82649745237362e-08,0.58273,0.14632,0.237817,0.056478
MT-CO2,-0.0920742413746476,6.87858602472362e-10,5.77887208402093e-07,3.249148,3.341222,1,1
EIF2AK2,0.472784082473117,1.09043567199509e-09,8.62213900174e-07,0.81515,0.342366,0.337232,0.142857
C5orf56,0.504101504655397,2.41591802042318e-09,1.80415389058491e-06,1.0046,0.500498,0.413255,0.192691
IFIT1,0.349196430946057,2.69781221400015e-09,1.90388131274494e-06,0.435553,0.086356,0.179337,0.033223
EPSTI1,0.40864797959655,2.83273517742142e-09,1.90388131274494e-06,0.615097,0.206449,0.25731,0.089701
HERC5,0.34134982097959,6.95656222047131e-09,4.45286235083692e-06,0.435083,0.093733,0.177388,0.039867
