Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
RPL3,-0.117771274061765,5.05778756587206e-13,6.44817336773029e-09,2.994971,3.112743,1,1
RPS6,-0.102651282775772,7.76110304011049e-11,4.94731513291843e-07,2.968707,3.071358,1,1
MT-ATP6,-0.10813943191383,8.41946130178552e-10,3.41786835181748e-06,3.07285,3.18099,1,1
RPS27A,-0.0890574008948248,1.09546921462867e-09,3.41786835181748e-06,3.084635,3.173693,1,1
MT-CO1,-0.100183103180812,1.34044566311769e-09,3.41786835181748e-06,3.230028,3.330211,1,1
PTPRCAP,0.496731851188919,4.0033957110923e-09,8.50654865345262e-06,0.739077,0.242345,0.346667,0.110727
TPT1,-0.135953220584124,4.9821634654539e-09,9.0739431458674e-06,3.02688,3.162833,0.993333,1
RPL13,-0.0889201441328122,8.21897646921901e-09,1.30979663757591e-05,3.182526,3.271446,1,1
RPLP0,-0.12648607499872,1.39638744198414e-08,1.97806038865064e-05,2.919416,3.045902,0.993333,1
RPS8,-0.0840901855943925,1.85609145888704e-08,2.36633100093509e-05,3.086367,3.170457,1,1
EEF1A1,-0.0758784395105683,5.70416740396225e-08,6.38868852423219e-05,3.267188,3.343067,1,1
RPL10,-0.0821140112321399,6.01335495260697e-08,6.38868852423219e-05,3.158752,3.240866,1,1
DUSP2,0.20119616689154,8.39173549887441e-08,8.2297104519346e-05,0.212589,0.011393,0.113333,0.00692
RPS10,0.597497312632125,1.8900952338618e-07,0.0001721201724036,1.659492,1.061995,0.72,0.467128
PSIP1,0.48303808666568,2.25527502793466e-07,0.000191683342207593,0.878491,0.395452,0.433333,0.179931
RPS23,-0.0801145375063679,3.21366444542314e-07,0.000256068800091872,3.085945,3.166059,1,1
MT-CO2,-0.0815433137722072,3.92798630707665e-07,0.000283621528911712,3.240664,3.322208,1,1
RPS3A,-0.0764714169749761,4.00438271269183e-07,0.000283621528911712,3.082797,3.159269,1,1
STK17A,0.578703190075898,4.35714902459631e-07,0.000292364699550412,1.561451,0.982747,0.693333,0.429066
