Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
GZMK,0.925056966815318,6.69558978060656e-41,9.70860518187951e-37,1.263517,0.33846,0.473597,0.122924
AC090498.1,0.747312673703858,8.62970413247416e-30,6.25653549604377e-26,2.036014,1.288701,0.820132,0.541528
MT-CO2,-0.149222288009057,1.45043985202345e-24,7.01045928477999e-21,3.182351,3.331573,1,1
FYN,0.603393667677393,6.48364343337267e-22,2.35032074459759e-18,1.167291,0.563898,0.531353,0.254153
MT-CO1,-0.140503853221942,9.36534470235457e-22,2.71594996368283e-18,3.188636,3.32914,1,1
IFITM1,0.584967539430852,2.66160966769885e-21,6.43222336360556e-18,2.410524,1.825557,0.915842,0.702658
TC2N,0.578409811951053,1.43547312546372e-19,2.97348004560341e-16,1.157369,0.578959,0.524752,0.240864
MT-CYB,-0.153369811040438,2.54045653409702e-19,4.60457746805085e-16,2.99307,3.14644,1,0.998339
PPP2R5C,0.563378540761505,3.92360784045506e-19,6.32136818739982e-16,1.187329,0.62395,0.544554,0.284053
RPS10,0.576460284227268,4.73117659339023e-19,6.86020606041583e-16,1.300414,0.723954,0.577558,0.328904
IFI44L,0.351849707136546,9.26712766962282e-19,1.22157592008664e-15,0.429107,0.077258,0.20132,0.034884
MT-ATP6,-0.157288242837009,3.07342963167279e-17,3.71372747160462e-14,2.977019,3.134308,0.99505,0.996678
CST7,0.511002651108551,3.85124737256965e-17,4.29562206940461e-14,0.922605,0.411602,0.405941,0.177741
SYNE2,0.583755819572413,5.01968724793678e-17,5.19896179250595e-14,1.526258,0.942502,0.658416,0.380399
RARRES3,0.549662415830823,8.95594563958494e-17,8.65741411826544e-14,1.228174,0.678511,0.549505,0.277409
PTPRCAP,0.393480814385346,2.18739459762555e-16,1.98232635409816e-13,0.597986,0.204505,0.290429,0.091362
ITM2A,0.467155410882542,4.32199681283552e-15,3.68640904624206e-12,0.943856,0.4767,0.438944,0.219269
HIST1H1E,-0.434577396529644,2.56718553365315e-14,2.06801056877615e-11,0.349075,0.783652,0.168317,0.332226
PASK,0.496675906655883,2.82901960127312e-14,2.15898864307685e-11,1.121281,0.624605,0.4967,0.255814
MT-CO3,-0.137292536110469,3.84939632832324e-14,2.79081233803435e-11,3.005478,3.14277,0.99835,0.995017
TCF7,0.505263760709937,4.28262619903983e-14,2.95705142314655e-11,1.33235,0.827087,0.59736,0.343854
SRSF5,0.505781210365954,4.65557079313994e-14,3.06844438638769e-11,1.79192,1.286138,0.767327,0.528239
FYB,0.523456194391036,5.52032294041263e-14,3.48020359286883e-11,1.835287,1.31183,0.757426,0.523256
ISG15,0.430906746126603,6.47637482944951e-14,3.91280979279241e-11,0.78931,0.358403,0.354785,0.156146
RPS29,0.356864304383361,8.21742638651217e-14,4.76610730417706e-11,2.711808,2.354943,0.965347,0.855482
IL2RA,-0.348063495249128,1.28400100345335e-13,7.16077482695136e-11,0.156009,0.504072,0.072607,0.214286
LMNA,-0.229035730921524,3.41023022773192e-13,1.83141993711529e-10,0.045161,0.274197,0.026403,0.136213
TSHZ2,0.422097604480588,4.41701040429841e-13,2.28738038794025e-10,0.828364,0.406267,0.376238,0.179402
ZFP36L2,0.48554314011844,6.31743527726025e-13,3.15871763863012e-10,1.195554,0.71001,0.516502,0.29402
