sample,clonotype_expansion,number_of_clonotypes,cell_count_per_clonotype,,sample
CVID_nonact,1,956,956,,Immunodeficiency8103070
,2,3,6,,Immunodeficiency8103070
,0,-,5,,Immunodeficiency8103070
CVID_CD40L,1,623,623,,Immunodeficiency8103072
,2,3,6,,Immunodeficiency8103072
,0,-,5,,Immunodeficiency8103072
CVID_CD3,1,714,714,,Immunodeficiency8103073
,0,-,28,,Immunodeficiency8103073
,2,3,6,,Immunodeficiency8103073
,5,1,5,,Immunodeficiency8103073
CONTROL_nonact,1,409,409,,Immunodeficiency8103074
,0,-,40,,Immunodeficiency8103074
CONTROL_CD40L,1,471,471,,Immunodeficiency8103076
,0,-,14,,Immunodeficiency8103076
,2,1,2,,Immunodeficiency8103076
CONTROL_CD3,1,1502,1502,,Immunodeficiency8103077
,0,-,145,,Immunodeficiency8103077
,2,61,122,,Immunodeficiency8103077
,55,1,55,,Immunodeficiency8103077
,3,5,15,,Immunodeficiency8103077
,4,3,12,,Immunodeficiency8103077
,5,1,5,,Immunodeficiency8103077
