Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
PFN1,-0.778190615715961,4.31227759165517e-100,7.1355257309118e-96,2.301975,3.080165,0.9,0.965082
RPS2,-0.513745294947213,4.44530728038949e-60,3.67782497843024e-56,3.191604,3.705349,0.958182,0.989903
COX5A,-0.564937010968982,7.4017062577261e-58,4.08253444821979e-54,1.07561,1.640547,0.709091,0.875894
ANP32B,-0.486990126135491,1.90339457473269e-44,7.87386750702546e-41,1.220586,1.707576,0.770909,0.902398
FTH1,-0.492155967539856,4.07866020292568e-37,1.34979180755622e-33,2.042379,2.534535,0.883636,0.962979
AC090498.1,0.420022629969739,5.63754938730611e-37,1.55474216186257e-33,1.471308,1.051285,0.82,0.806479
HMGN1,-0.396684671309741,1.10094842201865e-36,2.60248479130609e-33,0.780747,1.177432,0.681818,0.83761
MT-ATP8,0.437967474702786,9.52237457554088e-36,1.96958415126844e-32,2.86729,2.429323,0.970909,0.967606
EIF5A,-0.497794051135471,2.31768653761558e-35,4.26119545976944e-32,1.977388,2.475182,0.834545,0.925957
YBX1,-0.497969358053227,4.76687050748293e-34,7.88774062873201e-31,2.025723,2.523692,0.856364,0.934792
MX1,0.244648312150956,6.05178420813236e-34,9.10353393563328e-31,0.358018,0.11337,0.314545,0.137148
UQCRFS1,-0.344670769877736,1.33158175338035e-33,1.83614027276538e-30,0.484194,0.828865,0.567273,0.721498
PTPRCAP,0.167804727032453,4.74199787905836e-32,6.03583376190605e-29,0.215506,0.047701,0.230909,0.070257
HLA-B,0.40407408555999,2.2660334673307e-31,2.6782896988515e-28,3.638742,3.234668,0.985455,0.987379
HNRNPAB,-0.413324204390695,3.22641646248779e-31,3.5591675469857e-28,0.78642,1.199744,0.607273,0.79512
MRPL41,-0.352916651073184,7.53693515100273e-31,7.79460412147764e-28,0.679614,1.032531,0.634545,0.787968
MT-ND3,0.361633676582803,4.82960240860219e-28,4.70090770912591e-25,3.291137,2.929503,0.981818,0.985696
GAPDH,-0.530461381546748,7.85039504745361e-28,7.21669371390083e-25,4.023621,4.554082,0.952727,0.981069
CALM3,-0.380471391708563,3.02509854191937e-27,2.63454239858631e-24,0.926429,1.3069,0.670909,0.832562
HIST1H1E,-0.627813484615481,1.59559998504732e-26,1.3201196476289e-23,0.843484,1.471297,0.550909,0.735381
