Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
IGHM,0.946058788079889,9.98174649316414e-14,1.36540310279992e-09,1.625146,0.679087,0.754902,0.383673
AC090498.1,0.781892973578133,6.43409772090553e-12,4.40060113621334e-08,2.06074,1.278847,0.892157,0.693878
IGHD,0.252771907336429,6.5505334935502e-09,2.65684626721009e-05,0.284881,0.032109,0.215686,0.032653
MT-ATP8,0.547031277191545,7.76912425531133e-09,2.65684626721009e-05,3.347746,2.800715,1,0.95102
POLD4,0.51540448354835,4.38878834465461e-08,8.83091609674727e-05,1.173324,0.657919,0.784314,0.485714
ZFP36L2,0.497495816056492,4.46751555708065e-08,8.83091609674727e-05,0.763086,0.26559,0.411765,0.2
PTPRCAP,0.433332577144422,4.51907395842027e-08,8.83091609674727e-05,0.771248,0.337916,0.558824,0.306122
IFI44L,0.462161042154574,8.26434029130185e-08,0.000141309888555898,0.695868,0.233707,0.470588,0.126531
BTG1,0.632119426444892,3.15733161856572e-07,0.000477381988416105,1.860653,1.228534,0.901961,0.706122
RP11-731F5.2,0.324679167283659,3.48988952712994e-07,0.000477381988416105,0.47757,0.152891,0.352941,0.138776
CD19,0.477865084323609,5.89339971949001e-07,0.000732871043299125,1.176411,0.698546,0.754902,0.502041
FOXP1,0.386019810706842,7.10299429310596e-07,0.000749698161192351,0.697185,0.311165,0.539216,0.261224
STK17A,0.425241935620454,7.12484545324992e-07,0.000749698161192351,0.882882,0.45764,0.647059,0.371429
UCP2,0.479680257512121,1.0372966742255e-06,0.0010135129433379,1.076942,0.597261,0.745098,0.428571
PLAC8,0.363084115382551,1.21781680548282e-06,0.00107120040339312,0.574923,0.211839,0.45098,0.159184
ZFP36,0.579969963954896,1.2529575593457e-06,0.00107120040339312,1.520186,0.940216,0.852941,0.546939
FCRLA,0.471039934282828,1.59714028035541e-06,0.00123877595943311,1.04304,0.572,0.686275,0.412245
ZEB2,0.284803152343734,1.63008752612003e-06,0.00123877595943311,0.418734,0.133931,0.333333,0.134694
CD72,0.257963861985987,2.21645348249134e-06,0.00159229686534978,0.3498,0.091836,0.254902,0.089796
IFITM2,0.454304859626526,2.32808957577276e-06,0.00159229686534978,1.107837,0.653532,0.735294,0.461224
C19orf43,0.476615019443749,2.49086058845478e-06,0.00162249914235586,1.408884,0.932269,0.833333,0.579592
CTSS,0.428857310844355,3.14112280728594e-06,0.00189531245766035,0.929707,0.500849,0.696078,0.359184
GABARAP,0.480090535798516,3.18679629550319e-06,0.00189531245766035,1.534532,1.054441,0.901961,0.64898
RPL26,0.547934608599715,4.39511832961871e-06,0.00250503431795226,2.51812,1.970185,0.95098,0.816327
PFDN5,0.48529288446297,4.72214409364752e-06,0.00258376836228018,2.310138,1.824845,0.990196,0.828571
LBH,0.410949534927907,5.73226387030127e-06,0.0029118758821264,0.769417,0.358468,0.509804,0.257143
ACP5,0.367888184637129,5.74754359364082e-06,0.0029118758821264,0.644462,0.276574,0.480392,0.204082
OAS1,0.328716966058431,6.31952698397526e-06,0.0030873146290642,0.540584,0.211867,0.411765,0.155102
AC079767.4,0.34766847872827,7.53154093691248e-06,0.00355254994744917,0.557536,0.209868,0.372549,0.159184
DAZAP2,0.444270842008086,8.23378726800669e-06,0.00375433253463545,1.501941,1.05767,0.901961,0.677551
RPS21,0.395068935691567,8.78655155450346e-06,0.00384709708276348,3.502558,3.107489,1,0.955102
SPI1,0.312969053795143,8.99971537747141e-06,0.00384709708276348,0.594082,0.281113,0.5,0.257143
CD79B,0.457150069784287,1.13499171522444e-05,0.004704712628047,1.258686,0.801536,0.784314,0.542857
GSTP1,0.609004292107905,1.17879901460625e-05,0.00474258580023495,1.867753,1.258749,0.843137,0.571429
SYF2,0.347082441930128,1.36251499064226e-05,0.00532509787342728,0.732087,0.385004,0.598039,0.330612
FLJ37453,0.141415563541777,1.40592175800668e-05,0.00534211214660372,0.161121,0.019705,0.117647,0.02449
IRF9,0.191546086788702,1.50882584012675e-05,0.00543193577114018,0.257542,0.065996,0.215686,0.061224
FCRL5,0.152920848844337,1.50898135319341e-05,0.00543193577114018,0.197648,0.044727,0.196078,0.057143
ATP5E,0.44168109167285,1.97976087463308e-05,0.00694388436002715,2.373719,1.932038,0.960784,0.840816
SMIM14,0.345566798992851,2.11765581172796e-05,0.0072418534621567,0.676189,0.330622,0.490196,0.257143
XXbac-BPG32J3.22,0.120661525356741,2.52325024955104e-05,0.00830375346107473,0.151969,0.031308,0.156863,0.069388
ARL4D,0.132925939951696,2.54958436556136e-05,0.00830375346107473,0.149382,0.016456,0.117647,0.02449
ERCC1,0.239921290663277,2.7326113453686e-05,0.00869288153332491,0.425147,0.185226,0.401961,0.212245
RPS29,0.482496355375607,3.11543192224611e-05,0.0096854530146374,2.966273,2.483776,0.95098,0.902041
SNX3,0.349974287790553,3.69073323419242e-05,0.011219008869004,0.868003,0.518028,0.656863,0.412245
BLOC1S4,0.117327049480719,3.8578128547923e-05,0.0114719613131965,0.134711,0.017384,0.117647,0.032653
ABI3,0.262832002595168,4.1337134690226e-05,0.0120308652218639,0.484164,0.221332,0.460784,0.204082
JCHAIN,-0.663502047771737,4.24060090228136e-05,0.0120848291129806,0.856813,1.520315,0.421569,0.653061
FAM26F,0.198305141154815,4.64234029699051e-05,0.0129597087597007,0.295192,0.096886,0.245098,0.118367
RTFDC1,0.274057845889973,4.98170247255484e-05,0.0136289416244155,0.607036,0.332978,0.539216,0.322449
