Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,1.27867743593151,6.92762128511236e-118,9.8406860355021e-114,2.357889,1.079212,0.909586,0.505564
STK17A,1.10509666997567,9.00782489915566e-110,6.39780763462531e-106,1.565675,0.460578,0.79085,0.251192
ZFP36L2,1.0022764981946,5.03598958755983e-92,2.38454106970958e-88,1.266372,0.264095,0.653595,0.158983
PTPRCAP,0.872800785090257,6.60543411340721e-88,2.34575478952373e-84,1.158434,0.285633,0.669935,0.17965
BTG1,1.07728527451669,2.29853189974012e-85,6.53012912716169e-82,2.701768,1.624482,0.947712,0.704293
RPS10,0.852915167032907,2.7063540405432e-70,6.40729319098603e-67,1.401023,0.548108,0.752723,0.303657
ATP5D,0.60748883599174,5.96283380296913e-66,1.21002934530252e-62,0.680539,0.07305,0.447712,0.042925
RPL26,0.946777866258465,6.69420243232191e-65,1.18863931938916e-61,2.92942,1.982642,0.956427,0.72496
YBX1,0.888656596597188,9.52191571337276e-64,1.41006613924277e-60,1.714882,0.826225,0.835512,0.391097
RPS29,0.894172146282062,9.92654797073402e-64,1.41006613924277e-60,3.249778,2.355606,0.969499,0.81558
RPL41,0.591807920155235,4.13006676535703e-56,5.33341803653605e-53,4.249431,3.657623,0.995643,0.974563
PNRC1,0.731654166233833,3.85665825963621e-52,4.56531921484436e-49,1.215329,0.483675,0.684096,0.251192
KRT10,0.556176822812205,3.01039804563142e-51,3.28943878755341e-48,0.71242,0.156243,0.472767,0.09539
MT-ATP8,0.661211116170928,8.18298722575825e-51,8.30280953870685e-48,3.365459,2.704248,0.990196,0.895072
MARCKSL1,0.577834093548075,4.6569985682785e-45,4.41017764415974e-42,0.743612,0.165778,0.438998,0.09539
C19orf43,0.638352224008088,1.75031404760192e-41,1.55395069038658e-38,1.250459,0.612107,0.71024,0.332273
BACH2,0.605683941241646,2.01468775199575e-39,1.6834493833588e-36,1.01519,0.409506,0.588235,0.230525
TGFBR2,0.523991352795982,2.31962072057645e-39,1.83056735198825e-36,0.730957,0.206965,0.454248,0.122417
SNHG7,0.494130489102582,2.67879707685132e-39,2.00275328824595e-36,0.658123,0.163992,0.421569,0.098569
CHCHD10,0.344348063412885,1.73334323332518e-36,1.23110703146921e-33,0.371691,0.027343,0.262527,0.019078
CYBA,0.581615804723938,1.73000067632536e-35,1.17022188605722e-32,1.091368,0.509752,0.645969,0.267091
NME2,0.506369035646062,3.32198944492979e-35,2.14494818478307e-32,0.802513,0.296144,0.513072,0.173291
RPL17,0.636250636376233,1.17315010084202e-34,7.24547703585259e-32,1.482288,0.846037,0.754902,0.421304
LYSMD2,0.341677698066053,3.35150653728059e-33,1.98367293175295e-30,0.388709,0.047032,0.277778,0.023847
RPL36A,0.64632680364096,6.50410657975514e-33,3.69563335861687e-30,1.718259,1.071932,0.809368,0.505564
PSIP1,0.390292888872583,1.06611858388244e-31,5.82469787848081e-29,0.516339,0.126046,0.358388,0.074722
SNX3,0.483302088858968,6.04112794018987e-31,3.17830453297767e-28,0.826695,0.343393,0.53159,0.190779
RPS2,0.482135069494568,1.20485790286218e-30,6.11250232505618e-28,3.45735,2.975215,0.98366,0.933227
RPL37,0.391273945687629,9.79622970682861e-30,4.79846355122415e-27,3.898574,3.5073,0.994553,0.968203
RPS21,0.424027607693423,2.306548357546e-29,1.09215064729803e-26,3.663613,3.239586,0.992375,0.945946
