Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.999039968151111,1.07552706663234e-33,1.42969812967437e-29,1.594816,0.595776,0.735632,0.302251
RPS29,0.854449754261224,8.83122920812472e-24,5.86967649318009e-20,2.646964,1.792514,0.948276,0.710611
RPL26,0.848885535673957,7.5594125264352e-22,3.34957569046344e-18,2.143449,1.294563,0.864943,0.562701
MT-ATP8,0.600393321024906,3.10541696236666e-20,1.0320076920185e-16,3.268209,2.667816,0.991379,0.903537
RPL41,0.572792508299287,1.00502873020155e-18,2.67196938211383e-15,3.58296,3.010167,0.991379,0.945338
MT-ND3,0.47915723436546,1.35117784401726e-17,2.99353451342024e-14,3.523977,3.04482,0.994253,0.96463
RPS10,0.537106484214932,3.43828466376117e-17,6.52930257648246e-14,0.815946,0.27884,0.479885,0.163987
RPS27,0.381835118547994,5.08989593092787e-17,8.45749832622803e-14,4.388314,4.006479,0.997126,0.987138
RPS21,0.553113882542627,1.44836130289852e-16,2.13922964438111e-13,3.193079,2.639966,0.985632,0.903537
RPL37,0.477059937301731,2.86262843432733e-16,3.80529197775132e-13,3.520236,3.043176,0.994253,0.948553
RPS28,0.390409924857351,9.17273249916631e-14,1.10848302828562e-10,3.781911,3.391501,0.991379,0.974277
RPL23A,0.489205344277243,5.12857893752886e-13,5.68118331804759e-10,3.113703,2.624497,0.985632,0.88746
RPS19,0.285342486505787,5.27878112354339e-12,5.39775672886633e-09,3.981118,3.695775,0.997126,0.993569
IGHM,0.602821240669367,2.00582950325129e-11,1.9045351133371e-08,2.035608,1.432787,0.859195,0.59164
LSM7,0.490822608780559,3.42545557226082e-11,3.03563872813754e-08,1.063196,0.572374,0.583333,0.305466
RPL11,0.305341840447922,1.21523934744969e-10,9.91403127518212e-08,3.772021,3.46668,0.997126,0.983923
COX4I1,0.522492705799767,1.2678743073655e-10,9.91403127518212e-08,2.141257,1.618764,0.899425,0.681672
RPL34,0.352780160155553,1.65948723042631e-10,1.22553131966983e-07,3.716886,3.364106,0.991379,0.96463
RPL17,0.441645609372341,2.8246450109895e-10,1.97621084900439e-07,0.860192,0.418546,0.488506,0.21865
CTSH,0.464948188417275,6.09489915154656e-10,4.00241054780916e-07,1.067203,0.602254,0.586207,0.305466
RPL39,0.285336755986318,6.3229234562546e-10,4.00241054780916e-07,3.780194,3.494857,0.994253,0.987138
STK17A,0.399647201472455,9.00061411864335e-10,5.43841652177846e-07,0.69509,0.295442,0.402299,0.157556
MT-CO3,0.221278479769225,2.75332851337878e-09,1.59130417079757e-06,4.107583,3.886304,1,1
ARPC1B,0.389708719213844,3.65383160525195e-09,2.02376598035893e-06,0.783325,0.393616,0.479885,0.215434
RPL22,0.431950051960222,4.07508754808818e-09,2.16680555106945e-06,2.65439,2.22244,0.956897,0.836013
EEF1B2,0.467592562201475,5.37413516256148e-09,2.74762995061268e-06,2.531842,2.06425,0.936782,0.78135
EIF3K,0.451540321010893,5.91270881428252e-09,2.9110236395651e-06,1.357733,0.906193,0.732759,0.437299
MT-ND4L,0.226957312701139,7.0264157216735e-09,3.33579086386449e-06,3.997469,3.770511,1,0.996785
PLAC8,0.345282134062571,7.398048821957e-09,3.39111251690601e-06,0.577509,0.232227,0.356322,0.118971
ATP5J2,0.412313218453941,7.85605008542489e-09,3.48101579285177e-06,0.964417,0.552104,0.563218,0.286174
RPL6,0.415740763060107,8.88343804626535e-09,3.80927554674211e-06,2.978796,2.563056,0.974138,0.874598
