Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,1.027749936616,1.25858889302312e-11,1.52729762168356e-07,2.139774,1.112024,0.886792,0.559524
STK17A,0.794635352038469,1.56398049861558e-09,9.48945167535001e-06,1.087757,0.293121,0.632075,0.190476
RPS29,0.857947909687408,6.93770409429652e-09,2.80630130614294e-05,3.003523,2.145575,0.971698,0.797619
RPL26,0.811865489598554,2.3216811424967e-07,0.000704340016604936,2.556166,1.744301,0.933962,0.714286
PNRC1,0.595082582984545,5.73336820788357e-07,0.00139148846405334,0.846938,0.251856,0.537736,0.178571
RPL17,0.659460226627801,6.91104080302904e-07,0.00139775800241262,1.378758,0.719298,0.754717,0.440476
RPS10,0.637041756111764,8.10676573378183e-07,0.00140536574542061,1.129115,0.492073,0.669811,0.309524
WARS,-0.860522061345391,2.32261857392567e-06,0.0035231220493235,0.682319,1.542841,0.367925,0.595238
BTG1,0.751109156312432,4.09548089062545e-06,0.00552207340085998,2.239485,1.488375,0.924528,0.738095
NME2,0.501184503652443,7.80368291465764e-06,0.00864161604500221,0.856121,0.354936,0.537736,0.261905
RPL41,0.583011667656662,7.83335611825499e-06,0.00864161604500221,3.947421,3.364409,0.981132,0.952381
IGHV4-55,0.445460783403036,1.29172792059393e-05,0.0130625985970061,0.62723,0.181769,0.45283,0.130952
PTPRCAP,0.518803547020175,1.44852698178609e-05,0.0135214422492109,0.875724,0.356921,0.566038,0.25
TMA7,0.603909190238754,2.01847483098476e-05,0.0174958514814286,1.801578,1.197669,0.886792,0.559524
ATP5I,0.462391929485085,2.27838787583857e-05,0.018432157915534,0.82002,0.357628,0.575472,0.238095
EEF1G,0.265086038582034,2.48099100250351e-05,0.0188167661346126,0.306784,0.041698,0.292453,0.035714
LSM7,0.583469083460728,6.62009536585826e-05,0.0472557983909941,1.594228,1.010759,0.811321,0.52381
RPL30,0.419991121566303,0.000106859640153852,0.0720412074037219,4.057017,3.637026,0.990566,0.964286
ALOX5AP,0.343905553268562,0.00012849045402624,0.0820648241899168,0.485704,0.141798,0.377358,0.095238
KRT10,0.337835268993583,0.000144689244764128,0.0877901992606345,0.481379,0.143544,0.358491,0.142857
