Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.585700063812928,6.09687872285682e-29,8.66671310454098e-25,1.186134,0.600433,0.675,0.377049
RPL26,0.569660197623437,1.19284062796556e-19,8.47811476326521e-16,1.812789,1.243129,0.8125,0.606557
PFN1,-0.591080931703574,2.18502113696961e-19,1.0353358487341e-15,2.178494,2.769575,0.84,0.88627
RPS29,0.573089174515889,5.20839583699223e-19,1.85093367057111e-15,2.1976,1.624511,0.885,0.711066
ARPC1B,0.416169143691659,2.57291979255306e-18,7.31481097022835e-15,0.847072,0.430903,0.56,0.277664
IGHM,0.533953293521629,8.32563249553433e-17,1.97248109873367e-13,1.463325,0.929372,0.7775,0.483607
FTH1,-0.567556140496103,6.44706198127292e-16,1.30921408662564e-12,2.409098,2.976654,0.9325,0.922131
ATP5I,0.317093779780582,3.83224849358037e-13,6.80942654203063e-10,0.716277,0.399183,0.5075,0.271516
MT-ATP8,0.40996975922194,1.12679359493428e-12,1.77970788355453e-09,2.911756,2.501787,0.97,0.896516
IFITM2,0.375046375542878,2.12588063989756e-12,3.02193932961438e-09,0.952116,0.57707,0.59,0.348361
NME2,0.29701822184759,4.43311195198543e-12,5.72878967249754e-09,0.711404,0.414385,0.4925,0.295082
MT-ND3,0.351480183884746,6.71973191573777e-12,7.96008243185104e-09,3.245383,2.893903,0.985,0.940574
SEPT9,0.330904444579462,1.00908472979425e-11,1.10339534107887e-08,0.778518,0.447614,0.515,0.279713
IFITM1,0.457134360611195,1.82703530605675e-11,1.85509334825691e-08,2.009872,1.552738,0.8925,0.702869
COPE,0.281424211846267,2.23847436307895e-11,2.12132753807782e-08,0.652901,0.371476,0.49,0.26332
CTSH,0.347773280929102,2.86084278886545e-11,2.36467825718066e-08,0.961211,0.613437,0.6075,0.376025
HLA-DQB1,0.446165831031613,2.87740326554019e-11,2.36467825718066e-08,2.042638,1.596472,0.8825,0.717213
RAC2,0.417011064784448,2.99431647057699e-11,2.36467825718066e-08,1.671859,1.254848,0.8225,0.621926
RPS10,0.270762591285051,3.16463132015082e-11,2.36764390610231e-08,0.617634,0.346871,0.45,0.248975
MARCKSL1,0.130825734456055,3.5150760941397e-11,2.49834033390979e-08,0.173563,0.042737,0.15,0.035861
CD19,0.375193723972703,3.99197413796194e-11,2.7021863033871e-08,1.168462,0.793268,0.68,0.456967
TOMM7,0.377823499643899,1.38008674259717e-10,8.91724229364488e-08,1.344479,0.966656,0.7425,0.518443
HLA-DRB5,0.427399856468938,1.5330427071245e-10,9.23564151867467e-08,2.451431,2.024031,0.955,0.797131
TSPO,0.223209329659089,1.55930634152791e-10,9.23564151867467e-08,0.414797,0.191587,0.33,0.130123
MT-ND4,0.347706867153528,2.76086011341186e-10,1.56982506048598e-07,2.80741,2.459703,0.9875,0.893443
CORO1A,0.422243059482731,3.57631749557712e-10,1.95528281537034e-07,1.973861,1.551618,0.86,0.684426
SP110,0.221211589033731,5.40684188454207e-10,2.84660212550983e-07,0.427748,0.206537,0.335,0.143443
HLA-DPB1,0.433643521988982,7.35425538189799e-10,3.73359786620286e-07,2.152686,1.719043,0.905,0.727459
ATP5J2,0.336489881189143,1.77072201815948e-09,8.67959085797826e-07,1.197267,0.860777,0.6875,0.485656
C9orf16,0.238176388521907,1.98891799119813e-09,9.42415641496045e-07,0.539039,0.300863,0.425,0.210041
IGHG3,0.208161223442828,2.08439152113982e-09,9.45052296545363e-07,0.432016,0.223855,0.3225,0.170082
PLAC8,0.201613188858648,2.12744801192062e-09,9.45052296545363e-07,0.391203,0.18959,0.3025,0.144467
HLA-DPA1,0.36510658786678,2.60535880020462e-09,1.12227804075481e-06,2.910186,2.54508,0.975,0.88832
HLA-DMA,0.337472939145613,3.0233577941415e-09,1.26403032481534e-06,1.005713,0.66824,0.6025,0.380123
CD79A,0.399682436233662,4.56551800958977e-09,1.85425252875196e-06,1.827296,1.427613,0.8525,0.657787
LY6E,0.368664819713011,5.80145893535155e-09,2.29077052127839e-06,1.545932,1.177267,0.7675,0.595287
TNRC6B,0.175520410788719,9.0130882164725e-09,3.46273105397721e-06,0.290554,0.115033,0.205,0.077869
FTL,-0.345584992903183,9.4534293616156e-09,3.53632890461489e-06,3.5055,3.851085,0.9725,0.97541
MT1X,0.187336044504506,1.78176619321548e-08,6.49430934270721e-06,0.400798,0.213462,0.3175,0.167008
C14orf2,0.283770439615015,3.43339268535301e-08,1.22014192555733e-05,0.940621,0.65685,0.5875,0.393443
SNRPB,0.280103708554486,3.63828911077709e-08,1.23912219091974e-05,0.92303,0.642926,0.5775,0.39959
HLA-DRB1,0.359182070061321,3.66114189367775e-08,1.23912219091974e-05,2.73345,2.374268,0.9725,0.869877
TRPT1,0.164440734928138,4.50273143549567e-08,1.48152843718379e-05,0.312542,0.148102,0.26,0.114754
FIS1,0.23048620823099,4.7462878753295e-08,1.48152843718379e-05,0.626298,0.395812,0.475,0.273566
ELL3,0.183781794086099,4.80056143961018e-08,1.48152843718379e-05,0.346352,0.162571,0.2575,0.11168
CYBA,0.304399100272138,4.81844587072891e-08,1.48152843718379e-05,1.062725,0.758326,0.6575,0.4375
MEF2C,0.31922774379737,4.89847601460697e-08,1.48152843718379e-05,1.064036,0.744808,0.6325,0.420082
SRP14,0.343280497945724,6.30677673688129e-08,1.86772565239099e-05,1.926613,1.583332,0.845,0.699795
RPL22,0.332028679324956,7.07353390222579e-08,2.05204662081918e-05,2.450567,2.118538,0.9225,0.814549
EEF1G,0.092278849987588,8.64481987373207e-08,2.45772229010203e-05,0.134472,0.042193,0.1325,0.036885
CAPZB,0.291555457993364,8.8546394948326e-08,2.46801373370677e-05,1.130054,0.838499,0.7075,0.490779
ETFB,0.0973381172609133,9.69724789945021e-08,2.65089190174394e-05,0.144113,0.046775,0.14,0.040984
DDX54,0.211830042692237,1.18655233767415e-07,3.18242292076188e-05,0.551613,0.339783,0.4275,0.245902
RABAC1,0.265139746411902,1.4883823348315e-07,3.91802868326477e-05,0.827104,0.561964,0.555,0.35041
ABT1,0.198676518317861,1.60347057757785e-07,4.1442425927762e-05,0.489636,0.29096,0.395,0.210041
GYPC,0.274315913397758,1.85136279982392e-07,4.69948610705303e-05,0.923915,0.6496,0.5975,0.384221
LGALS9,0.165032414624193,2.21054916124267e-07,5.51279935562535e-05,0.325378,0.160346,0.2725,0.109631
