Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
ATP5D,-1.25077043961377,1.2614823779974e-183,1.9438181962562e-179,0.216462,1.467233,0.503401,0.898089
PRELID1,-1.203630178392,8.31837380422566e-137,6.40889109746566e-133,0.60292,1.80655,0.75737,0.936306
NFKBIA,-1.13365146760048,1.6040438869037e-116,8.23890408443302e-113,0.67316,1.806812,0.818594,0.968153
C17orf89,-0.767320206935841,5.0670292397756e-98,1.95194633889255e-94,0.288866,1.056186,0.585034,0.856688
MARCKSL1,-1.05545884318764,3.77878465836838e-95,1.16454585601597e-91,0.429997,1.485456,0.68254,0.888535
KRT10,-0.587519774926971,2.59304548630269e-85,6.65937298307303e-82,0.131595,0.719114,0.37415,0.77707
KDELR2,-0.4876362561405,6.20056213930562e-64,1.36492088577943e-60,0.183455,0.671092,0.446712,0.77707
STUB1,-0.477664302102271,3.83486395437148e-62,7.38642733411378e-59,0.166772,0.644436,0.410431,0.754777
CHCHD10,-0.511522266512377,8.71082785694689e-61,1.4913905160855e-57,0.216379,0.727901,0.501134,0.745223
CYC1,-0.608074911140508,8.35595087907772e-59,1.28756847095709e-55,0.509989,1.118063,0.770975,0.843949
IFNGR2,-0.491560767611573,2.75890164614004e-58,3.86471958776108e-55,0.094375,0.585936,0.258503,0.713376
ARL5A,-0.457244791673624,1.09536147464828e-52,1.40653541357127e-49,0.223904,0.681149,0.503401,0.761146
PPIF,-0.484277112905795,1.59700724176509e-48,1.89294496833526e-45,0.29034,0.774617,0.573696,0.751592
NME4,-0.452274025392832,2.06412584790021e-47,2.27186537073531e-44,0.214582,0.666856,0.485261,0.719745
SLBP,-0.540469565247515,6.50742561509477e-47,6.68486142019969e-44,0.33751,0.877979,0.605442,0.757962
PTGES2,-0.417010917770213,5.60593755578625e-46,5.39886823731939e-43,0.209431,0.626442,0.47619,0.729299
SRSF9,-0.397074482173265,2.33988500123786e-45,2.12089929318083e-42,0.187966,0.58504,0.453515,0.694268
BAG1,-0.430605441141609,1.242115347464e-44,1.06331974383737e-41,0.247297,0.677903,0.528345,0.748408
BOP1,-0.339927764178556,1.48667258955196e-44,1.20569147012664e-41,0.12941,0.469338,0.369615,0.671975
JAK1,-0.53320125890036,1.1694300152049e-43,9.00987355214618e-41,0.43815,0.971351,0.693878,0.856688
C20orf24,-0.417391696296995,1.85010340481413e-42,1.3575353983229e-39,0.252909,0.670301,0.52381,0.732484
TOMM40,-0.406604643326212,4.99884055451879e-42,3.50123336839e-39,0.240599,0.647203,0.54195,0.732484
RCN2,-0.293624875058766,1.69250918579398e-41,1.13390756712606e-38,0.065785,0.35941,0.208617,0.579618
CRELD2,-0.367915712655736,5.34369641280098e-41,3.43087575103543e-38,0.129951,0.497867,0.360544,0.652866
TNIP2,-0.379775117223121,1.76172824619042e-40,1.08585882182192e-37,0.199306,0.579081,0.45805,0.707006
AC090498.1,0.507272099194137,3.41276400476155e-40,2.02258771343734e-37,2.026086,1.518814,0.977324,0.920382
C19orf24,-0.355004950299929,2.67711740524647e-39,1.52784081842381e-36,0.190815,0.54582,0.46712,0.681529
GRINA,-0.406583064077604,2.80572722825979e-39,1.54405181643768e-36,0.231599,0.638182,0.507937,0.729299
PDCD2,-0.331557384877073,7.30049469713731e-39,3.87908009614444e-36,0.152962,0.484519,0.39229,0.678344
RELB,-0.364247577836291,6.69735463180567e-38,3.43998458404979e-35,0.126333,0.490581,0.315193,0.681529
GET4,-0.218099182639694,1.57678311824835e-36,7.83762937712545e-34,0.016805,0.234904,0.056689,0.442675
HSF1,-0.325185127480138,3.34376052189922e-35,1.61012518381078e-32,0.160202,0.485387,0.417234,0.671975
MTCH1,-0.303647419314685,6.36663830581453e-35,2.97283423194837e-32,0.145949,0.449596,0.387755,0.640127
PCBP2,-0.450248794121471,1.28708960029927e-34,5.83316577970923e-32,1.626033,2.076282,0.963719,0.968153
ZYX,-0.316379176121724,2.80695789841533e-34,1.23578326447662e-31,0.125282,0.441661,0.312925,0.636943
CLTB,-0.285782597963348,3.18150359542854e-34,1.36177191394329e-31,0.09893,0.384713,0.281179,0.598726
FAM173A,-0.318422563316795,5.47318972335137e-33,2.27936163370598e-30,0.184278,0.5027,0.442177,0.681529
AKR7A2,-0.296987030885269,8.14433837582889e-33,3.30252921139862e-30,0.110486,0.407473,0.290249,0.60828
TRAF4,-0.275666400306188,2.41427796959868e-32,9.53887416244772e-30,0.093127,0.368793,0.287982,0.56051
PDF,-0.219076630797021,1.7734658309987e-30,6.83183374746474e-28,0.047888,0.266965,0.160998,0.468153
ZNF511,-0.25239438522048,1.25593359725793e-29,4.72016604881643e-27,0.106401,0.358796,0.310658,0.573248
MZT2B,-0.306457348914817,2.80140316613213e-28,1.02778146159357e-25,0.232576,0.539033,0.52381,0.656051
EBPL,-0.198745244940904,9.79877751445937e-28,3.51138052837917e-25,0.036752,0.235498,0.124717,0.43949
TTC39C,-0.286704349789987,1.47979396675149e-27,5.18230573492583e-25,0.159239,0.445943,0.412698,0.585987
LYSMD2,-0.229123289533859,3.12086686777687e-27,1.06865416812386e-24,0.070894,0.300017,0.231293,0.493631
NUDT8,-0.131422902071648,5.75674976295218e-27,1.928386023855e-24,0.009709,0.141132,0.029478,0.33121
FAAP20,-0.314786808382618,5.21949850125795e-26,1.7112181362954e-23,0.325307,0.640094,0.623583,0.742038
TXNL4A,-0.328610558294747,6.00272800113116e-26,1.92700074519646e-23,0.29173,0.620341,0.575964,0.675159
VOPP1,-0.373831283874408,7.21485620502231e-26,2.26885141353446e-23,0.408875,0.782707,0.662132,0.783439
SH3BP5,-0.317543062424823,9.63679536977009e-26,2.96986759705575e-23,0.206161,0.523704,0.469388,0.643312
PARVB,-0.228237782986994,1.1721486088587e-25,3.54149763017721e-23,0.131022,0.35926,0.362812,0.592357
C4orf48,-0.261763819076297,1.83850359548642e-25,5.44798113516352e-23,0.162832,0.424596,0.399093,0.617834
UBE2S,-0.284928553175913,4.96357304671503e-24,1.44308862409117e-21,0.120889,0.405817,0.29932,0.506369
FDX1,-0.210989922903731,1.77386932819919e-22,5.0617689774484e-20,0.113242,0.324232,0.324263,0.538217
GMDS,-0.20040736644752,3.87534706277282e-21,1.08573132527757e-18,0.121759,0.322167,0.349206,0.55414
TSR3,-0.145595587057514,1.31112387354661e-20,3.60769781562137e-18,0.05251,0.198105,0.192744,0.410828
MAP2K3,-0.205170942545034,1.34583823821298e-20,3.63824937063577e-18,0.092956,0.298127,0.276644,0.5
RPL37,0.283718886779621,1.88761715828703e-20,5.01487806759394e-18,3.773798,3.49008,1,0.990446
IFITM1,0.467567542439873,2.02455914662654e-20,5.25225817248707e-18,1.172244,0.704676,0.900227,0.719745
COPRS,-0.14587443805811,2.04513914173031e-20,5.25225817248707e-18,0.033718,0.179593,0.117914,0.359873
FKBP4,-0.364971497140172,2.3706976841757e-20,5.98853780581366e-18,0.602711,0.967682,0.759637,0.792994
HMGA1,-0.471321914562559,2.99312512501575e-20,7.43888145989802e-18,1.279382,1.750704,0.891156,0.872611
TYMS,-0.400541791758857,3.98767799978608e-20,9.75335401566726e-18,0.320887,0.721429,0.498866,0.55414
RSAD1,-0.166071440824925,4.38160856472409e-20,1.05494072459115e-17,0.058648,0.224719,0.197279,0.433121
SOCS1,-0.204959350899922,4.45611874662699e-20,1.0563743656427e-17,0.030955,0.235915,0.090703,0.369427
ATP6V0A2,-0.295845169597963,5.2642874957732e-20,1.22905160639953e-17,0.303448,0.599293,0.571429,0.694268
VPS4A,-0.19324439139563,6.49299919679275e-20,1.49329290482656e-17,0.09905,0.292294,0.29932,0.515924
RBM17,-0.346758558677514,1.22177250142817e-19,2.76857242272157e-17,0.692778,1.039536,0.816327,0.821656
CBX3,0.349427615741842,1.38306771186765e-19,3.08865077857516e-17,1.143931,0.794503,0.902494,0.764331
GSR,-0.230818894356009,2.50632193501998e-19,5.5171306709604e-17,0.108872,0.339691,0.287982,0.477707
KTN1,-0.314297644401791,3.65000242906006e-19,7.92153344075865e-17,0.543823,0.858121,0.752834,0.808917
PPM1G,-0.363124785944957,3.87352402924311e-19,8.28987941202876e-17,0.794949,1.158074,0.829932,0.834395
GFER,-0.215143905977836,4.10422323120365e-19,8.66328435200233e-17,0.152263,0.367407,0.39229,0.573248
STRADB,-0.126047453958591,5.09831991321833e-19,1.06162177760515e-16,0.040573,0.16662,0.14966,0.353503
METTL9,-0.21251835524319,6.4974842131844e-19,1.33492978987945e-16,0.153675,0.366194,0.380952,0.570064
RRP1B,-0.288737036484604,1.2107099212782e-18,2.45471436539156e-16,0.408247,0.696984,0.678005,0.732484
FAM58A,-0.159147340063391,1.55599917715106e-18,3.11381705463906e-16,0.080003,0.23915,0.256236,0.464968
C1QBP,-0.395864475938953,2.0947967939485e-18,4.13829792281441e-16,1.419133,1.814998,0.907029,0.920382
YBX1,-0.411235027801728,3.46124069605675e-18,6.75117188424538e-16,2.567242,2.978477,0.984127,0.974522
TESC,-0.192447263304424,5.27173406799586e-18,1.01540187817185e-15,0.014943,0.207391,0.047619,0.273885
ZNF296,-0.174967158109451,6.11345784031805e-18,1.16299101063532e-15,0.036022,0.210989,0.104308,0.375796
EPN1,-0.204734242890396,8.43364699794251e-18,1.58480569013776e-15,0.148056,0.35279,0.405896,0.566879
MZT2A,-0.235353181611875,1.05412610841436e-17,1.94349468926188e-15,0.253899,0.489252,0.553288,0.646497
EIF4A3,-0.273456468561595,1.05946884222206e-17,1.94349468926188e-15,0.345447,0.618903,0.632653,0.710191
RPL21,-0.355812867191529,1.08204202403971e-17,1.96155124099152e-15,2.008197,2.364009,0.968254,0.968153
RPS21,0.28149859252473,1.4865843020176e-17,2.66357878020805e-15,3.477899,3.196401,0.995465,0.980892
BRD9,-0.147860997762744,1.70688219252793e-17,3.02314341432907e-15,0.078956,0.226817,0.253968,0.44586
PDSS1,-0.128097752977285,2.63673098726119e-17,4.61697588439861e-15,0.04787,0.175967,0.154195,0.378981
NPW,-0.145155903010443,3.03967826844087e-17,5.26274184701183e-15,0.030699,0.175855,0.106576,0.292994
RPS28,0.243902067294322,3.77495591766094e-17,6.46314397058193e-15,3.951551,3.707649,1,0.987261
MCUR1,-0.173121559295805,6.13401029480701e-17,1.03866994101847e-14,0.138612,0.311734,0.39229,0.528662
NFE2L2,-0.243450637149166,7.2591503042692e-17,1.21582877215743e-14,0.282072,0.525523,0.575964,0.684713
GNB2,-0.230771184958893,8.91613663056677e-17,1.47729838000434e-14,0.223876,0.454648,0.494331,0.624204
CTSZ,-0.174592475847393,1.14969716713545e-16,1.87919338240014e-14,0.132909,0.307502,0.360544,0.522293
FAM195A,-0.223098342741209,1.15856558717641e-16,1.87919338240014e-14,0.269193,0.492292,0.55102,0.66242
NME2,0.327192090354757,1.31747288206109e-16,2.11468121246659e-14,1.51559,1.188398,0.936508,0.869427
KRAS,-0.249943943959465,1.69840533212149e-16,2.69801317140825e-14,0.292146,0.54209,0.575964,0.675159
COQ2,-0.127694945639625,1.92318651986985e-16,3.02391643721168e-14,0.033065,0.16076,0.120181,0.318471
CECR5,-0.128533002491286,2.14350517300872e-16,3.33629002130216e-14,0.059351,0.187884,0.206349,0.398089
SNX3,-0.281289494077054,2.2826790100937e-16,3.51738008665337e-14,0.544988,0.826278,0.773243,0.824841
TRAP1,-0.260948692739831,2.3620369411523e-16,3.60362645804117e-14,0.375549,0.636498,0.648526,0.707006
RPL41,0.224505027012964,2.69572409032913e-16,4.07239338312564e-14,3.690256,3.465751,0.995465,0.996815
SMCHD1,-0.237541356281673,3.82480731777002e-16,5.72198601548721e-14,0.315203,0.552745,0.609977,0.707006
KDSR,-0.149180463029432,4.1629539484338e-16,6.16797667225158e-14,0.073414,0.222595,0.229025,0.429936
CCDC85B,-0.347068838860923,5.05519217863222e-16,7.41861488386132e-14,0.852137,1.199206,0.845805,0.834395
MTRNR2L12,-0.656913450714603,5.76535473299411e-16,8.38097651704776e-14,3.237463,3.894376,1,0.996815
SRRM2,-0.319226491720848,7.35421790965173e-16,1.05907610999835e-13,0.771729,1.090955,0.827664,0.847134
AFG3L2,-0.20661254341077,1.59208210399316e-15,2.25850501278938e-13,0.202606,0.409219,0.469388,0.582803
WDR5,-0.136541121413964,1.59761857611813e-15,2.25850501278938e-13,0.066177,0.202718,0.222222,0.404459
LY6E,0.314031857974418,5.66895745806204e-15,7.94117867920709e-13,1.298114,0.984082,0.956916,0.843949
GTF3A,-0.318735970570663,1.3106042317953e-14,1.81937843312917e-12,1.105671,1.424407,0.895692,0.875796
RPS29,0.28870174257198,1.42112094254104e-14,1.9551832681799e-12,2.711808,2.423107,0.986395,0.971338
GADD45GIP1,-0.28416291429803,1.49866679806106e-14,2.04362448595777e-12,0.928321,1.212484,0.891156,0.872611
USP22,-0.185717741037348,2.21083965393943e-14,2.98831826557479e-12,0.160926,0.346644,0.403628,0.56051
MT-ATP8,0.30423748069556,2.30090292622166e-14,3.08300984262171e-12,3.077055,2.772817,0.997732,0.996815
UBE2J2,-0.188671532750781,3.20933534435857e-14,4.26315933803632e-12,0.169925,0.358596,0.414966,0.56051
EFHD2,-0.176910123773578,3.5285613671711e-14,4.6471454792085e-12,0.171335,0.348245,0.421769,0.535032
CDK6,-0.192656922734054,1.18166821229765e-13,1.54307843078767e-11,0.179299,0.371956,0.403628,0.547771
PSMB10,0.258621281164649,1.50656955638639e-13,1.95081767179479e-11,1.212489,0.953868,0.965986,0.83121
