Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
BTG1,1.84374799132347,2.94759119182862e-09,2.83351941270485e-05,3.00329,1.159542,1,0.583333
YBX1,1.7914973338445,7.21031718461735e-08,0.000346563895478633,1.98659,0.195092,0.9,0.166667
ZFP36,-1.35571460326513,3.0479982211156e-05,0.0976680229986141,0.787034,2.142749,0.466667,1
CNDP2,-0.789477403958639,0.000222219055272354,0.534047944583285,0.022815,0.812293,0.033333,0.416667
CYB561A3,0.985028177499771,0.000281523777300651,0.541257614238232,0.985028,0,0.633333,0
SET,1.03685207168261,0.000368607125690795,0.590570049877601,1.036852,0,0.6,0
CCM2,-0.89381561477979,0.00047607171278391,0.647121145858852,0.114991,1.008807,0.066667,0.5
HSH2D,-0.84779590566953,0.000585140671312421,0.647121145858852,0.184239,1.032035,0.133333,0.583333
MARCKSL1,1.45999313592911,0.000638985801913579,0.647121145858852,1.595027,0.135034,0.666667,0.083333
ST13,1.0004786113898,0.000673172938581974,0.647121145858852,1.271311,0.270832,0.733333,0.166667
ZFP36L2,1.04588702917099,0.000866328160501575,0.750468928119395,1.265939,0.220052,0.7,0.166667
EIF3F,1.0896740436554,0.00107454220868247,0.750468928119395,1.561798,0.472124,0.8,0.25
SP100,1.04033464392026,0.00108080885702442,0.750468928119395,1.438946,0.398611,0.766667,0.25
AC090498.1,1.04815051952998,0.00109295381188719,0.750468928119395,2.249178,1.201028,0.9,0.666667
CCR7,1.37995977004369,0.00122874505996257,0.759008486974163,2.106687,0.726727,0.8,0.416667
JCHAIN,-1.29049935340881,0.00129113975025969,0.759008486974163,0.32328,1.613779,0.133333,0.583333
TMA16,-0.660963783661525,0.00173965645405169,0.759008486974163,0.101743,0.762707,0.1,0.416667
KMT2A,-0.719496198495229,0.0018290778347675,0.759008486974163,0.148426,0.867922,0.1,0.5
FIP1L1,-0.630824285745621,0.00214244052478503,0.759008486974163,0.105312,0.736136,0.1,0.416667
HIST1H1E,-0.789454613129298,0.00227327631206897,0.759008486974163,0.139134,0.928589,0.1,0.416667
FKBP8,0.820980435609817,0.0025078583017953,0.759008486974163,0.82098,0,0.5,0
RAB5C,0.655227319399516,0.00287223517244051,0.759008486974163,0.655227,0,0.5,0
ANAPC11,-0.615548451741536,0.00312422552136734,0.759008486974163,0.168925,0.784474,0.166667,0.5
PDE6D,-0.538301740090052,0.00340323034869562,0.759008486974163,0.116245,0.654547,0.133333,0.416667
PTGES3,0.905874894062678,0.00345369169598097,0.759008486974163,1.278922,0.373047,0.733333,0.166667
PDCD6,0.720511696736018,0.00355086809398082,0.759008486974163,0.720512,0,0.5,0
RPL17,0.905521933237712,0.00361003529961385,0.759008486974163,1.34581,0.440289,0.733333,0.25
SRPRB,-0.383399426937103,0.00370334373313299,0.759008486974163,0,0.383399,0,0.25
TTN,-0.330890367428462,0.00395828833659947,0.759008486974163,0,0.33089,0,0.25
COX6A1,0.854682252804438,0.0041031080151919,0.759008486974163,1.321484,0.466802,0.766667,0.25
KRT10,0.749671431382497,0.00465405083973994,0.759008486974163,0.749671,0,0.466667,0
HLA-C,0.79487626949946,0.00467247631965475,0.759008486974163,3.421229,2.626352,1,0.833333
RPL26,0.880841886997223,0.0050481414598106,0.759008486974163,2.740544,1.859702,0.966667,0.75
SPI1,0.795773692925771,0.00522353380295595,0.759008486974163,0.889867,0.094093,0.533333,0.083333
HLA-B,0.540773151318231,0.00585010997302848,0.759008486974163,3.988253,3.44748,1,1
ZHX1,-0.373181283473969,0.00586800875998386,0.759008486974163,0,0.373181,0,0.25
TNFRSF14,0.723742765188217,0.00590846011117321,0.759008486974163,0.811325,0.087582,0.5,0.083333
CECR7,-0.390372335910797,0.00597864448174509,0.759008486974163,0,0.390372,0,0.25
HSPE1,0.666390027602514,0.00626108414631307,0.759008486974163,0.753972,0.087582,0.533333,0.083333
CXCR4,1.05158856113752,0.00630638176494837,0.759008486974163,1.799194,0.747605,0.8,0.416667
ZNF766,-0.416605538129807,0.00634137948760704,0.759008486974163,0.022815,0.439421,0.033333,0.25
ZNF451,-0.448576269547145,0.00664339771153722,0.759008486974163,0.049786,0.498362,0.033333,0.333333
ATP6V1G1,0.881884131828944,0.00693769698454846,0.759008486974163,1.446784,0.5649,0.766667,0.25
PUS1,-0.462845504283905,0.0069816279964193,0.759008486974163,0,0.462846,0,0.25
RPS17,0.81157054901123,0.0079592181698612,0.759008486974163,1.358528,0.546957,0.766667,0.333333
PGGT1B,-0.388916687170665,0.00796419917219236,0.759008486974163,0.023112,0.412028,0.033333,0.25
SLC3A2,0.747393139203389,0.00836060847115754,0.759008486974163,0.747393,0,0.433333,0
GSTK1,-0.746471416950226,0.00839782964062942,0.759008486974163,0.404309,1.15078,0.3,0.583333
RHOBTB2,-0.339644795656204,0.00845884724968213,0.759008486974163,0.023112,0.362756,0.033333,0.25
ZNF75A,-0.589945902427038,0.00853100545650674,0.759008486974163,0.185778,0.775724,0.2,0.416667
WASF2,0.76262517174085,0.00862899456419366,0.759008486974163,0.926288,0.163663,0.6,0.083333
KIAA0556,-0.369974499940872,0.00865507750900375,0.759008486974163,0.022815,0.39279,0.033333,0.25
SSU72,0.657166542609533,0.00922977051387502,0.759008486974163,0.657167,0,0.433333,0
GTF2A2,-0.682473200559616,0.00924568612869235,0.759008486974163,0.358727,1.0412,0.3,0.583333
C17orf49,0.733600654204687,0.00961168886860153,0.759008486974163,0.733601,0,0.433333,0
KMT2D,-0.489300177494685,0.00968929269084217,0.759008486974163,0.023112,0.512412,0.033333,0.25
EEF1A1,0.480470259984335,0.0103201662567159,0.759008486974163,4.872167,4.391696,1,1
LYSMD2,0.552491462230682,0.0103761159321927,0.759008486974163,0.552491,0,0.4,0
EIF2S3,0.649794214963913,0.0116152729907876,0.759008486974163,0.649794,0,0.4,0
UBC,0.873716010649998,0.0116331395770907,0.759008486974163,1.653978,0.780262,0.8,0.416667
AFF4,0.660950646797816,0.0117153126096575,0.759008486974163,0.660951,0,0.433333,0
ERAL1,-0.380981069803238,0.0117885400230724,0.759008486974163,0.043675,0.424656,0.066667,0.25
MYCBP2,-0.691861553986868,0.0118205910464787,0.759008486974163,0.290727,0.982588,0.2,0.5
METTL21A,-0.750469559431076,0.0119800045544452,0.759008486974163,0.315517,1.065986,0.2,0.5
PSMB6,0.523069886366526,0.0124730809150963,0.759008486974163,0.52307,0,0.433333,0
MKRN1,0.482317608594894,0.0126261881933387,0.759008486974163,0.482318,0,0.4,0
FOXP1,0.712695719798406,0.0127759157945359,0.759008486974163,0.876359,0.163663,0.533333,0.083333
KMT2E,0.660791995127995,0.0129316192821598,0.759008486974163,1.019547,0.358755,0.7,0.25
DARS,0.667049300670624,0.0130306087902552,0.759008486974163,0.667049,0,0.433333,0
GRINA,0.683332379659017,0.0130907881364033,0.759008486974163,0.819131,0.135798,0.533333,0.083333
LCP1,0.687448789676031,0.0132435588627772,0.759008486974163,1.013191,0.325742,0.633333,0.25
SUPT4H1,0.576403788725535,0.0138560686027388,0.759008486974163,0.576404,0,0.4,0
RPL36AL,0.826493193705877,0.0138620365183691,0.759008486974163,2.154416,1.327923,0.9,0.583333
PMPCB,0.501322760184606,0.0139174576687771,0.759008486974163,0.501323,0,0.4,0
GGA2,0.70991598367691,0.0140498539663331,0.759008486974163,0.797498,0.087582,0.433333,0.083333
RBM22,-0.340020787715912,0.0144188590653686,0.759008486974163,0.043379,0.383399,0.066667,0.25
MAP4K1,-0.363466612497966,0.0149121691885275,0.759008486974163,0.036993,0.40046,0.033333,0.25
TMEM256,0.601155797640482,0.0150115209447661,0.759008486974163,0.727115,0.125959,0.5,0.083333
ARPC1A,0.483769017457962,0.0151477839684332,0.759008486974163,0.483769,0,0.366667,0
MRPS36,0.54419030547142,0.0152017725458155,0.759008486974163,0.54419,0,0.4,0
DENR,-0.358574392398199,0.0154317927855286,0.759008486974163,0.098275,0.456849,0.133333,0.333333
TPT1,0.83732537428538,0.0155478718235986,0.759008486974163,3.358794,2.521469,1,0.75
PDS5B,-0.37449485262235,0.0158632057068508,0.759008486974163,0.03578,0.410275,0.033333,0.25
