Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.820576021953081,7.41772668525545e-96,1.18735551050884e-91,1.648028,0.827452,0.835821,0.510753
NME2,0.519547829980785,3.4104701050484e-53,2.72956974857549e-49,1.123951,0.604403,0.717566,0.434716
RPL26,0.643777852818661,2.42507575875685e-50,1.29393958901403e-46,2.13064,1.486862,0.910448,0.691244
RPS29,0.645267240011178,1.04117073658702e-49,4.16650499513711e-46,2.463195,1.817928,0.932262,0.773425
RPS10,0.403546999352617,4.88112424318721e-40,1.56264311521395e-36,0.901023,0.497476,0.690011,0.391705
PTPRCAP,0.251678884446211,8.71021770906208e-40,2.32374091448261e-36,0.390031,0.138352,0.467279,0.176651
IGHM,0.585949884841268,3.38588372186076e-39,7.74254867654644e-36,1.686524,1.100574,0.882893,0.579109
HMGB1,0.604438786389741,3.79074363547903e-37,7.5848041716391e-34,2.34073,1.736291,0.916188,0.749616
ARPC1B,0.411359001249242,6.21901433343853e-35,1.10608624928167e-31,1.002514,0.591155,0.742824,0.417819
IFITM2,0.450065712345676,1.30400873909485e-34,2.08732678866913e-31,1.159843,0.709778,0.768083,0.47619
ATP5I,0.385901177537123,4.3838397492199e-34,6.37928389688754e-31,0.945584,0.559683,0.711825,0.410138
DUT,0.501360688235312,2.26901361045887e-32,3.02667507188459e-29,1.227304,0.725944,0.679679,0.428571
COPE,0.344704544888789,4.85218625986473e-32,5.97453426628113e-29,0.824585,0.479881,0.708381,0.393241
MIF,0.582363483144765,1.43601140945644e-31,1.64187390222637e-28,2.406251,1.823887,0.876005,0.733487
MT-ATP8,0.436135501659959,3.52417898763612e-31,3.52790242922593e-28,3.00131,2.565174,0.982778,0.920123
NAA38,0.380431545399939,3.52635964688042e-31,3.52790242922593e-28,0.945617,0.565185,0.667049,0.40937
CARHSP1,0.294734309460739,4.62035370000539e-31,4.35047068682273e-28,0.541476,0.246741,0.47876,0.218126
CTSH,0.429821727288707,3.20393093535921e-30,2.84918458234972e-27,1.266805,0.836983,0.789897,0.513825
TOMM7,0.447357716572995,6.03969086060422e-30,5.08828061082588e-27,1.570443,1.123085,0.858783,0.615207
TK1,0.219207589841091,1.13544000402955e-29,9.08749407225051e-27,0.348967,0.12976,0.363949,0.145161
TMEM256,0.33010113141014,1.25257942148605e-29,9.54763752367959e-27,0.750741,0.420639,0.63031,0.344854
CENPM,0.219272380422782,3.96599160699217e-29,2.88561943877835e-26,0.377495,0.158223,0.402985,0.178187
RPL41,0.395850282450558,6.30126914763407e-29,4.3854093585295e-26,3.42307,3.02722,0.98163,0.943932
TMA7,0.458957544639726,6.58275063186078e-29,4.39042039017481e-26,1.757469,1.298512,0.862227,0.666667
HIST1H4C,0.571267910747613,1.86855257319071e-28,1.19639684156255e-25,1.530832,0.959564,0.76349,0.512289
RPL17,0.407629543623972,6.92916201899596e-28,4.26596524761801e-25,1.224054,0.816425,0.76349,0.504608
ATP5J2,0.41488327749501,9.55866999913098e-28,5.66687521022554e-25,1.432504,1.017621,0.822044,0.587558
LSM7,0.413784086906764,1.0832151726179e-27,6.19250902431956e-25,1.314424,0.90064,0.770379,0.552995
RPS21,0.408114205279295,1.38371540418566e-27,7.63763188786202e-25,3.204302,2.796188,0.974742,0.918587
CD19,0.410309521142507,1.80570966592795e-27,9.63466487416957e-25,1.311684,0.901375,0.826636,0.56682
RPS28,0.350018758601533,2.40426895432584e-27,1.24145590812561e-24,3.692801,3.342782,0.982778,0.966974
STMN1,0.411790742248027,5.01071741934732e-27,2.50645480410914e-24,0.857049,0.445258,0.516648,0.284178
RPL37,0.385045597597466,1.4430192528089e-26,6.99951793324608e-24,3.465511,3.080466,0.980482,0.943932
SNRPB,0.375864886750858,3.32382828274709e-26,1.56483880358625e-23,1.161049,0.785184,0.752009,0.506912
DHFR,0.214325143888932,3.44359899712852e-26,1.57490540420104e-23,0.387868,0.173543,0.407577,0.184332
CDCA7,0.178070224096142,4.3275906241379e-26,1.92421508668265e-23,0.309246,0.131175,0.389208,0.164363
UQCRHL,0.192964870323855,4.93712003344858e-26,2.13590487501112e-23,0.37603,0.183065,0.494834,0.221966
CORO1A,0.474923907923033,6.78171811703253e-26,2.85670952366683e-23,2.221508,1.746585,0.916188,0.754224
CBX3,0.318823781673216,7.12492890986797e-26,2.92432659128863e-23,0.815386,0.496562,0.646383,0.389401
GINS2,0.246123684124295,7.65681703881599e-26,3.06406675850819e-23,0.485843,0.239719,0.456946,0.222734
TOMM5,0.378486856100263,1.32518537561651e-25,5.17371763597401e-23,1.142272,0.763786,0.730195,0.49232
POU2F2,0.387688809667849,2.14844719295316e-25,8.18814148038123e-23,1.118768,0.731079,0.752009,0.465438
CHI3L2,0.23925479633987,2.89158069027573e-25,1.07640772347078e-22,0.426593,0.187338,0.461538,0.187404
