Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.768810385141831,7.75954805587906e-10,9.74987213221204e-06,2.11294,1.34413,0.875,0.635514
TNFAIP3,0.714065844030626,7.86038144626339e-09,3.54899637380917e-05,1.60469,0.890625,0.78125,0.457944
MT-ATP8,0.570078755917478,8.47352894661959e-09,3.54899637380917e-05,3.460365,2.890286,0.979167,0.953271
RPS29,0.604196239419482,2.34654777182564e-08,7.37109318824728e-05,3.114937,2.510741,0.958333,0.925234
HLA-C,0.400531192864301,1.12640017708172e-07,0.000283064364500636,3.84425,3.443719,0.989583,0.981308
HLA-B,0.34822474945208,1.65367569670474e-07,0.000346307252151585,4.343736,3.995512,1,0.990654
ZFP36L2,0.646951317009616,6.77000652315551e-07,0.00121521617090641,1.322813,0.675861,0.635417,0.336449
IER2,0.583971057777695,8.52540007454322e-07,0.00133902064920795,0.99214,0.408169,0.520833,0.233645
MX1,0.448627948058868,1.1060030198463e-06,0.00154410310492987,0.599306,0.150678,0.348958,0.093458
HLA-F,0.513551530111985,2.57954323027954e-06,0.00292490956370111,1.088137,0.574586,0.619792,0.336449
IFITM1,0.66145549071633,2.59797982039563e-06,0.00292490956370111,1.971102,1.309647,0.822917,0.607477
B2M,0.374493252497587,2.83169562164281e-06,0.00292490956370111,4.735251,4.360758,0.994792,0.981308
MT-ND4L,0.35016349217972,3.02616986296176e-06,0.00292490956370111,4.377988,4.027825,0.994792,0.981308
PTPRCAP,0.454196775291474,3.54995351929286e-06,0.00314088845664423,0.753,0.298803,0.453125,0.17757
RP11-290D2.6,-0.64638604346745,3.74956839233295e-06,0.00314088845664423,0.63372,1.280106,0.322917,0.514019
BTG1,0.593147780049899,4.11930172400257e-06,0.00323493913513077,2.445853,1.852705,0.901042,0.785047
MT-ND3,0.411698897598398,7.21657532318188e-06,0.00533389817269296,3.972321,3.560622,0.989583,0.981308
IDS,0.453821146193414,1.01757050413858e-05,0.00710320743583403,0.878462,0.424641,0.515625,0.261682
SUN2,0.431630378136428,1.10032049473006e-05,0.00727659316646483,0.744367,0.312736,0.447917,0.186916
IFI6,0.442623897475941,1.42209046864715e-05,0.00893428336927573,0.677873,0.235249,0.369792,0.140187
IFI44L,0.409386870506396,2.15578196257429e-05,0.0128987620760695,0.577421,0.168034,0.3125,0.102804
XAF1,0.370016986745006,3.30775137696212e-05,0.0188917709325132,0.529357,0.15934,0.3125,0.093458
HLA-A,0.303592118634791,3.50736532136946e-05,0.0191608892447858,3.758943,3.455351,0.989583,0.981308
UBL5,0.460174788442377,6.63053255759479e-05,0.0347136006609077,1.239173,0.778998,0.661458,0.439252
COPE,0.350164128101874,7.08617901304658e-05,0.0356151357195721,0.650752,0.300587,0.432292,0.196262
GARS,-0.334032533052046,7.7896721997352e-05,0.0367772759212894,0.227408,0.561441,0.140625,0.317757
PET100,0.38033152541372,7.90279705431607e-05,0.0367772759212894,0.730731,0.3504,0.453125,0.224299
COMMD6,0.454324494884853,8.5088878764922e-05,0.0381836343457588,1.408129,0.953804,0.765625,0.485981
GZMK,0.515887800604099,0.000102891426061071,0.0445803713261156,2.127216,1.611328,0.854167,0.682243
MIR155HG,-0.22071554774645,0.00011229443846285,0.0470326539761904,0.054521,0.275236,0.036458,0.149533
SEC24B,-0.195953683451839,0.000127383399976681,0.0516313684099029,0.053375,0.249329,0.041667,0.149533
TECR,0.37423013497109,0.000136505488036867,0.0535997330369759,0.812454,0.438224,0.505208,0.271028
PRF1,0.416963158680177,0.000161986058545576,0.06096974614925,0.951324,0.534361,0.552083,0.28972
BST2,0.419083131790578,0.000164979814490609,0.06096974614925,0.960742,0.541659,0.541667,0.299065
TMIGD2,0.394166130775649,0.000171808725986653,0.0616793326292086,0.816882,0.422715,0.479167,0.233645
DCTN6,-0.137236220176068,0.000186475605052545,0.0650851660412565,0.011481,0.148717,0.010417,0.093458
CYBA,0.422427563745284,0.000211247499184343,0.0696712478422517,1.186504,0.764076,0.651042,0.439252
GYG1,0.377836340005477,0.000218638488468522,0.0696712478422517,0.823102,0.445266,0.494792,0.261682
PRMT9,-0.167895891114699,0.000219583334660494,0.0696712478422517,0.028605,0.196501,0.020833,0.11215
IL2RG,0.43478727882664,0.00022179466085874,0.0696712478422517,1.403867,0.96908,0.734375,0.504673
PRKDC,-0.360317908360909,0.000231757316144126,0.0710251384719742,0.37389,0.734208,0.229167,0.392523
CD3G,0.41173439857338,0.000239345359637528,0.0716041534248937,1.000998,0.589263,0.567708,0.308411
RRM2,-0.198502778873499,0.000250224584529189,0.0717954645910274,0.039518,0.238021,0.020833,0.130841
PCNP,0.299056164827487,0.000251412689375663,0.0717954645910274,0.504612,0.205556,0.333333,0.140187
MYL12A,0.412484525572332,0.00031180296605073,0.0870623170761651,1.941347,1.528862,0.885417,0.71028
SCAMP2,0.283201413136265,0.000360474369644195,0.0982755694162933,0.445495,0.162293,0.291667,0.093458
PPP1R2,0.378736008794228,0.000367604597100341,0.0982755694162933,0.894306,0.51557,0.526042,0.299065
OCIAD2,0.402613842250586,0.000418756679139601,0.106178948466519,1.23678,0.834166,0.661458,0.46729
TMEM14C,0.300992906969795,0.00042126305959025,0.106178948466519,0.549007,0.248014,0.359375,0.158879
LAPTM4A,0.257913900794595,0.00042251869664353,0.106178948466519,0.381115,0.123201,0.255208,0.074766
LTA,-0.379533757760288,0.000437689989974952,0.107834798510495,0.219653,0.599187,0.104167,0.242991
ARCN1,-0.278611685445309,0.000447230403200191,0.108066346465585,0.231177,0.509788,0.161458,0.28972
RPS8,-0.210289509334494,0.000480003162310791,0.11314118552805,3.621478,3.831768,0.989583,1
RPL41,0.316428492182268,0.000490064145663169,0.11314118552805,3.936229,3.6198,0.979167,0.981308
DRAP1,0.373106795740299,0.000495245937448686,0.11314118552805,1.032544,0.659437,0.609375,0.383178
NSUN2,0.167999286825458,0.000510564325846847,0.114557870611886,0.175043,0.007043,0.119792,0.009346
PSMB9,0.397061785714947,0.000557134424543849,0.122813930603394,1.217247,0.820185,0.677083,0.429907
POLR2M,0.163247763182144,0.000572454509171136,0.124015360478195,0.177287,0.014039,0.125,0.009346
SUPT3H,0.204683750554501,0.000590768472018429,0.125813658490027,0.25355,0.048866,0.166667,0.037383
RPS10,0.391009297390171,0.000649156417257257,0.135944173047291,1.196934,0.805924,0.661458,0.420561
TOPORS-AS1,0.218971217863517,0.000670267378611026,0.138064092004058,0.298024,0.079053,0.203125,0.056075
DUSP1,0.334473524587895,0.00070679717021721,0.143240426512568,0.571447,0.236974,0.322917,0.121495
CD52,0.411964256119128,0.000727107682531358,0.145017587793754,2.104374,1.69241,0.890625,0.728972
RPLP0,-0.219349521621372,0.000751299279668606,0.146099184774473,3.47176,3.69111,0.989583,1
CTD-2336O2.1,0.181898814327203,0.000755785675315617,0.146099184774473,0.211415,0.029516,0.140625,0.018692
RP11-386G11.10,-0.133287912101203,0.000770845700677481,0.146752670136554,0.008628,0.141915,0.005208,0.074766
AQP3,0.347459018419024,0.000797680591916907,0.149009003191275,0.760322,0.412863,0.453125,0.224299
LAPTM5,0.350901279018205,0.00080641561615652,0.149009003191275,2.202852,1.851951,0.927083,0.82243
SEC62,0.359716461797325,0.000824234262606595,0.15009425376307,0.903158,0.543442,0.526042,0.317757
IL7R,0.435796929720632,0.000876236341008316,0.156661743613416,2.843185,2.407388,0.9375,0.82243
RPL26,0.353773400274527,0.000885235479232196,0.156661743613416,2.516494,2.16272,0.953125,0.869159
GPSM3,0.367402785071794,0.000967530177162387,0.168847453833964,1.021228,0.653826,0.59375,0.345794
TNFSF13B,0.409203910022226,0.00101240135384604,0.174257849466788,1.296464,0.88726,0.666667,0.429907
TMA7,0.374601691212742,0.00109209432735135,0.184140591909968,2.047056,1.672454,0.885417,0.728972
DKC1,-0.226222066266747,0.00109912808541564,0.184140591909968,0.146271,0.372493,0.098958,0.224299
TMEM9B,0.197878755945306,0.00115850402265333,0.190129477384724,0.285012,0.087133,0.208333,0.065421
CD99,0.365103384259378,0.00116513885862505,0.190129477384724,1.304645,0.939542,0.723958,0.504673
NDUFB1,0.291793284734646,0.00120445576920503,0.193358490725696,0.597323,0.30553,0.385417,0.196262
EEF1G,0.17191497969943,0.00121570400058336,0.193358490725696,0.20735,0.035435,0.145833,0.018692
CPNE7,0.278438943945961,0.00129381887789117,0.202696011644403,0.509827,0.231388,0.322917,0.130841
EBNA1BP2,-0.210359204485084,0.00130667544315134,0.202696011644403,0.140634,0.350993,0.09375,0.224299
LTB,0.483264403400292,0.00135484738672165,0.204191277903923,1.937345,1.45408,0.822917,0.579439
TMSB4X,0.249822039342825,0.0013577095315068,0.204191277903923,4.199894,3.950072,0.989583,0.990654
JUN,0.434027033042729,0.00136506703891202,0.204191277903923,1.267335,0.833308,0.604167,0.411215
LLNLR-245B6.1,0.17259538170194,0.00144624067111891,0.213207776370398,0.196586,0.02399,0.125,0.018692
CLIC3,0.345143424793845,0.00145928123898561,0.213207776370398,0.782997,0.437853,0.432292,0.252336
COX6A1,0.333531768133751,0.00151062259011013,0.218172101663606,0.932061,0.598529,0.5625,0.345794
UBE2B,0.286282544265098,0.00153831115451243,0.219646359732372,0.579624,0.293341,0.369792,0.168224
TXNDC9,0.188102563027861,0.00156813451196032,0.220313965168705,0.251678,0.063575,0.171875,0.046729
ZMYM6NB,0.175496671638942,0.00159559585857627,0.220313965168705,0.222351,0.046855,0.15625,0.028037
LYSMD2,0.191577366637385,0.0016016809074194,0.220313965168705,0.270128,0.078551,0.192708,0.046729
HPCAL1,0.185594028038933,0.00161312254640038,0.220313965168705,0.257649,0.072055,0.1875,0.046729
ME1,0.233021304916555,0.0016771492094803,0.225051684261326,0.368858,0.135837,0.244792,0.074766
PPP2R5C,0.322669919881958,0.00168363377004096,0.225051684261326,0.761314,0.438644,0.442708,0.271028
RP11-51J9.5,0.136392214918666,0.00171158884964078,0.226380146270909,0.144386,0.007993,0.098958,0.009346
MYL12B,0.353969707667268,0.00184479815034098,0.241457174573276,1.669337,1.315368,0.828125,0.64486
FAM91A1,-0.094276088049108,0.00188889470142962,0.244680019829517,0.011274,0.10555,0.010417,0.074766
PNRC2,0.26214705492918,0.0019853838235515,0.254554568805354,0.498191,0.236044,0.317708,0.158879
MAPK1IP1L,0.221330966057714,0.00209412817112983,0.258802623248122,0.363438,0.142107,0.25,0.084112
FAM46A,0.108698001131415,0.00211435120248487,0.258802623248122,0.108698,0,0.083333,0
TTC39C,0.253502290208485,0.00211548898657053,0.258802623248122,0.45659,0.203088,0.296875,0.121495
IRF7,0.268614126711713,0.00211791462371703,0.258802623248122,0.480137,0.211522,0.286458,0.121495
APMAP,0.283963509693137,0.0021369760689862,0.258802623248122,0.618814,0.33485,0.395833,0.196262
MTRNR2L12,-0.409501283177159,0.00215751809336927,0.258802623248122,4.325604,4.735106,1,0.990654
SNRNP200,-0.283520934302538,0.00216269601600102,0.258802623248122,0.341336,0.624857,0.223958,0.336449
EIF3J,0.21306806519291,0.00220745575493286,0.261666807176711,0.321886,0.108818,0.213542,0.065421
C9orf64,-0.080567677310926,0.00224608210291894,0.262313177890261,0.003248,0.083816,0.005208,0.056075
BTG2,0.279983080784294,0.00226917510647154,0.262313177890261,0.492523,0.21254,0.276042,0.130841
SGSM2,0.118332096065084,0.0022755381130154,0.262313177890261,0.118332,0,0.083333,0
DEGS1,0.251490574875539,0.00233262618403731,0.266076831425368,0.47261,0.22112,0.302083,0.149533
KANSL1,0.220214606787881,0.00235053945787631,0.266076831425368,0.328109,0.107895,0.208333,0.056075
ATP5E,0.335572934346821,0.00240303234546915,0.266216147527985,2.16031,1.824737,0.916667,0.785047
AC092580.4,0.26793768551096,0.00240960683678091,0.266216147527985,0.552569,0.284632,0.359375,0.168224
HLA-DPB1,0.216544002277132,0.00241533154143973,0.266216147527985,0.302945,0.086401,0.182292,0.046729
NCL,-0.391841127812823,0.00250867444094948,0.274099950874176,1.097573,1.489414,0.59375,0.663551
MBD1,0.192584778173504,0.002541998232907,0.275346618935142,0.281454,0.088869,0.192708,0.056075
GOLPH3,0.196141364226971,0.00256485084735623,0.275447443564368,0.290126,0.093985,0.192708,0.065421
SNRPN,0.198630047254148,0.00263974502844527,0.279499316066517,0.307509,0.108879,0.213542,0.065421
TCEB2,0.334183128489718,0.00264706873154918,0.279499316066517,1.254146,0.919962,0.713542,0.485981
GPATCH4,-0.193963769579602,0.00267668967815326,0.280271715049965,0.114406,0.30837,0.067708,0.186916
C18orf32,0.183413653123857,0.00273006140912584,0.283497699220382,0.272561,0.089147,0.197917,0.056075
SRSF5,0.365786557402051,0.00277441309963715,0.285084442961004,1.360436,0.99465,0.692708,0.495327
ZBTB44,0.176944167344509,0.00279071917900545,0.285084442961004,0.239445,0.062501,0.161458,0.037383
CCNA2,-0.062978499403624,0.00283035354418078,0.286356821141713,0,0.062978,0,0.046729
HIST1H3C,-0.132657899274679,0.0028487546870445,0.286356821141713,0.012475,0.145133,0.010417,0.065421
RBBP4,-0.275517610624158,0.00291824966424653,0.291014341517918,0.399611,0.675129,0.270833,0.383178
HIST1H3B,-0.0833178606360133,0.00299432072270661,0.296249132919753,0.00604,0.089358,0.005208,0.056075
SERINC1,0.217114090324724,0.00308194299189898,0.302536044478208,0.349295,0.132181,0.229167,0.074766
ITM2B,0.359807667249919,0.00316868972173784,0.30426663072282,1.879857,1.520049,0.84375,0.719626
N4BP2L2,0.300538314744319,0.00318257835361969,0.30426663072282,0.732224,0.431686,0.442708,0.242991
RALGDS,0.193692586982385,0.00318555518555457,0.30426663072282,0.290199,0.096506,0.197917,0.056075
DPYD,0.218737694162098,0.00319643416278649,0.30426663072282,0.38895,0.170212,0.265625,0.102804
