Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.829053006621439,4.75311664532763e-10,5.92523521006542e-06,1.62104,0.791987,0.835821,0.519737
IFITM1,0.739302284632226,6.12457423551644e-07,0.0038174471209974,1.358908,0.619606,0.746269,0.368421
PTPRCAP,0.371183632838614,1.11607116533957e-06,0.00393365022703227,0.465866,0.094682,0.313433,0.085526
IL16,0.394152136336652,1.26220126007774e-06,0.00393365022703227,0.50465,0.110498,0.328358,0.098684
TMIGD2,0.464667132983199,4.41913737436463e-06,0.0110177933017659,0.605065,0.140398,0.343284,0.092105
LAPTM5,0.707692545328729,7.6745088650312e-06,0.0152253636720716,1.64405,0.936357,0.820896,0.526316
PFN1,-0.574677698132752,8.54945818261681e-06,0.0152253636720716,2.401092,2.97577,0.940299,0.947368
DYNLT3,0.365997584505945,1.52669025366852e-05,0.0229461038060212,0.543786,0.177788,0.402985,0.151316
SCAND1,0.448167997793545,1.7608778419892e-05,0.0229461038060212,0.913798,0.46563,0.656716,0.381579
SRSF5,0.510760065612954,1.84069499486774e-05,0.0229461038060212,1.102005,0.591245,0.791045,0.407895
NCF1,0.26547597251534,2.32567781168727e-05,0.026356272364085,0.31282,0.047344,0.19403,0.039474
S100A4,0.711417177594022,2.89500594493995e-05,0.0283198470273011,1.705398,0.99398,0.835821,0.513158
SPATS2L,0.267807559156315,2.95329705883936e-05,0.0283198470273011,0.372069,0.104262,0.358209,0.092105
RP11-290D2.6,-0.683268106382309,3.36465307192709e-05,0.0288705975984354,0.338171,1.021439,0.268657,0.486842
RPL36AL,0.550737295882121,3.47392077632384e-05,0.0288705975984354,2.524563,1.973825,0.970149,0.848684
KTN1,0.421400364722474,3.7191205568541e-05,0.0289765980385895,0.752598,0.331197,0.537313,0.263158
ZNF600,0.121467078228987,4.79147139789071e-05,0.0351355779094739,0.124367,0.0029,0.119403,0.006579
HCST,0.542162262213483,6.31549720947287e-05,0.0437383267851605,1.275231,0.733069,0.776119,0.460526
HMHA1,0.302073511336722,8.05103984462584e-05,0.0528232961595293,0.456378,0.154304,0.38806,0.138158
DHRS7B,0.134786714360013,9.40343713415883e-05,0.0543037456402579,0.160554,0.025767,0.179104,0.046053
DUSP1,0.20361102528677,9.41521167038123e-05,0.0543037456402579,0.228194,0.024583,0.149254,0.026316
ECH1,0.173762143790745,9.5835264245602e-05,0.0543037456402579,0.21387,0.040108,0.208955,0.052632
SNX6,0.354806213456046,0.000106547238031756,0.0572063575363355,0.643396,0.288589,0.462687,0.269737
CFL2,0.127859994289169,0.000110801465628829,0.0572063575363355,0.131501,0.003641,0.119403,0.006579
PPIE,0.288612165475866,0.000114724766437381,0.0572063575363355,0.43222,0.143608,0.402985,0.125
CSRP2BP,0.108910709174711,0.00013052774368937,0.0625830328012189,0.108911,0,0.104478,0
TRIM22,0.300386377164724,0.000174748221744755,0.0758271315535142,0.413689,0.113303,0.268657,0.078947
HLA-A,0.448346744125412,0.000175874398848874,0.0758271315535142,3.415959,2.967613,1,0.973684
AARSD1,0.0910871389372463,0.000196290954292595,0.0758271315535142,0.100172,0.009085,0.134328,0.013158
CCS,0.223206487509882,0.000202110311933483,0.0758271315535142,0.302148,0.078942,0.283582,0.078947
CASP1,0.246474667643223,0.000204555708075396,0.0758271315535142,0.345716,0.099241,0.253731,0.105263
BTN3A2,0.316902060834259,0.000219898797938342,0.0758271315535142,0.472088,0.155186,0.358209,0.111842
IL7R,0.676174237694992,0.000222564292733345,0.0758271315535142,1.26589,0.589716,0.447761,0.296053
PSMA2,0.0715117908235806,0.000238550607933449,0.0758271315535142,0.071512,0,0.089552,0
