Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
IFI6,1.24753778900479,3.94398469577251e-18,5.51014101846377e-14,1.854836,0.607298,0.855769,0.38961
ATOX1,0.968701160011385,1.86081557228983e-16,1.29987271802306e-12,2.213164,1.244463,0.956731,0.727273
CD68,1.22257599313107,4.2541261529477e-16,1.94117198041153e-12,2.419333,1.196757,0.913462,0.493506
CTSD,1.45002509418924,5.55771807432977e-16,1.94117198041153e-12,3.038684,1.588659,0.956731,0.662338
TYROBP,1.43192559495926,1.59163747113e-15,4.44735342183146e-12,3.474795,2.042869,0.942308,0.701299
IFI30,1.01445834111649,2.58561692448655e-15,5.17376705875171e-12,1.46859,0.454132,0.783654,0.298701
CXCL8,1.58195301758258,2.5922531967119e-15,5.17376705875171e-12,2.747859,1.165906,0.865385,0.441558
TYMP,1.00210086121545,8.15344595436813e-15,1.42389741785596e-11,2.336739,1.334639,0.942308,0.701299
LYZ,1.77146500818335,9.46700108993147e-15,1.46959413586036e-11,3.524583,1.753118,0.889423,0.545455
SDCBP,0.922223186286003,3.56082082526077e-14,4.97482277497181e-11,1.728392,0.806168,0.875,0.506494
SPI1,0.912216653645442,5.20516467134101e-14,6.61103232939138e-11,1.877503,0.965287,0.903846,0.558442
PSAP,1.09924070499503,5.97938652794443e-14,6.9615007651593e-11,2.725263,1.626023,0.951923,0.74026
CTSS,1.00226723449445,3.05384935974128e-13,3.28194841576503e-10,2.044647,1.042379,0.894231,0.61039
NPC2,1.00205811732203,6.82657150064644e-13,6.8124307453951e-10,2.334283,1.332225,0.932692,0.662338
ANXA5,0.980049523365845,2.87172543888181e-12,2.67472507377451e-09,2.1915,1.211451,0.899038,0.623377
FCER1G,1.26096387814868,3.45771876434117e-12,3.01923680353816e-09,2.801476,1.540512,0.875,0.558442
MIR155HG,-0.712956790757417,7.26351914756542e-12,5.96933094180215e-09,0.104822,0.817779,0.076923,0.363636
MMP9,1.4227623141982,9.26275039964541e-12,7.18943810185811e-09,2.707633,1.284871,0.822115,0.376623
CTSB,1.23096589126125,1.38627506875232e-11,9.83957310253828e-09,2.970622,1.739656,0.927885,0.662338
PLA2G7,0.983973083498477,1.40857105469018e-11,9.83957310253828e-09,1.758552,0.774579,0.802885,0.350649
FTH1,1.33626092412137,1.60676028023977e-11,1.06895466072523e-08,6.214542,4.878281,1,1
C15orf48,0.928539669143035,1.80317551233872e-11,1.14509841285838e-08,1.459724,0.531185,0.769231,0.311688
CYBB,0.982817496125637,3.93699448085688e-11,2.39146738661093e-08,1.853552,0.870735,0.798077,0.38961
ATP6V1F,0.761922078454622,6.14452824977503e-11,3.57688350740029e-08,1.939429,1.177507,0.927885,0.688312
ANXA2,0.851457068337489,6.86405678230169e-11,3.83590949222148e-08,2.092427,1.24097,0.903846,0.662338
CSTB,1.02471205522935,7.49868314408276e-11,4.02938854638385e-08,2.715507,1.690795,0.942308,0.727273
HCK,0.68604868044193,1.0491075351217e-10,5.42854865673531e-08,1.135323,0.449274,0.759615,0.311688
PPA1,-0.623455331114666,1.20303093768093e-10,5.80690217759392e-08,0.200959,0.824414,0.168269,0.441558
CD14,0.90991051169438,1.20535511524031e-10,5.80690217759392e-08,1.391354,0.481443,0.697115,0.298701
FTL,1.31841656841808,1.64681883939119e-10,7.66923533504479e-08,6.308596,4.990179,1,1
S100A9,1.33113766227152,1.75342712712022e-10,7.9023001267731e-08,2.504092,1.172955,0.798077,0.376623
LGALS3,0.889059211481941,4.49978673661977e-10,1.96457876554109e-07,1.955799,1.06674,0.875,0.532468
AC090498.1,0.643420784936087,6.36626306180449e-10,2.69524427989304e-07,1.540232,0.896811,0.870192,0.623377
S100A11,0.834863835149315,7.02712816586264e-10,2.88752963544903e-07,2.949061,2.114197,0.956731,0.844156
CCL2,1.80900316537692,7.77316277254003e-10,3.09018208780702e-07,3.059999,1.250996,0.692308,0.363636
CYBA,0.736677143562747,7.96267662737476e-10,3.09018208780702e-07,1.800814,1.064137,0.884615,0.649351
CLEC7A,0.55719057501077,9.21637205231601e-10,3.48005226872721e-07,0.715086,0.157896,0.552885,0.116883
NDUFA3,0.56684619480452,1.13040958010867e-09,4.15604006413109e-07,1.141899,0.575053,0.798077,0.493506
SAT1,0.799623617368357,1.60088905276492e-09,5.73487716825094e-07,2.272332,1.472708,0.961538,0.753247
CTSZ,0.82011993434634,1.73315529933772e-09,6.0534781717618e-07,1.759601,0.939481,0.841346,0.467532
NINJ1,0.749091993124187,2.18035306479945e-09,7.42968601666173e-07,1.557374,0.808282,0.817308,0.467532
RPL10,-0.667817354083171,2.26558400937028e-09,7.53630337974099e-07,2.917361,3.585178,0.980769,0.987013
RPL8,-0.638383679348709,2.97214724481815e-09,9.61002500719363e-07,2.339455,2.977839,0.951923,1
ARPC1B,0.746287436182655,3.0265628825175e-09,9.61002500719363e-07,1.777322,1.031035,0.865385,0.584416
RAC1,0.646660495899268,3.44488773575393e-09,1.0695228123604e-06,1.318415,0.671754,0.807692,0.506494
PTAFR,0.639398575707393,4.00695538274797e-09,1.21698203592113e-06,1.025283,0.385885,0.6875,0.272727
RPL4,-0.729170399138348,4.77611216276467e-09,1.41972474523373e-06,1.446668,2.175838,0.817308,0.896104
ADAMDEC1,0.676172709008763,4.9010355297651e-09,1.42650765388225e-06,1.246621,0.570448,0.774038,0.337662
S100A8,1.30154482866233,5.08955430843003e-09,1.4511461886342e-06,2.511933,1.210389,0.778846,0.376623
MAFB,0.822994752021343,5.44306212305397e-09,1.52090041842374e-06,1.471144,0.64815,0.735577,0.350649
NCF2,0.743536750876256,5.70962032137539e-09,1.54557024846074e-06,1.238967,0.49543,0.711538,0.298701
ITGB2,0.766549606668903,5.82133077139793e-09,1.54557024846074e-06,1.448043,0.681493,0.769231,0.415584
OAZ1,0.6270404506352,5.86323263677756e-09,1.54557024846074e-06,2.968913,2.341872,0.980769,0.909091
PARP1,-0.48297774384764,5.99017743855024e-09,1.54979201840714e-06,0.312869,0.795847,0.317308,0.571429
LYN,0.626232098721036,7.52016196781783e-09,1.91025787004333e-06,1.065331,0.439099,0.75,0.324675
GABARAP,0.650068067360327,8.68524875482881e-09,2.16681447060202e-06,2.135543,1.485475,0.932692,0.831169
LINC01272,0.696845496830705,9.11776629390375e-09,2.23481250687946e-06,1.254491,0.557645,0.745192,0.285714
