Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
IFITM1,0.869063948888744,1.24369648095138e-22,1.68533310133722e-18,2.934476,2.065413,0.929825,0.745928
ISG15,0.761535022088657,1.62007070760281e-20,1.09767890793629e-16,1.099407,0.337871,0.473684,0.159609
IFI6,0.69880694473319,9.4743950466175e-19,4.27958424255712e-15,1.071208,0.372401,0.489035,0.166124
IFI44L,0.577654967712646,5.89624895785699e-17,1.997501740698e-13,0.766354,0.188699,0.357456,0.091205
IRF7,0.606047447688021,7.65171202059258e-15,2.073766991821e-11,1.041942,0.435895,0.484649,0.205212
AC090498.1,0.673316747287361,1.11558577026128e-14,2.5195504621351e-11,1.466228,0.792911,0.620614,0.368078
LY6E,0.692115113778666,3.89234700645949e-13,7.53502775493322e-10,2.194615,1.5025,0.811404,0.583062
RPS29,0.613716996204373,1.93129256173566e-11,3.27136818800999e-08,2.548374,1.934657,0.861842,0.70684
ISG20,0.489707359007476,5.31631236472179e-11,8.00459431714944e-08,0.859876,0.370169,0.405702,0.172638
RPS27,0.321107803915186,9.39667037871357e-11,1.27334280301948e-07,4.281471,3.960364,0.995614,0.983713
ACTB,-0.371265979116372,1.55195816330107e-10,1.91187137008117e-07,3.746964,4.11823,0.984649,1
XAF1,0.506810463441665,4.98038551134193e-10,5.62410033868288e-07,1.12268,0.615869,0.52193,0.276873
C5orf56,0.440156477858942,2.00297392799226e-09,2.08786920755562e-06,0.81853,0.378373,0.392544,0.169381
MT-ATP8,0.416796991280671,3.66412280778473e-09,3.54660915487792e-06,3.134887,2.71809,0.960526,0.895765
IFIT3,0.383201818893425,5.10996945519396e-09,4.61634640582222e-06,0.595728,0.212526,0.282895,0.094463
MX1,0.397192797864295,9.52263258651951e-09,8.06507463624536e-06,0.702793,0.3056,0.342105,0.140065
RPL26,0.524141446130639,1.96461084197335e-08,1.56602597174005e-05,1.9421,1.417959,0.741228,0.57329
ZFP36L2,0.466004998697628,2.68410059211829e-08,2.02068039576639e-05,1.056292,0.590287,0.464912,0.260586
MT-ND4L,0.2656291632511,3.0196556953915e-08,2.15365022780264e-05,3.98937,3.723741,0.997807,0.980456
RPL41,0.364710561277584,3.53946713298546e-08,2.3981659559543e-05,3.523109,3.158398,0.97807,0.941368
MTRNR2L12,-0.486719038365333,4.24405760654743e-08,2.73862974411068e-05,4.197472,4.684191,0.984649,0.983713
DUSP10,0.252892546336566,1.17168652938568e-07,7.21705643622969e-05,0.340283,0.08739,0.177632,0.042345
GIMAP1,0.295218110318282,1.82600533388078e-07,0.00010758347078008,0.472807,0.177589,0.243421,0.091205
H1FX,0.250193087102563,2.69549330199054e-07,0.000152194290563641,0.335262,0.085069,0.16886,0.039088
AKNA,0.415150082442098,5.64791233724497e-07,0.000306139440328027,1.100752,0.685602,0.502193,0.309446
TMSB4X,0.185789264594235,8.18680048320499e-07,0.000426689743645811,4.826215,4.640426,1,0.996743
FAU,0.2932343936563,1.10084434699354e-06,0.000552501546152205,3.321106,3.027872,0.980263,0.938111
NR3C1,0.373668880885082,1.16611741162334e-06,0.000564359180175283,0.926696,0.553027,0.447368,0.267101
HLA-E,0.321477454076284,1.22094178607219e-06,0.000570516625622904,3.065145,2.743668,0.964912,0.912052
ATP5I,0.345395208889333,1.49418317712678e-06,0.000674922541108168,0.818634,0.473239,0.412281,0.237785
HCST,0.400602031010571,2.75043871670475e-06,0.00120229661451826,1.249747,0.849145,0.572368,0.371336
RARRES3,0.416324994765398,3.27133544710482e-06,0.00138530833261617,1.820301,1.403976,0.754386,0.570033
RPS10,0.28806658139998,3.75951712509245e-06,0.0015437944412766,0.552046,0.26398,0.276316,0.13355
RPL17,0.335046228055232,4.25874676483908e-06,0.00168612353712353,0.80514,0.470094,0.390351,0.234528
EVL,0.412488959083777,4.354979248714e-06,0.00168612353712353,1.953238,1.540749,0.785088,0.609121
FMNL1,0.286033843744498,6.14380771487519e-06,0.00231263162067427,0.573433,0.287399,0.291667,0.143322
RPS15A,0.255921969898841,6.49839322372441e-06,0.00237999261012674,3.525174,3.269252,0.986842,0.957655
LIMD2,0.408931349895132,7.54722600393294e-06,0.00269138051524461,1.762767,1.353835,0.719298,0.547231
RPL30,0.254616349737981,9.64553888409443e-06,0.00335145377995804,3.794728,3.540112,0.984649,0.957655
SHISA5,0.347613704823464,1.06177144280776e-05,0.00359701620537198,0.979591,0.631977,0.469298,0.296417
PRDX1,-0.266536624751002,1.31181373711371e-05,0.00423894076941721,0.306835,0.573371,0.16886,0.270358
TBC1D10C,0.314421715724177,1.31381825928361e-05,0.00423894076941721,0.777929,0.463507,0.377193,0.228013
UBL5,0.347915668457131,1.36014897572659e-05,0.00428636715583046,1.079166,0.731251,0.52193,0.332248
IFIT1,0.154500310238181,1.62629132326132e-05,0.00488963241848966,0.186824,0.032323,0.096491,0.016287
MRPL28,0.204941199985673,1.65539768989972e-05,0.00488963241848966,0.324155,0.119214,0.173246,0.065147
RPL11,0.289853862486945,1.67398662130531e-05,0.00488963241848966,3.154614,2.86476,0.971491,0.899023
RPL37,0.314232729370687,1.69590970163836e-05,0.00488963241848966,3.087901,2.773668,0.953947,0.879479
HSP90AB1,-0.383614080982712,1.81754133289972e-05,0.00513114637544252,0.785573,1.169188,0.350877,0.456026
AC245100.1,0.191913181771649,2.04295004402309e-05,0.00559923544555152,0.295908,0.103995,0.16886,0.04886
PARP12,0.164348758587232,2.06598606949728e-05,0.00559923544555152,0.216357,0.052009,0.116228,0.026059
UBE2L6,0.347850470095777,2.17391108201309e-05,0.00577620962203125,1.073652,0.725802,0.504386,0.32899
CD38,0.230078321491639,2.57367647923505e-05,0.00662580640996681,0.371535,0.141456,0.175439,0.065147
SLA2,0.276891675941285,2.59145258451952e-05,0.00662580640996681,0.604609,0.327717,0.300439,0.159609
TNFAIP3,0.376183212510217,2.76991083434978e-05,0.00695093735486553,1.332675,0.956492,0.583333,0.403909
