Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
IFITM1,0.876213186792805,9.66184523639625e-33,1.31584670274481e-28,3.35187,2.475657,0.942804,0.809524
ISG15,0.867722842816897,2.16754382765872e-30,1.4759889694442e-26,1.588654,0.720931,0.595941,0.284271
IFI44L,0.655268850478687,2.78076958912923e-28,1.26237670114503e-24,0.984565,0.329296,0.422509,0.142857
AC090498.1,0.603862919360279,4.42081653109379e-20,1.50517750842416e-16,1.196209,0.592346,0.50369,0.25974
PFN1,-0.616943004318177,3.91228178389324e-19,1.06562731229684e-15,2.22396,2.840903,0.813653,0.877345
ISG20,0.629632418723081,8.61725287872241e-19,1.95597278258868e-15,1.418236,0.788604,0.577491,0.330447
MT-ND3,0.531386102712144,2.01202005913963e-15,3.91452874077467e-12,3.196763,2.665376,0.953875,0.839827
IFI6,0.555197147716097,6.10851488150142e-15,8.74598257305174e-12,1.239542,0.684345,0.490775,0.279942
ZBP1,0.308468546176654,6.16644139390529e-15,8.74598257305174e-12,0.412196,0.103727,0.191882,0.044733
IRF7,0.511384670720534,6.42189777006516e-15,8.74598257305174e-12,1.108945,0.59756,0.47417,0.253968
ZFP36L2,0.405325045191918,1.01221953902723e-14,1.25321980927381e-11,0.651789,0.246464,0.274908,0.111111
BTN3A2,0.469624636932935,1.81405564332072e-14,2.05880198386541e-11,0.96596,0.496336,0.431734,0.215007
RSAD2,0.38477129641958,2.60016730587247e-14,2.72397527220594e-11,0.617871,0.2331,0.276753,0.099567
C5orf56,0.361307226160902,1.10474534547455e-13,1.07468049000128e-10,0.596262,0.234955,0.282288,0.103896
OASL,0.428057191297534,3.62350096196887e-13,3.28989730673694e-10,0.851247,0.42319,0.378229,0.183261
RPS29,0.547326822843305,6.35893725404216e-13,5.41264790392501e-10,2.157107,1.60978,0.771218,0.607504
MALAT1,0.292247578370285,7.36115822829773e-13,5.89715375948158e-10,5.30789,5.015642,1,0.994228
EEF1A1,-0.245027432517047,9.89393587491537e-13,7.4858618155818e-10,4.084507,4.329534,0.99631,0.994228
HSP90AB1,-0.589915750935063,1.15415441517839e-12,8.27285735806025e-10,1.159335,1.749251,0.45941,0.594517
RARRES3,0.530786280696545,2.00733978697413e-12,1.36689802794003e-09,1.683111,1.152324,0.671587,0.450216
LY6E,0.537671983102727,3.67230322904924e-12,2.3815760798296e-09,2.594149,2.056477,0.854244,0.7114
RPL26,0.508762739215643,5.71534095397403e-12,3.53805583873511e-09,1.600759,1.091997,0.640221,0.435786
EPSTI1,0.351532165985229,8.1237201154252e-12,4.81030192399895e-09,0.639404,0.287872,0.295203,0.131313
MX1,0.442134716760586,9.78012841809059e-12,5.42048690313301e-09,0.991003,0.548868,0.420664,0.227994
ACTB,-0.331849215462928,9.95022928102836e-12,5.42048690313301e-09,4.214748,4.546597,0.990775,0.992785
GCHFR,0.294686658498685,1.14785516443453e-11,6.01255364785917e-09,0.452653,0.157967,0.214022,0.067821
IFIT1,0.273410653012139,1.5473567685974e-11,7.71827533160953e-09,0.393842,0.120431,0.178967,0.050505
MT-ATP8,0.470929323824614,1.58683977740706e-11,7.71827533160953e-09,2.88099,2.410061,0.905904,0.803752
PTPRCAP,0.225896266951985,2.13316728977874e-11,1.00177949377575e-08,0.305942,0.080046,0.149446,0.038961
CXCR4,0.341423110946259,2.44139143656423e-11,1.10831033248561e-08,0.594291,0.252868,0.265683,0.102453
RPS10,0.253041699668105,2.89146495885047e-11,1.27028584756724e-08,0.382901,0.129859,0.191882,0.069264
FGFBP2,0.429839100060667,3.73450285017338e-11,1.58938107239098e-08,0.771296,0.341457,0.278598,0.119769
EVL,0.478746249297856,1.09826936855407e-10,4.53252440313269e-08,1.509787,1.031041,0.619926,0.40404
LTB,-0.427129917547,1.16071125253756e-10,4.64933133773794e-08,0.375568,0.802698,0.149446,0.300144
HERC5,0.259689740757713,1.50688964457553e-10,5.86352287699261e-08,0.386367,0.126677,0.177122,0.053391
HELZ2,0.270986069574154,2.69374633988585e-10,1.01905920563626e-07,0.443698,0.172712,0.208487,0.076479
IFIT3,0.420452617832728,3.42641612492549e-10,1.26119895149622e-07,1.008382,0.58793,0.418819,0.236652
LBH,0.381112089460516,3.94428220901279e-10,1.41360998433014e-07,0.883772,0.50266,0.396679,0.21645
GABARAP,0.391359363592247,4.3476131295655e-10,1.51820880029622e-07,1.007139,0.61578,0.4631,0.266955
RPL41,0.382248719316861,7.65772941631542e-10,2.60726542301999e-07,3.282192,2.899943,0.953875,0.886003
XAF1,0.419691723329297,8.86695478708619e-10,2.94534285964212e-07,1.203139,0.783448,0.516605,0.326118
TRIM22,0.384460263882056,1.30769313980206e-09,4.24035068356293e-07,0.93458,0.55012,0.404059,0.236652
HOPX,-0.485919605944973,1.41943783239978e-09,4.49565670684943e-07,1.206196,1.692116,0.48155,0.613276
IFI16,0.3851054149829,1.55995005162691e-09,4.82839994388793e-07,0.997654,0.612549,0.446494,0.261183
MX2,0.244924903528179,1.99037839411945e-09,6.02376963322507e-07,0.391712,0.146787,0.180812,0.064935
RNF213,0.454535531831893,3.42136019021196e-09,1.01294574848906e-06,1.786512,1.331976,0.686347,0.519481
IRF1,0.415495306146966,3.86511273723386e-09,1.11997809294443e-06,1.224798,0.809303,0.520295,0.329004
IFITM2,0.408991638412763,4.4540888917085e-09,1.26375492950371e-06,1.2196,0.810609,0.51476,0.343434
HLA-E,0.390293362872201,4.65506793129881e-09,1.29382388074201e-06,2.950268,2.559975,0.926199,0.838384
ADAR,0.354823014930234,5.79835314586724e-09,1.57935542987132e-06,0.874403,0.51958,0.391144,0.229437
PTK2B,0.319452141751807,8.95609921914815e-09,2.39162971108978e-06,0.701223,0.381771,0.319188,0.164502
MT-CO3,0.23542199930791,1.0043284482637e-08,2.63037483401988e-06,4.025535,3.790113,0.998155,0.979798
RPS27,0.261433136138653,1.17305988602068e-08,3.01432124296522e-06,4.00891,3.747477,0.987085,0.975469
IFIT2,0.234879609618442,1.20488982451063e-08,3.03877676296486e-06,0.373417,0.138537,0.162362,0.060606
SHISA5,0.352073570622226,1.29845547988132e-08,3.21521185100068e-06,0.913974,0.561901,0.415129,0.240981
RPL34,0.354712247035102,1.38542429845049e-08,3.36930241439236e-06,3.284405,2.929693,0.953875,0.88456
VAMP2,0.227726322729839,1.43264638371694e-08,3.42301949120018e-06,0.384579,0.156852,0.186347,0.07215
RPL36,0.401454287725571,1.4823575844972e-08,3.48072895573574e-06,2.623212,2.221758,0.885609,0.757576
PARP10,0.233096476434234,1.79930522130008e-08,4.15334539133658e-06,0.401901,0.168805,0.193727,0.077922
RGS16,-0.344891220883097,1.87981984579565e-08,4.26687774664848e-06,0.373487,0.718378,0.164207,0.281385
PPM1K,0.261010251528097,2.26883914586636e-08,5.06546234877934e-06,0.49545,0.23444,0.236162,0.105339
SP110,0.212952868954207,2.45804023277201e-08,5.37217060999705e-06,0.347246,0.134293,0.171587,0.062049
RABAC1,0.366842377758889,2.49203199165285e-08,5.37217060999705e-06,1.074314,0.707472,0.47786,0.30303
PPP1R14B,0.327433376504611,2.52455333754175e-08,5.37217060999705e-06,0.712809,0.385376,0.300738,0.161616
ATP5I,0.287079110524611,3.20859269160457e-08,6.72274213337886e-06,0.640236,0.353156,0.313653,0.163059
PYHIN1,0.258196034418472,3.62528939279484e-08,7.48072973340499e-06,0.505947,0.247751,0.243542,0.109668
PSMB9,0.404829508101009,3.86432820161339e-08,7.85496802653325e-06,1.870979,1.466149,0.738007,0.569986
CD38,0.243770000347491,9.36014451963236e-08,1.87464423842461e-05,0.43533,0.19156,0.190037,0.080808
DDX60L,0.178656686395105,1.0213993398916e-07,2.00624828941962e-05,0.271582,0.092926,0.136531,0.041847
TNFSF13B,0.213396522097083,1.03118716689459e-07,2.00624828941962e-05,0.354406,0.141009,0.158672,0.062049
TRBC1,0.394003846116005,1.26179927415044e-07,2.4203442696697e-05,1.301379,0.907375,0.516605,0.357864
SAT1,0.262019372927962,1.49786085030467e-07,2.83324540559712e-05,0.538267,0.276248,0.245387,0.122655
PCBP1,0.325796700082743,1.70550176594081e-07,3.18181213018464e-05,0.896466,0.570669,0.407749,0.243867
LSP1,0.38783779453806,1.81956085002405e-07,3.34872962384831e-05,1.586621,1.198783,0.640221,0.474747
SAMD9,0.276900662339548,1.93524648967247e-07,3.51414959237991e-05,0.613623,0.336723,0.280443,0.142857
MT2A,0.409961812194649,2.16084392096721e-07,3.87217544205953e-05,1.560212,1.15025,0.595941,0.431457
BTN3A3,0.192653602678489,2.57273334313716e-07,4.55039680521882e-05,0.32971,0.137056,0.162362,0.063492
C19orf66,0.281892893572593,2.84139745495308e-07,4.96115281269307e-05,0.666427,0.384534,0.304428,0.171717
CMPK2,0.147186075237383,4.00512564456912e-07,6.90453242447935e-05,0.210559,0.063373,0.103321,0.02886
TRANK1,0.238737521896188,4.11758740658719e-07,7.00967786128886e-05,0.480888,0.24215,0.221402,0.103896
SRSF5,0.324949451495984,4.18744128710676e-07,7.04058801100085e-05,0.99015,0.665201,0.450185,0.281385
PNISR,0.304898209263715,5.07259888704469e-07,8.42484441983678e-05,0.85164,0.546742,0.389299,0.240981
SAMD9L,0.310199276126595,5.34469616848491e-07,8.68154364429019e-05,0.864454,0.554255,0.385609,0.235209
BTG1,0.411752390316938,5.35464913811863e-07,8.68154364429019e-05,2.067926,1.656173,0.710332,0.607504
CARD16,0.260359051765811,6.72521525630682e-07,0.000107753772441933,0.601528,0.341169,0.278598,0.150072
RPS15A,0.285069594120334,7.53111348071538e-07,0.000119263063364957,3.303386,3.018317,0.9631,0.909091
SLA2,0.208728295662376,8.08020062934486e-07,0.000126487646403503,0.402849,0.19412,0.197417,0.08658
CLIC3,0.369371244309614,8.23168175734083e-07,0.000127394629378664,1.380178,1.010807,0.551661,0.395382
PRDX1,-0.29515013346509,8.38445253169553e-07,0.000128300965201305,0.451131,0.746281,0.208487,0.311688
UQCRB,0.32783530922637,8.81724086929808e-07,0.000133424448221078,1.122452,0.794617,0.49631,0.340548
SPOCK2,0.278689066116432,9.23738638851876e-07,0.000138246115632129,0.665945,0.387256,0.289668,0.167388
TXNIP,0.336049868546935,9.43127326209364e-07,0.000139261148246373,1.039759,0.70371,0.429889,0.2886
JUN,0.321602396516376,9.50971935304554e-07,0.000139261148246373,0.896109,0.574506,0.369004,0.238095
XCL2,-0.36895692537589,9.72483881204438e-07,0.000140896361469396,0.444347,0.813303,0.156827,0.269841
RGCC,0.114219136850684,1.00581346954446e-06,0.000143321618573128,0.148741,0.034522,0.075646,0.018759
FO538757.2,0.108027649360717,1.01027060599312e-06,0.000143321618573128,0.136216,0.028188,0.071956,0.01443
RPL35A,0.306878996776586,1.0773248983631e-06,0.00015125863701863,3.017769,2.71089,0.944649,0.862915
RPL30,0.241785281936722,1.10151320443071e-06,0.000153076615623896,3.660623,3.418838,0.97786,0.958153
RPL11,0.289620565304786,1.27040200211979e-06,0.000174763685523934,3.073338,2.783717,0.953875,0.881674
STAT1,0.332189897681265,1.29578953849514e-06,0.000174848588633214,1.063129,0.73094,0.450185,0.297258
SUN2,0.243163230003357,1.29669633981604e-06,0.000174848588633214,0.538483,0.295319,0.245387,0.126984
RPL36AL,0.348124732412144,1.32854446287485e-06,0.000177386735685221,2.257002,1.908877,0.832103,0.695527
H1FX,0.13673681268054,1.41872950028793e-06,0.000187589097712828,0.190689,0.053953,0.092251,0.021645
GBP3,0.152216783555658,1.46465431013847e-06,0.000191799298555536,0.233227,0.08101,0.114391,0.034632
ARAP1,0.139008897610746,1.49811486984805e-06,0.000194312632499625,0.208207,0.069198,0.108856,0.031746
CTSD,0.323681890311033,1.6265942558927e-06,0.000208986671424553,1.116891,0.793209,0.49262,0.334776
KLRD1,0.354054991821988,1.69180844966843e-06,0.000215334011925554,1.48036,1.126305,0.608856,0.448773
EIF4A2,0.28075535628417,1.97959312616563e-06,0.000249630359122682,0.806846,0.526091,0.372694,0.236652
MXD4,0.145476368179351,2.01744619137998e-06,0.000252069721838568,0.220191,0.074715,0.103321,0.034632
IFITM3,0.304630034601271,2.0929291122252e-06,0.000259123650721773,0.903474,0.598844,0.392989,0.253968
PTMA,0.212297033591572,2.17768741164912e-06,0.000267188512245489,3.761822,3.549525,0.990775,0.963925
RPL39,0.299455589013104,2.58875620695985e-06,0.000314788131987376,3.056575,2.757119,0.937269,0.861472
TOMM7,0.339149538770633,2.65010653569769e-06,0.00031939646822714,1.52078,1.181631,0.638376,0.477633
PET100,0.210456139564694,2.74662317203289e-06,0.000328125096315052,0.451558,0.241102,0.221402,0.11544
OAS1,0.198852710239833,3.05774152365525e-06,0.000362116363570964,0.39982,0.200968,0.191882,0.093795
PLSCR1,0.27472232689319,3.57483814174608e-06,0.000419704488383102,0.768587,0.493865,0.350554,0.213564
GIMAP4,0.31044573913569,3.90225602483033e-06,0.00045422927181337,1.030158,0.719712,0.45203,0.294372
S1PR1,0.141368021241874,4.53403078556823e-06,0.000519228456489356,0.225755,0.084387,0.112546,0.040404
CITED2,0.087386419344793,4.53691066320827e-06,0.000519228456489356,0.104321,0.016934,0.051661,0.008658
CREBRF,0.126810068413464,4.90083879339108e-06,0.00055620436272661,0.190773,0.063963,0.095941,0.030303
IFI44,0.152091022178963,5.60250553138073e-06,0.000630582833321274,0.254879,0.102788,0.123616,0.047619
CCND2,-0.326312437965582,6.20691880445478e-06,0.000688372984320536,0.776578,1.10289,0.324723,0.425685
CD52,0.250855696583263,6.21704068370849e-06,0.000688372984320536,0.608853,0.357997,0.261993,0.152958
IRF9,0.104368351898461,6.33622293487529e-06,0.000695911452823117,0.143065,0.038696,0.075646,0.018759
TXN,-0.296619242775575,6.72021689922897e-06,0.000727293879701297,0.571971,0.868591,0.258303,0.341991
CEBPD,0.147684070756241,6.72876340717846e-06,0.000727293879701297,0.239984,0.0923,0.114391,0.040404
TYROBP,0.348606651431956,7.03000791756082e-06,0.000753871478970558,2.08027,1.731664,0.767528,0.627706
RPL37,0.312928151395478,7.12437194071772e-06,0.000758022042661208,2.851186,2.538258,0.904059,0.81241
TPT1,-0.23105023081913,7.70162914940336e-06,0.000812118820491445,3.403519,3.634569,0.957565,0.962482
PARP12,0.115067829366727,7.75207039165048e-06,0.000812118820491445,0.161894,0.046826,0.079336,0.020202
KLRB1,0.271673419459397,8.29988727278989e-06,0.000862871486779584,0.712852,0.441178,0.293358,0.177489
BST2,0.325836782179583,8.37033978042759e-06,0.000863603465679116,1.557675,1.231838,0.649446,0.489177
COMMD6,0.288191570615278,9.30858203748081e-06,0.00095318480277031,1.04185,0.753659,0.468635,0.330447
EIF2AK2,0.252491420437197,9.92344773772741e-06,0.00100856294582171,0.697266,0.444774,0.317343,0.191919
GABARAPL1,0.227212240020886,1.05863896674096e-05,0.00106797067318853,0.561536,0.334324,0.261993,0.145743
TRDC,0.223940866327913,1.08099007500685e-05,0.00108250028172929,0.532906,0.308965,0.250923,0.132756
RP5-1171I10.5,0.26390098749478,1.09174465476949e-05,0.0010852898141099,0.783759,0.519858,0.345018,0.229437
C19orf43,0.279823168088585,1.21621333755517e-05,0.00120026155392491,0.984269,0.704446,0.448339,0.304473
TRBC2,0.296984648454826,1.24834132638032e-05,0.00122310507366716,1.092764,0.795779,0.47417,0.333333
CSNK1G2,0.110560467072916,1.35370700529081e-05,0.00131686683607539,0.158979,0.048419,0.079336,0.021645
SCAF11,0.24444608544919,1.39503472787124e-05,0.00134744524531052,0.691487,0.447041,0.317343,0.200577
SH2D1B,0.270974632913304,1.43293419949904e-05,0.00136894218986573,0.827615,0.55664,0.357934,0.233766
GAS7,0.0859018174511943,1.4373943252133e-05,0.00136894218986573,0.108392,0.02249,0.055351,0.011544
H3F3B,0.285656053619444,1.47574165628798e-05,0.00139570316784625,3.017264,2.731608,0.935424,0.8557
HDGF,0.122219697282152,1.54273771140743e-05,0.0014490030959764,0.186389,0.06417,0.088561,0.030303
GMFG,0.256884178878982,1.57505855990555e-05,0.00146922757036669,0.799375,0.542491,0.372694,0.239538
NLRP1,0.128602471184265,1.61353899093206e-05,0.00149488350459209,0.209299,0.080697,0.105166,0.037518
RAB5C,0.118957713066789,1.69443155735109e-05,0.00155922049861922,0.183789,0.064831,0.094096,0.033189
STK17A,0.258386395333487,1.74390545195216e-05,0.00159397639933802,0.762546,0.50416,0.337638,0.215007
ZFP36,0.236512716778712,1.82121097241125e-05,0.0016372659742222,0.599563,0.36305,0.256458,0.157287
NOTCH1,0.136116510775713,1.82307776232622e-05,0.0016372659742222,0.230024,0.093908,0.116236,0.04329
GIMAP7,0.312832558310843,1.82733260945572e-05,0.0016372659742222,1.298086,0.985253,0.535055,0.398268
PDCD4,0.212082697999333,1.90663593773727e-05,0.00169715521804209,0.520394,0.308312,0.243542,0.139971
OAS2,0.20875154924279,1.95161628988768e-05,0.00172591313324547,0.501884,0.293133,0.243542,0.124098
VPS26B,0.0950378394478932,2.04813835934962e-05,0.00179958685909564,0.128878,0.033841,0.064576,0.015873
GBP1,0.237499546767591,2.15060181696453e-05,0.00186918199766561,0.619211,0.381712,0.269373,0.167388
CYBA,0.241219630756978,2.15479531267715e-05,0.00186918199766561,0.70403,0.462811,0.330258,0.206349
OAS3,0.197822984266964,2.37994992179062e-05,0.00205142645473839,0.453431,0.255608,0.208487,0.112554
IFIH1,0.11485259413169,2.72284633844065e-05,0.00233222920020272,0.177417,0.062564,0.088561,0.030303
BTN3A1,0.183860474752643,2.98797132542502e-05,0.00254332384256021,0.397549,0.213688,0.188192,0.089466
HLA-DPB1,0.171478931800299,3.08039263165107e-05,0.00259399898969961,0.355687,0.184208,0.171587,0.079365
SPON2,0.101065607885139,3.08559979683777e-05,0.00259399898969961,0.139745,0.03868,0.064576,0.017316
NIFK-AS1,0.0938683685574082,3.55733902786876e-05,0.0029722331423647,0.131427,0.037558,0.066421,0.018759
NUAK2,0.072004340862746,3.61899652570993e-05,0.00300531180997826,0.086103,0.014099,0.042435,0.007215
JAK1,0.241873582042163,3.80760816639826e-05,0.00314277670413199,0.719634,0.47776,0.328413,0.199134
HLA-B,0.133200631612293,3.86839877110785e-05,0.00317371824480228,4.546789,4.413589,1,0.992785
RPL38,0.298770284083095,3.98929704289756e-05,0.00325330757049233,1.52689,1.228119,0.632841,0.487734
OSBPL7,0.0830778934487492,4.06907784658964e-05,0.00329861733289906,0.102772,0.019694,0.04797,0.008658
MN1,0.0795953766119371,4.55129884719884e-05,0.00366770053254444,0.09819,0.018595,0.04797,0.007215
RASAL3,0.166151536294118,4.58282376655844e-05,0.00367138099275055,0.361405,0.195253,0.178967,0.090909
FAU,0.222348744828719,4.66118374978636e-05,0.00371231938528307,3.256255,3.033906,0.964945,0.917749
NCL,-0.307119804556647,4.83526915754365e-05,0.00382857736375505,1.173229,1.480349,0.494465,0.555556
TBC1D10C,0.20681422325205,5.0960741149118e-05,0.00401175915439213,0.549879,0.343065,0.263838,0.151515
EIF2D,0.0706602150261881,5.31926059562511e-05,0.00416339138228841,0.089256,0.018596,0.04797,0.011544
HLA-C,0.148165497439757,5.36331796626366e-05,0.00417388727900256,4.141327,3.993162,0.998155,0.984127
SELPLG,0.25157500465217,5.46057552401016e-05,0.00422543057167581,0.827137,0.575562,0.370849,0.242424
LRCH1,0.101748808637842,5.56549572944048e-05,0.00428228736379943,0.153614,0.051865,0.077491,0.024531
WIPF1,0.279014542737354,5.69477416583494e-05,0.00435714209912955,1.149719,0.870705,0.501845,0.36075
LPIN2,0.16109627778057,5.83302078225083e-05,0.00440512909102991,0.337703,0.176607,0.160517,0.083694
KIAA0319L,0.0961946009065234,5.85180376070138e-05,0.00440512909102991,0.143242,0.047047,0.075646,0.023088
CD2,0.177837813751851,5.85452944765706e-05,0.00440512909102991,0.400483,0.222645,0.186347,0.10101
KIAA0513,0.110800649182461,6.52700413390954e-05,0.00488413567580846,0.1751,0.0643,0.081181,0.031746
PSMB10,0.269759238730316,6.63893694576361e-05,0.00494074766471883,1.103161,0.833402,0.490775,0.349206
KCNK12,0.047605518015627,6.68084627983964e-05,0.00494491551549652,0.049221,0.001615,0.02583,0.001443
SPATS2L,0.08203844477618,6.73698250448345e-05,0.00495951160694919,0.11285,0.030811,0.060886,0.017316
UBC,0.298525093059175,7.62019441382122e-05,0.00557953912482963,1.667838,1.369313,0.660517,0.532468
MLLT6,0.207675004325132,8.10510827514626e-05,0.00590285933685652,0.567992,0.360317,0.261993,0.157287
PARP8,0.175251058263084,8.75377714360523e-05,0.00630824678367418,0.41085,0.235599,0.201107,0.099567
USP15,0.188596719464465,8.75437728257889e-05,0.00630824678367418,0.50441,0.315813,0.250923,0.1443
TBC1D2B,0.121518943919253,9.17853116781178e-05,0.00657907452496992,0.214857,0.093338,0.107011,0.041847
MYO1F,0.209161597697117,9.22850540583636e-05,0.00658026257183693,0.590574,0.381412,0.282288,0.15873
TCIRG1,0.151870816660709,0.000105272751721925,0.00745433623835616,0.32586,0.173989,0.162362,0.079365
ZFAS1,0.187550798205854,0.00010563821822474,0.00745433623835616,0.49892,0.311369,0.243542,0.1443
FOXO3,0.0947441166309162,0.000112912181148264,0.00792655152091863,0.145326,0.050582,0.073801,0.023088
ADA,0.121557249729085,0.000114662718383054,0.00800816185466057,0.218653,0.097096,0.107011,0.046176
FTL,-0.274378536783773,0.00011723567448403,0.00814608495305101,2.888253,3.162631,0.898524,0.888889
GAPDH,-0.311273953187162,0.000124751973794183,0.00862435091930444,2.286308,2.597581,0.785978,0.796537
PKM,-0.271702722211734,0.000128750317656409,0.00885581099072035,0.735086,1.006789,0.308118,0.388167
ZBTB8OS,0.140477135769302,0.000131358808789897,0.00898982722065132,0.292764,0.152287,0.149446,0.075036
CNN2,0.168892863795218,0.00013395118311468,0.00905462730500151,0.407891,0.238998,0.199262,0.111111
ATG4B,0.105833746882009,0.000134225468728415,0.00905462730500151,0.176878,0.071044,0.092251,0.034632
PLEKHA2,0.132672621729753,0.000134878295534655,0.00905462730500151,0.262269,0.129596,0.130996,0.062049
IFI35,0.227361142183878,0.000134965074008026,0.00905462730500151,0.755628,0.528267,0.348708,0.229437
FKBP8,0.203266372514672,0.000136778938460439,0.00913133511221919,0.615293,0.412027,0.293358,0.191919
GIMAP1,0.1270205195113,0.000137748489406515,0.00915120330354797,0.237698,0.110677,0.114391,0.050505
HLA-F,0.249742023320694,0.000138450119858038,0.00915316593372149,1.008459,0.758717,0.457565,0.323232
LTA,-0.224524093377216,0.000146618063446862,0.00964633529508603,0.349976,0.5745,0.143911,0.219336
NLRC3,0.145779461356485,0.000150600550250097,0.00986071583584647,0.306889,0.16111,0.151292,0.07215
CHST12,0.22813599207977,0.000151769410201077,0.00988970142358116,0.777212,0.549076,0.348708,0.236652
SLC1A5,-0.163207280182961,0.000153702525982306,0.00996797476834777,0.192657,0.355864,0.097786,0.157287
TOPORS-AS1,0.0981944381392824,0.000156663930535036,0.010090042606581,0.15769,0.059496,0.079336,0.030303
YPEL3,0.118250695604936,0.000157066527101488,0.010090042606581,0.207703,0.089453,0.101476,0.037518
ATP5E,0.279054772627389,0.00015792082851265,0.010097294664384,1.998122,1.719067,0.767528,0.636364
CTDSP2,0.102007919944696,0.0001603378878003,0.0102039331493098,0.167553,0.065545,0.088561,0.02886
HP1BP3,0.193354462185317,0.000165858787400424,0.0104836533711751,0.55108,0.357726,0.263838,0.163059
CFLAR,0.232591051102133,0.000166272790085456,0.0104836533711751,0.860404,0.627813,0.400369,0.266955
AZI2,0.122135544475869,0.000176356482700384,0.0110681978704909,0.228793,0.106658,0.114391,0.049062
RBM39,0.241187086037433,0.000177378941677986,0.0110813018656537,0.971767,0.73058,0.446494,0.316017
C1orf21,0.194761350258437,0.00017871863102645,0.0110923635931031,0.552947,0.358185,0.254613,0.157287
CCSER2,0.184261507066199,0.000179637083093212,0.0110923635931031,0.504281,0.320019,0.238007,0.1443
LPCAT1,0.110107008698744,0.000180285298343663,0.0110923635931031,0.191409,0.081302,0.097786,0.036075
SART1,0.0980070654585728,0.000180813915681687,0.0110923635931031,0.158265,0.060258,0.081181,0.027417
PTPN4,0.189912317102457,0.000185431427590714,0.0112761481527523,0.51119,0.321278,0.236162,0.135642
NDUFA3,0.194775916413553,0.000185468081497042,0.0112761481527523,0.576325,0.381549,0.280443,0.171717
SLFN5,0.190918610293778,0.000186293658445501,0.0112761481527523,0.532342,0.341423,0.245387,0.152958
HSPH1,-0.114195647400081,0.000188387842584247,0.011325642019669,0.080914,0.19511,0.046125,0.098124
TMEM140,0.13615778571128,0.000188774560427701,0.011325642019669,0.276307,0.140149,0.132841,0.062049
DDX17,0.226053850035762,0.00019283814637452,0.0115186961205026,0.805642,0.579588,0.372694,0.255411
