Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
PFN1,-0.590479578595994,1.41526165826718e-64,2.29017641540796e-60,2.591501,3.18198,0.988281,0.987862
AC090498.1,0.568953685843829,8.10466239507803e-47,6.55748234385763e-43,1.687571,1.118617,0.964844,0.886042
RPS29,0.416109505834196,5.49566845461055e-31,2.73049391810615e-27,2.630442,2.214332,0.992188,0.982468
RPS2,-0.350072514795186,6.74945969127711e-31,2.73049391810615e-27,3.424772,3.774845,0.988281,0.998651
COX5A,-0.435407405369676,4.35523174595788e-30,1.40952720226181e-26,1.340614,1.776021,0.894531,0.94673
RPL26,0.429933613964714,3.65119703692074e-28,9.84727840857522e-25,2.184177,1.754243,0.972656,0.957519
FTH1,-0.413498952827652,1.77030246635739e-22,4.09243350151361e-19,2.14201,2.555509,0.984375,0.987862
MT-ATP8,0.368582807738143,6.99204440000699e-22,1.41431578101141e-18,2.79585,2.427267,1,0.984491
ANP32B,-0.376394227258572,3.80384919382895e-21,6.83932085050445e-18,1.419134,1.795528,0.917969,0.954821
RPS27,0.3339982313639,9.42212932726181e-20,1.52468896773751e-16,3.43934,3.105341,0.996094,0.996628
NME2,0.32846208089821,1.56401177491046e-19,2.30080350378192e-16,1.214426,0.885963,0.902344,0.812542
HMGN1,-0.322855233358919,5.56946981713683e-19,7.51043004840901e-16,0.932364,1.255219,0.890625,0.918409
EEF1G,0.142437443542111,2.08777590668495e-17,2.59879920938275e-14,0.23437,0.091932,0.429688,0.168577
ATP5I,0.314618952942316,3.00458281176526e-17,3.47286850428467e-14,1.148707,0.834088,0.910156,0.783547
RPL41,0.195262055955228,1.77947320473214e-16,1.91969569326503e-13,3.560286,3.365024,0.996094,0.998651
UQCRFS1,-0.296220754421836,4.61158393708643e-16,4.66404070437079e-13,0.62641,0.922631,0.804688,0.814565
ARPC1B,0.305048558777023,5.50590599348265e-16,5.24097475214919e-13,1.125697,0.820648,0.90625,0.782198
NDUFA11,0.193371588515866,1.08799134210578e-15,9.78104216553095e-13,0.408277,0.214906,0.660156,0.329737
EIF5A,-0.318294042478036,1.95142844936435e-15,1.66200079829547e-12,2.307495,2.625789,0.953125,0.971005
NME1,0.218974131451268,2.95542287147828e-14,2.39123264531308e-11,0.575438,0.356464,0.722656,0.49292
MT-ND3,0.266728489246501,4.32413984376653e-14,3.33205861675381e-11,3.190171,2.923442,1,0.995954
RPL34,0.232370365449979,6.436982456148e-14,4.73469318660849e-11,3.374996,3.142626,1,0.997977
RPS21,0.203247225478504,1.07571888237872e-13,7.56838389332718e-11,3.201708,2.998461,0.996094,0.997977
MRPL41,-0.278445810336035,1.5275781342641e-13,1.02996955702757e-10,0.833363,1.111809,0.824219,0.86851
