Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.798409241111736,8.07688490017235e-57,1.2139558004959e-52,2.114505,1.316096,0.867689,0.652949
HLA-B,0.231594152857104,1.67263360794648e-27,1.25698415637178e-23,4.157762,3.926168,0.999041,1
MT-ND5,-0.347552850235218,9.90552912883199e-27,4.96267009354483e-23,3.119105,3.466658,0.986577,0.994513
RPS29,0.458417525974397,3.6090985673904e-25,1.35611878669694e-21,3.252026,2.793608,0.966443,0.932785
IFITM1,0.585062869189301,4.54962513319388e-25,1.36761731503808e-21,2.347741,1.762678,0.883988,0.737997
RP11-290D2.6,-0.579786829721095,5.88822578830216e-25,1.47500055996969e-21,0.638747,1.218534,0.330777,0.51989
PTPRCAP,0.35996291279328,1.3101630559972e-24,2.81310724737684e-21,0.586959,0.226996,0.373921,0.138546
MT-ATP8,0.344431346292009,9.70331140470979e-24,1.82300963015985e-20,3.285924,2.941493,0.990412,0.971193
RPS10,0.447482580001262,3.63831016906946e-22,6.075977982346e-19,1.13028,0.682798,0.611697,0.389575
MT-ND6,-0.485311713102031,4.78229381268293e-22,6.72721779220735e-19,1.962235,2.447547,0.842761,0.90535
IFI44L,0.319495996491731,4.92344615530811e-22,6.72721779220735e-19,0.443648,0.124152,0.259827,0.072702
MTRNR2L12,-0.534443258471982,1.08702316023323e-21,1.36149650819212e-18,4.125377,4.65982,0.993289,0.990398
RGCC,0.269812625947152,1.1250575261724e-19,1.30073958602855e-16,0.382539,0.112726,0.243528,0.071331
RPL41,0.338040616467612,2.32712159906996e-19,2.49833125957296e-16,3.979381,3.641341,0.982742,0.975309
GZMK,0.56407289609661,3.06023123362547e-19,3.06635169609272e-16,1.224789,0.660716,0.474593,0.272977
ZFP36L2,0.477882350124784,9.48740933976985e-19,8.9122351485463e-16,1.369123,0.891241,0.63279,0.465021
RPS21,0.293618900969993,2.1347584628905e-17,1.88737762924966e-14,3.641829,3.34821,0.983701,0.96845
PSIP1,0.285493430076249,1.41703759529087e-16,1.18322639206788e-13,0.547446,0.261952,0.357622,0.167353
RPL26,0.388684518893656,3.14370200556653e-16,2.48683374440342e-13,2.569057,2.180372,0.928092,0.849108
MX1,0.322303448941412,1.18850066523566e-15,8.93158249924596e-13,0.650941,0.328637,0.380633,0.187929
B2M,0.153945038553202,6.03481023257328e-15,4.31919989502745e-12,4.776157,4.622212,0.999041,0.997257
MT-ND4L,0.183040969164798,6.35645065500369e-15,4.34261151566843e-12,4.136423,3.953382,1,0.995885
RPL37,0.276941145338344,9.04421936223557e-15,5.91020073975655e-12,3.904961,3.62802,0.986577,0.964335
MT-ND4,-0.26681511161718,1.46199132589751e-14,9.15572067843317e-12,2.761161,3.027976,0.979866,0.979424
BTG1,0.389499044994923,9.62479177095144e-14,5.78642481269601e-11,2.175836,1.786337,0.87536,0.776406
CYBA,0.304366784854935,2.08701713249226e-13,1.20645644235995e-10,0.808031,0.503665,0.503356,0.292181
NME2,0.26076323449929,4.90352876869644e-13,2.72963101457435e-10,0.603927,0.343164,0.386385,0.233196
MIF,0.344827276708344,6.17954646784592e-13,3.31709226470444e-10,1.729204,1.384377,0.820709,0.657064
TMA7,0.324483460966545,1.15976847591814e-12,6.01080006656884e-10,2.007941,1.683457,0.876318,0.769547
LIMD2,0.331153170712617,2.19665495658867e-12,1.10052413325092e-09,1.818107,1.486954,0.85906,0.689986
GIMAP7,0.337897537903262,2.95436252903923e-12,1.4323893164987e-09,1.835922,1.498025,0.848514,0.70096
ATP5E,0.304205143453929,5.53184524297556e-12,2.59823856256008e-09,2.201341,1.897135,0.907958,0.817558
IFI6,0.280351805914041,7.25929310078988e-12,3.30627803954157e-09,0.575426,0.295075,0.311601,0.171468
OAZ1,0.319812522529933,9.52559020335838e-12,4.21087119871989e-09,1.736805,1.416992,0.83605,0.672154
ARPC1B,0.260543472731943,1.34433669463484e-11,5.77296586296047e-09,0.700951,0.440407,0.446788,0.274348
LY6E,0.32376392748784,1.83420514490371e-11,7.65780647997297e-09,1.077299,0.753535,0.576222,0.412894
EPSTI1,0.184500246721157,3.74738194032579e-11,1.50166376135368e-08,0.298151,0.11365,0.188878,0.065844
ISG15,0.284436264144069,3.79662161885827e-11,1.50166376135368e-08,0.666659,0.382223,0.363375,0.222222
CD6,0.283431045008615,4.46529216871925e-11,1.7208549050218e-08,0.858949,0.575518,0.511985,0.327846
PNISR,0.307607678145077,6.33800431770293e-11,2.38150512237688e-08,1.194683,0.887075,0.658677,0.484225
IRF7,0.228511556694148,6.54607697185994e-11,2.39969602163548e-08,0.485849,0.257337,0.302013,0.163237
ITM2A,0.264358445140314,6.71227107349742e-11,2.40203414844443e-08,0.703287,0.438929,0.431448,0.255144
FYN,0.286230169413397,7.51180773872677e-11,2.62428231411279e-08,0.875062,0.588832,0.51582,0.334705
RP11-124N14.3,-0.158395364262385,7.82375070535267e-11,2.62428231411279e-08,0.102201,0.260597,0.072867,0.152263
NDUFA3,0.260414740709567,7.8571326769844e-11,2.62428231411279e-08,0.774296,0.513881,0.488974,0.315501
LMNA,-0.137000771401095,1.12523798154702e-10,3.67659279622864e-08,0.045947,0.182948,0.033557,0.098765
HLA-C,0.153384601031984,1.8503265500451e-10,5.91710809514422e-08,3.658995,3.505611,0.998082,0.998628
JUNB,0.325914468358048,2.05588644521926e-10,6.43749443159282e-08,1.36287,1.036955,0.677852,0.532236
LAMTOR4,0.265872683650854,2.21815134798993e-10,6.80383974699769e-08,0.878375,0.612502,0.541707,0.359396
DUSP2,0.122417960247806,2.39689966030541e-10,7.20508037887807e-08,0.150491,0.028073,0.09396,0.02332
XAF1,0.222113052276792,2.62385752302804e-10,7.7326624649238e-08,0.461223,0.23911,0.278044,0.139918
ISCU,0.262163766334892,3.34196072604305e-10,9.65955186777444e-08,0.874263,0.612099,0.540748,0.363512
VIM,-0.375952233143757,3.62348276890097e-10,1.02756501918079e-07,1.769273,2.145226,0.720997,0.807956
PASK,0.284327788015469,4.35980355419033e-10,1.21347865591631e-07,0.834363,0.550035,0.458293,0.304527
HIST1H1E,-0.240658716811175,6.36031378593941e-10,1.73810029459399e-07,0.327243,0.567901,0.198466,0.29904
MT-ND3,0.190924785172431,6.77197999355916e-10,1.81755105898561e-07,3.869284,3.67836,0.998082,0.987654
SARAF,0.273920276927898,6.89581183873332e-10,1.81831670063442e-07,2.475018,2.201098,0.941515,0.875171
RPL36A,0.306615151021667,1.06052709524549e-09,2.74822797267926e-07,1.464063,1.157448,0.718121,0.581619
IRF9,0.128073310846587,1.10921356681149e-09,2.78257676230636e-07,0.180675,0.052602,0.119847,0.035665
STK17A,0.281716726673032,1.11080908674905e-09,2.78257676230636e-07,1.000119,0.718402,0.566635,0.389575
GABARAP,0.26986492357479,1.18751443842457e-09,2.88991054827386e-07,1.131066,0.861201,0.653883,0.489712
LAMP1,0.143707925507053,1.19211213568183e-09,2.88991054827386e-07,0.236224,0.092517,0.165868,0.0631
TSHZ2,0.215502044039537,1.3106084951435e-09,3.12673740984236e-07,0.443377,0.227875,0.258869,0.134431
TPR,0.27419370958667,1.62385054648635e-09,3.81351151776403e-07,0.947731,0.673537,0.53883,0.386831
HLA-A,0.167625385621744,1.916926740314e-09,4.43252444721837e-07,3.466513,3.298888,0.999041,0.989026
BLOC1S4,0.12552519923251,3.34281255679206e-09,7.61249586796737e-07,0.198878,0.073353,0.147651,0.045267
HMGB1,0.271417054157644,3.49738250728226e-09,7.84562075887348e-07,1.953694,1.682277,0.884947,0.759945
HNRNPDL,0.276424924028299,3.63126260107566e-09,8.02615836678929e-07,1.505156,1.228731,0.769895,0.625514
H3F3B,0.259278167308777,3.99600045936087e-09,8.70433143539041e-07,2.340495,2.081217,0.935762,0.85048
DAZAP2,0.275098936423772,4.22923851837089e-09,9.08077927587349e-07,1.485939,1.21084,0.772771,0.618656
TIGIT,0.207892137944771,6.0507275003488e-09,1.28087935676398e-06,0.410186,0.202294,0.227229,0.105624
IFIT1,0.113231309333466,6.22001924572971e-09,1.29842901754608e-06,0.144392,0.031161,0.089166,0.016461
MYC,0.262954526262559,6.65040300774651e-09,1.36925420830726e-06,0.865921,0.602967,0.488974,0.333333
CDC42SE2,0.241122992167423,7.38381707680466e-09,1.49971311708613e-06,0.842375,0.601252,0.520614,0.359396
NUCB2,0.187516913025438,7.71733132560844e-09,1.54655319765193e-06,0.392631,0.205114,0.24257,0.128944
C19orf66,0.204302340009911,9.3459131287841e-09,1.84827729375822e-06,0.521837,0.317535,0.338447,0.197531
TPT1,-0.202967713938137,9.75124820030885e-09,1.90339299286548e-06,3.953037,4.156005,0.982742,0.986283
SOCS3,0.183589275683236,1.09755917159414e-08,2.11491209603332e-06,0.385116,0.201527,0.241611,0.11797
IER3IP1,0.110689439492717,1.18359993080394e-08,2.25183632404851e-06,0.170963,0.060273,0.131352,0.045267
HELZ2,0.124692416211232,1.51919093663755e-08,2.8541799722078e-06,0.187097,0.062405,0.120805,0.035665
CITED2,0.148232048220022,1.56323624757643e-08,2.90067170383627e-06,0.267521,0.119289,0.179291,0.071331
ATP5I,0.231301739705537,1.77653637278811e-08,3.2562611808543e-06,0.828539,0.597237,0.507191,0.367627
POLR2J,0.140615596360098,1.85262392323473e-08,3.35481175496602e-06,0.275671,0.135056,0.207095,0.09465
CEBPB,0.092246294523469,2.40429998708372e-08,4.30197961974624e-06,0.125842,0.033596,0.09396,0.021948
PHYKPL,0.15832319456506,2.97640164230227e-08,5.26297843338861e-06,0.322855,0.164532,0.2186,0.100137
WHAMM,0.112962912655865,4.08251570450301e-08,7.1137077448813e-06,0.17395,0.060987,0.118888,0.038409
COMMD6,0.254264916392479,4.11771506190734e-08,7.1137077448813e-06,1.457745,1.20348,0.768936,0.621399
CCSER2,0.199899100251039,4.77137545047424e-08,8.1492923887077e-06,0.534538,0.334639,0.333653,0.207133
C19orf43,0.23979167465451,5.56471003950198e-08,9.39748223524885e-06,1.081558,0.841766,0.636625,0.469136
CHI3L2,0.0747943701216907,5.8574565948803e-08,9.69554898312784e-06,0.080113,0.005319,0.048897,0.004115
PET100,0.198095715182907,5.87605685137277e-08,9.69554898312784e-06,0.573165,0.37507,0.381592,0.226337
MX2,0.179445337969675,5.9347339085014e-08,9.69554898312784e-06,0.409702,0.230257,0.251198,0.142661
CXCR5,0.111453760125745,6.936665680463e-08,1.12105467932644e-05,0.174918,0.063465,0.122723,0.045267
CST7,0.231757251348388,7.71597340998984e-08,1.23373489736327e-05,0.670299,0.438542,0.37488,0.238683
HLA-E,0.223894954578852,9.70102301515702e-08,1.53480395702958e-05,2.575843,2.351948,0.955896,0.891632
COTL1,0.173183348403643,9.89981312678275e-08,1.54993949266192e-05,0.408637,0.235454,0.269415,0.139918
LTB,0.280046711183346,1.08491940627297e-07,1.68106584291574e-05,2.264746,1.984699,0.892617,0.790123
PPP2R5C,0.230875880018092,1.22103803867568e-07,1.87267364503015e-05,0.860322,0.629446,0.504314,0.368999
C12orf57,0.254270130013261,1.23710089864164e-07,1.87814409157412e-05,1.485784,1.231514,0.756472,0.609053
SAT1,0.212764415337001,1.41879349650351e-07,2.13244662524478e-05,0.661118,0.448354,0.407478,0.264746
CCDC64,0.119423809981794,1.44774077249222e-07,2.15441027827308e-05,0.197731,0.078307,0.129434,0.052126
CD3E,0.239613276561261,1.53459751535421e-07,2.26127457409547e-05,2.097015,1.857402,0.891659,0.801097
S100A11,-0.280151912498159,1.60192648276643e-07,2.33756845009509e-05,1.352245,1.632396,0.649089,0.72428
EIF2AK2,0.180618487800347,1.65772626554005e-07,2.39573324721797e-05,0.441476,0.260858,0.279003,0.159122
SP100,0.222957938371457,1.75777952002599e-07,2.5161358272372e-05,0.831723,0.608765,0.500479,0.353909
FNTA,0.149840263846692,1.87574169575767e-07,2.65966015917337e-05,0.33859,0.18875,0.239693,0.119342
NDUFA1,0.215209947184605,2.26824235925481e-07,3.18613856631773e-05,0.906352,0.691142,0.565676,0.410151
CHURC1,0.167253522035355,2.47479786109388e-07,3.44409369002231e-05,0.426933,0.25968,0.287632,0.161866
PVT1,0.134867320630755,2.49876626311097e-07,3.44554650775761e-05,0.261374,0.126507,0.174497,0.085048
PDE3B,0.206884131124477,2.71055829208159e-07,3.70360828454421e-05,0.652734,0.44585,0.396932,0.259259
RASAL3,0.169573452831595,2.84013698325937e-07,3.84569899625121e-05,0.43552,0.265947,0.292426,0.15775
ZAP70,0.201666905664223,2.92377691489226e-07,3.92360419918131e-05,0.668663,0.466996,0.424736,0.282579
USMG5,0.213361414208342,3.01480566802419e-07,4.00995833543395e-05,0.89131,0.677949,0.543624,0.399177
RPL17,0.251731247969231,3.07106778494959e-07,4.04896042173617e-05,1.386985,1.135253,0.708533,0.573388
SIGIRR,0.166629870680731,3.41616321525987e-07,4.4647767935092e-05,0.423587,0.256957,0.281879,0.15775
