Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
PTPRCAP,0.431893567968751,3.13512277736914e-15,4.14306475029332e-11,0.623256,0.191362,0.406977,0.12326
AC090498.1,0.743102868438909,7.71347320407391e-15,5.09667741959184e-11,2.10304,1.359937,0.831395,0.654076
RGCC,0.360337397833297,9.49719862900299e-13,4.18351599607582e-09,0.49193,0.131593,0.319767,0.075547
RPS10,0.595850735404681,2.81329521212527e-12,9.29442405705887e-09,1.320292,0.724441,0.662791,0.403579
ZFP36L2,0.524920829744493,1.76120210946071e-11,4.65485717530466e-08,0.993587,0.468666,0.52907,0.262425
IFITM1,0.632738422908478,5.42161649205498e-11,1.19411103237511e-07,2.449535,1.816797,0.918605,0.77336
HPCAL1,0.285849109343012,1.14993711362867e-09,1.90444948999247e-06,0.412001,0.126152,0.273256,0.077535
BTG1,0.609145829589701,1.15290169655239e-09,1.90444948999247e-06,2.260724,1.651579,0.877907,0.725646
NME2,0.413875021986704,3.86153919952044e-09,5.67002672462918e-06,0.830471,0.416596,0.505814,0.248509
CEBPB,0.14375441026228,7.33802059473498e-09,9.69719421594228e-06,0.167754,0.023999,0.127907,0.015905
C19orf66,0.320090460178729,1.3182759561342e-08,1.58372879639213e-05,0.514621,0.19453,0.319767,0.115308
MTRNR2L12,-0.592449000536624,3.30415860194326e-08,3.63870466039001e-05,4.30147,4.893919,0.994186,0.998012
WHAMM,0.203212371268337,3.63681687502312e-08,3.69696423103311e-05,0.264904,0.061692,0.180233,0.037773
MT-ATP8,0.378578176239761,5.7217509155561e-08,5.40092416779099e-05,3.350729,2.972151,0.982558,0.972167
ISG15,0.293851074932424,6.28632107452556e-08,5.53824886665702e-05,0.457277,0.163426,0.284884,0.089463
PIGX,0.12518480770096,1.75784500903924e-07,0.000145187011215334,0.146287,0.021103,0.110465,0.015905
IFI6,0.286306315033263,2.11563642515781e-07,0.000162905299395272,0.458529,0.172223,0.267442,0.099404
IFI44L,0.243361755921025,2.21891440720007e-07,0.000162905299395272,0.336323,0.092961,0.186047,0.047714
GIMAP1,0.30781123750754,6.60023605792512e-07,0.00045906378687095,0.628741,0.32093,0.418605,0.196819
RPS29,0.453076699143654,1.27836822515606e-06,0.000844681804771865,3.318084,2.865007,0.930233,0.914513
HLA-C,0.25290000061976,1.43097136824016e-06,0.000900489839585417,3.579868,3.326968,1,0.994036
STK17A,0.411679968474874,1.59549254184357e-06,0.000958383360930124,1.137057,0.725377,0.633721,0.379722
RAB5C,0.16081271388339,1.81750721258229e-06,0.00104427642670761,0.219544,0.058731,0.156977,0.035785
HLA-B,0.237422926059749,2.7759308241317e-06,0.00152849691003752,3.96854,3.731117,1,0.992048
B2M,0.175593733002144,3.32125158839071e-06,0.00175561358962333,4.647993,4.4724,1,1
DAD1,0.343053349883289,3.64603739322071e-06,0.00185316862120814,0.829111,0.486058,0.511628,0.27833
CTD-2095E4.5,0.162195894472245,4.03526552160327e-06,0.00197503829140693,0.220485,0.058289,0.151163,0.031809
TMA7,0.412650197696143,4.44512983343904e-06,0.00209794252674632,1.821487,1.408837,0.831395,0.67992
EEF1G,0.175205436798657,5.2726543750984e-06,0.00240269405403191,0.270095,0.09489,0.197674,0.06163
SP100,0.341764543521553,5.70079805014949e-06,0.00246611691515292,0.828037,0.486273,0.5,0.276342
RP11-290D2.6,-0.502285852939424,5.78506427315479e-06,0.00246611691515292,0.599533,1.101819,0.284884,0.463221
XAF1,0.217755977589174,7.66231055536095e-06,0.00316429481215922,0.348896,0.13114,0.209302,0.073559
EBPL,0.155803049788505,9.99495958229747e-06,0.00400252699636549,0.222883,0.067079,0.162791,0.037773
MX1,0.261941785264172,1.21665808230652e-05,0.0047288636934355,0.476245,0.214303,0.27907,0.115308
CSNK2B,0.110617456062502,1.65496542542254e-05,0.00624867659913109,0.140947,0.030329,0.104651,0.019881
ARPC1B,0.236177824460698,2.14357027761255e-05,0.00786868922740275,0.473356,0.237179,0.30814,0.149105
LAMP1,0.150469539597217,2.32942281415131e-05,0.0083198168889215,0.222973,0.072504,0.151163,0.047714
BLOC1S4,0.12649089548408,2.70015254029971e-05,0.00939013574212123,0.174855,0.048364,0.133721,0.027833
CHCHD10,0.160273075927047,3.22994613930074e-05,0.0109445482643229,0.24929,0.089017,0.174419,0.053678
SOCS3,0.270355274167155,3.38193443569472e-05,0.0111730658919264,0.614227,0.343871,0.395349,0.198807
SCML4,0.231265383978245,3.52563021050283e-05,0.0113637081053158,0.465803,0.234537,0.30814,0.143141
ZFAND4,0.0569157727747168,3.70249758138439e-05,0.011649644175713,0.059227,0.002311,0.040698,0.001988
PRKCD,0.0466625655806342,4.01494776073459e-05,0.0123389615483971,0.046663,0,0.034884,0
IFIT5,0.128210043974958,5.09303688873982e-05,0.0152964732919765,0.172284,0.044074,0.110465,0.023857
GLS,0.15846060002441,5.77708982455997e-05,0.0169653871181244,0.23762,0.079159,0.145349,0.049702
CITED2,0.125892833106048,6.7475757987919e-05,0.0193846117784859,0.182147,0.056254,0.133721,0.033797
CNNM3,0.0517646342390558,7.35275573120666e-05,0.0203917498943826,0.054683,0.002919,0.040698,0.001988
AC109826.1,0.0690098750196651,7.40676500136485e-05,0.0203917498943826,0.080856,0.011846,0.063953,0.007952
RASAL3,0.201746269348861,9.30311524590649e-05,0.0250609705032466,0.381086,0.17934,0.25,0.111332
LY6E,0.322900505978548,9.48201683815612e-05,0.0250609705032466,0.929004,0.606103,0.517442,0.332008
SIGIRR,0.225129457793717,0.000100970377038466,0.0261632065208496,0.485626,0.260496,0.319767,0.161034
RAC1,0.130804525751932,0.000107052824024347,0.0272058282592642,0.193164,0.06236,0.133721,0.039761
CBX3,0.229357623429497,0.000130792198043299,0.0326116773045698,0.505699,0.276342,0.313953,0.170974
BEST1,0.0986957856332486,0.000142150681192268,0.0342259306623417,0.13885,0.040154,0.104651,0.029821
CBWD5,0.0831471338087568,0.000143093426450009,0.0342259306623417,0.102874,0.019727,0.069767,0.013917
CCDC78,0.0360929189726364,0.000145036104206669,0.0342259306623417,0.036093,0,0.02907,0
DDT,0.212498014426368,0.000149503483012782,0.0346612022458581,0.465688,0.25319,0.313953,0.157058
FAM58A,0.0665603294466365,0.000158972939997535,0.0362211621046108,0.079384,0.012824,0.063953,0.007952
RNPEP,0.0867414243925438,0.000167474155288474,0.0372049154513549,0.108061,0.02132,0.075581,0.011928
MKRN1,0.197321189784894,0.000170770343885941,0.0372049154513549,0.401577,0.204256,0.273256,0.125249
SKP1,0.305593601228394,0.000173097829346692,0.0372049154513549,1.075158,0.769564,0.639535,0.435388
TMED3,0.143342542048383,0.000174552005901173,0.0372049154513549,0.234212,0.090869,0.162791,0.06163
RNF11,0.106465591554961,0.000217860634247609,0.0456988616124152,0.152043,0.045577,0.110465,0.027833
TSNAX,0.0757531596305406,0.000224652200587698,0.0458596825548543,0.090046,0.014293,0.05814,0.00994
OAS1,0.125849834881205,0.000225567867276998,0.0458596825548543,0.177702,0.051852,0.104651,0.027833
POLR2L,0.257243030866933,0.000238786548584925,0.047811579387118,0.742948,0.485705,0.465116,0.298211
ARMC10,0.0733003862265206,0.000243994357461201,0.0481251557291012,0.089268,0.015968,0.063953,0.00994
RGS14,0.165349343532475,0.000250692639628596,0.0487191651866456,0.306207,0.140858,0.209302,0.089463
NDUFA4,0.283819632476144,0.00025880595447267,0.049566966497918,0.917186,0.633366,0.552326,0.361829
USMG5,0.250780657527654,0.000268943479565759,0.0507726868923073,0.694919,0.444139,0.424419,0.270378
C14orf169,0.106105210454786,0.000302891723979307,0.0563762553857259,0.154529,0.048424,0.116279,0.029821
