Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
RPS29,0.450878872801578,6.30007821920633e-26,9.66684001955019e-22,2.742798,2.291919,1,0.986547
PFN1,-0.47638582234343,9.15568444900953e-24,7.02424110928011e-20,2.622278,3.098664,0.987578,0.986547
AC090498.1,0.457711682513415,4.36357621570453e-20,2.23182378179234e-16,1.599008,1.141296,0.944099,0.898356
RPL26,0.3974799240992,8.05338931487978e-18,3.08928014118788e-14,2.302961,1.905481,0.987578,0.970105
COX5A,-0.414121954230053,9.13847004801294e-15,2.80441368833421e-11,1.359836,1.773958,0.881988,0.929746
RPS27,0.375828324665459,7.25968967759009e-13,1.85654464021571e-09,3.579489,3.203661,0.993789,0.989537
ANP32B,-0.377801367699516,1.16898394753726e-12,2.56241281300166e-09,1.440145,1.817947,0.906832,0.946188
NME2,0.326814553687979,4.61071109263745e-12,8.84334387567864e-09,1.206211,0.879397,0.906832,0.822123
EEF1G,0.152500709689942,1.98370898112088e-11,3.38200340070209e-08,0.250792,0.098291,0.465839,0.185351
NDUFA11,0.218567335741283,3.52066638520656e-11,5.40211050146095e-08,0.46496,0.246393,0.708075,0.382661
FTH1,-0.365356870073282,4.89222928152654e-11,6.82421509961302e-08,2.022504,2.387861,0.975155,0.983558
PTPRCAP,0.177886684077086,1.27281344163896e-10,1.62750412070902e-07,0.266442,0.088555,0.42236,0.139013
RPS28,0.193359768254846,1.58341227658604e-10,1.85502483954279e-07,3.773845,3.580485,1,0.998505
RPS21,0.227651151898539,1.6925409119916e-10,1.85502483954279e-07,3.329508,3.101857,1,0.995516
UQCRFS1,-0.295646433934178,7.74023361005387e-10,7.9177429675111e-07,0.60446,0.900106,0.732919,0.786248
MATR3-1,0.154067429361475,1.4568619901417e-09,1.3971306485459e-06,0.280819,0.126752,0.496894,0.233184
ATP5I,0.282656906338872,3.17964224158932e-09,2.86990767970273e-06,1.165313,0.882656,0.89441,0.820628
RPS2,-0.22230626203911,5.27043912388082e-09,4.28106338938538e-06,3.497311,3.719618,0.993789,0.99701
NME1,0.224429303803007,5.30110821156948e-09,4.28106338938538e-06,0.597116,0.372687,0.745342,0.506726
RPS15,0.210893364559321,1.46514377339539e-08,1.12405830294894e-05,3.630838,3.419944,1,0.992526
SDF4,-0.246797140302029,2.49899836531904e-08,1.82593480559311e-05,0.502375,0.749173,0.73913,0.762332
RPL36A,0.264241182053937,3.81155338581565e-08,2.65838523417979e-05,1.459169,1.194927,0.944099,0.907324
MT-ATP8,0.270393708732399,4.3571951960109e-08,2.90681752554745e-05,2.808663,2.538269,0.993789,0.986547
MRPL41,-0.271545402110575,5.46077976387045e-08,3.49125852903451e-05,0.877752,1.149298,0.84472,0.86846
MCUR1,-0.171510097705666,1.05858940382658e-07,6.497198324926e-05,0.130646,0.302156,0.298137,0.460389
RPL41,0.186454816188579,1.47833572105571e-07,8.71652296257038e-05,3.557902,3.371448,1,0.994021
RPL39,0.202494819353595,1.5337990093157e-07,8.71652296257038e-05,3.633639,3.431144,1,0.991031
MRPL23,0.133434218230072,2.16705102029025e-07,0.000118754395911906,0.273834,0.1404,0.509317,0.249626
RPL36AL,0.219171966939208,2.24585290994652e-07,0.000118828851897308,2.223444,2.004272,1,0.967115
KHDRBS1,-0.228009078930816,2.35419981920157e-07,0.000120409473419429,0.424244,0.652253,0.645963,0.704036
IRF7,0.128891504133423,2.85220042066103e-07,0.000138778487304077,0.199205,0.070313,0.248447,0.118087
PET100,0.188758000164386,2.97468173134534e-07,0.000138778487304077,0.483641,0.294883,0.714286,0.439462
MX1,0.118985196065595,2.98467810286402e-07,0.000138778487304077,0.176206,0.057221,0.229814,0.088191
HNRNPAB,-0.287379612498192,4.77658281494132e-07,0.000215564372683705,1.110518,1.397897,0.819876,0.884903
ARF3,0.121886187245992,5.32963907780005e-07,0.000233651377170754,0.230087,0.108201,0.428571,0.195815
RPL36,0.176305766076162,6.9429014434193e-07,0.000295921888188405,3.587824,3.411518,1,0.992526
ISG20,0.217192520922862,7.32841138863319e-07,0.000299576194066736,0.502557,0.285365,0.540373,0.352765
POLR2J,0.160344937114136,7.41911846619915e-07,0.000299576194066736,0.42489,0.264545,0.689441,0.41704
RPL21,-0.238552846805223,8.92980814329525e-07,0.000351330708078775,1.934016,2.172569,0.987578,0.979073
XAF1,0.0713403538947311,9.33860869970635e-07,0.000358229029720736,0.094291,0.022951,0.124224,0.046338
HMGN1,-0.247718549392907,9.94178755625431e-07,0.000372065337227234,0.979657,1.227375,0.863354,0.884903
ATP5E,0.202484559861851,1.20675956616574e-06,0.000440869494839216,2.383681,2.181196,1,0.974589
NDUFA13,0.12795336993863,1.31049006236825e-06,0.00046707247282872,0.285309,0.157356,0.540373,0.269058
RPL37,0.1867711182875,1.33936319111468e-06,0.00046707247282872,3.550773,3.364002,1,0.991031
ARPC1B,0.233057972628852,1.53976548674701e-06,0.000525025813969915,0.974676,0.741618,0.84472,0.748879
GTF3A,-0.242121761713603,1.94403861907081e-06,0.000648463664587447,1.111685,1.353807,0.881988,0.916293
SKP1,0.238428196056908,1.98982866264361e-06,0.000649615553183055,1.392755,1.154327,0.937888,0.869955
HLA-B,0.252158908481898,2.12127774150746e-06,0.000678101784701884,3.299712,3.047553,1,0.994021
KMT2E,0.203388050247943,2.48024211603086e-06,0.000762992023892606,0.6652,0.461812,0.826087,0.58296
NDUFA3,0.218768907752222,2.48628787764796e-06,0.000762992023892606,0.9222,0.703431,0.888199,0.744395
JTB,-0.247292524554664,2.66086597543277e-06,0.000800555441706676,1.554317,1.80161,0.89441,0.944694
RPL37A,0.176267863369163,3.34511453972074e-06,0.000971674842705729,3.511698,3.33543,1,0.991031
RPL34,0.182948921186056,3.35628041341264e-06,0.000971674842705729,3.446082,3.263133,1,0.99701
EIF5A,-0.265651796147424,3.54544759846137e-06,0.000989537574221925,2.339961,2.605613,0.937888,0.962631
RPS10,0.245920473406567,3.54696080436691e-06,0.000989537574221925,1.231898,0.985978,0.900621,0.819133
IFI6,0.129777711302789,4.20515484154819e-06,0.0011522124265842,0.222402,0.092624,0.310559,0.146487
RPL14,0.146558087013694,4.55846883143871e-06,0.00120029211512646,3.638396,3.491838,1,0.99701
COPE,0.1966424650748,4.57912678192769e-06,0.00120029211512646,0.717865,0.521222,0.832298,0.648729
CARD16,0.0514061587441207,4.61530466582777e-06,0.00120029211512646,0.062756,0.01135,0.10559,0.025411
RPL19,0.11633946096532,5.09533903604325e-06,0.00130304803615079,4.01284,3.8965,1,0.998505
EEF1E1,0.105479571096423,6.07883616787504e-06,0.0015290764288504,0.229362,0.123882,0.447205,0.227205
FAU,0.13356689049498,8.37591451488297e-06,0.00207290374703813,3.211882,3.078315,1,0.99701
TYMP,0.192831387033514,1.06400230440778e-05,0.00257340723969129,0.515552,0.322721,0.565217,0.396114
GMIP,0.105476649864947,1.07337111144579e-05,0.00257340723969129,0.208974,0.103498,0.372671,0.185351
BST2,0.236161286734871,1.1239072969914e-05,0.00265311285615938,0.876164,0.640003,0.801242,0.64275
P4HB,-0.24186362606809,1.3434786761624e-05,0.00312338436470241,1.146133,1.387997,0.857143,0.893871
CH507-9B2.5,0.0729332842923819,1.37353254159464e-05,0.00314559452510869,0.128762,0.055829,0.285714,0.107623
UHRF1,-0.280474708028639,1.69430536593656e-05,0.00377449005650116,0.950299,1.230774,0.763975,0.834081
GSPT1,-0.197485595006876,1.69733976732651e-05,0.00377449005650116,0.487079,0.684564,0.689441,0.714499
EIF4A1,0.161110307824474,1.78411810443298e-05,0.00391078688491709,0.563231,0.402121,0.757764,0.55157
RBM17,-0.210916784989228,1.85851562367159e-05,0.0039755279526042,0.702867,0.913783,0.770186,0.799701
RAB5C,0.0986484904436234,1.86547192770792e-05,0.0039755279526042,0.200943,0.102295,0.397516,0.189836
COX16,0.172781873373714,2.01601957626409e-05,0.00423750744906798,0.64448,0.471698,0.770186,0.612855
IDH2,-0.180136721538783,2.31803194447547e-05,0.00480647056162589,0.331855,0.511992,0.559006,0.594918
RPP21,0.0880840516291328,2.53289331370234e-05,0.00518196200072649,0.174216,0.086132,0.341615,0.15994
HLA-C,0.210446842996701,2.75835013805841e-05,0.00556896375241688,2.771237,2.56079,1,0.995516
ZNF410,0.0542759049555942,2.83239374625536e-05,0.00564418826526522,0.08775,0.033474,0.198758,0.074738
RPL32,0.133429530004262,2.98933602606978e-05,0.00588056051077111,3.965287,3.831858,1,0.99701
