Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.951977777389502,2.25507775206484e-33,3.12689081101311e-29,1.881599,0.929621,0.82235,0.528736
MT-ND3,0.667774821792793,1.18443642083491e-27,8.21169770564843e-24,3.99461,3.326835,0.997135,0.982759
ZNF683,0.917437944997656,3.0380685816388e-26,1.40419529843345e-22,1.248118,0.33068,0.518625,0.140805
RPS27,0.615682913811188,7.9051747421739e-25,2.74032882437458e-21,4.519989,3.904307,0.997135,0.985632
JUN,0.856892682979772,2.81172492048537e-24,7.79747554949002e-21,1.448589,0.591696,0.659026,0.310345
HLA-C,0.518969332839494,1.04412605291543e-22,2.41297530828756e-19,3.877253,3.358284,1,0.979885
HLA-B,0.428949327463444,1.30263584706913e-22,2.58033552220866e-19,4.370521,3.941571,1,0.994253
IFITM1,0.949314099015358,7.36861070921587e-22,1.27716445117484e-18,2.234227,1.284913,0.836676,0.568966
MT-ATP8,0.668101103671907,1.47161238353582e-21,2.14873256055875e-18,3.420806,2.752704,0.979943,0.931034
HLA-E,0.688636454936109,1.54964125238624e-21,2.14873256055875e-18,2.760683,2.072046,0.977077,0.862069
GAPDH,-0.881097400519818,3.75869915508948e-21,4.64786796052493e-18,2.587515,3.468613,0.911175,0.951149
CD52,0.869911374745879,4.02238681135865e-21,4.64786796052493e-18,2.19119,1.321279,0.845272,0.600575
ZFP36L2,0.748801182465841,7.2316669095524e-21,7.71340718214258e-18,1.176742,0.427941,0.541547,0.244253
HLA-A,0.498213977991844,4.77456634178481e-20,4.72886692108487e-17,3.814666,3.316452,1,0.974138
ZBED2,-0.696591768930198,1.51542671803155e-19,1.40086045814836e-16,0.205222,0.901813,0.094556,0.382184
LTA,-0.969260472005963,3.16439391121159e-19,2.74234287330375e-16,0.391518,1.360779,0.140401,0.436782
SPOCK2,0.777498145771076,6.31100041095533e-19,5.1475489234298e-16,1.648364,0.870866,0.727794,0.41954
IL2RA,-0.753267940203376,8.42379684190553e-19,6.48913150054789e-16,0.300077,1.053345,0.123209,0.422414
RPL26,0.717448992927728,9.22184711939941e-19,6.73000695566275e-16,2.352536,1.635087,0.879656,0.75
B2M,0.451140237744597,1.30365147232871e-18,9.03821565765495e-16,4.838145,4.387005,1,0.985632
MTHFD2,-0.590595175222856,1.82519528034982e-18,1.2051503693967e-15,0.266228,0.856823,0.154728,0.436782
GNLY,0.941061948998577,4.2793327829529e-17,2.69714674401931e-14,1.82752,0.886458,0.65616,0.33908
HSP90AB1,-0.893970196331437,4.83395360476747e-17,2.91424350798721e-14,1.469285,2.363255,0.60745,0.781609
RPL30,0.427410077735396,6.50280439567475e-17,3.75699523960108e-14,4.071552,3.644142,0.994269,0.979885
TMSB4X,0.514047987880076,7.89992544710195e-17,4.38161464998062e-14,4.352866,3.838818,0.994269,0.988506
UHRF1,-0.429630502678583,1.30526574232976e-16,6.96108260890172e-14,0.075091,0.504721,0.051576,0.284483
TRGV9,0.693387673038559,1.70570324754743e-16,8.75973378907135e-14,1.362059,0.668672,0.624642,0.327586
RPS15A,0.41989667410495,2.11038492893051e-16,1.04509276516252e-13,3.743226,3.32333,0.997135,0.977011
HSPD1,-0.675198749169586,2.43095180465671e-16,1.1623302663231e-13,0.502648,1.177847,0.26361,0.511494
LAPTM5,0.690307176935555,3.32018650290919e-16,1.53459020164463e-13,2.018671,1.328364,0.848138,0.652299
RPLP0,-0.537880783269437,1.05094949108051e-15,4.70079536881366e-13,3.029604,3.567484,0.974212,0.974138
RPS29,0.599619226491238,2.32464560459897e-15,1.00729799854279e-12,2.934919,2.3353,0.939828,0.885057
BTG1,0.721570590003078,3.5192358533696e-15,1.47871891947948e-12,2.106679,1.385108,0.830946,0.652299
CLIC3,0.594999010623094,6.09007802856919e-15,2.48367711600413e-12,1.047228,0.452229,0.530086,0.218391
POLD2,-0.363869539039082,1.12241563695151e-14,4.4466900634199e-12,0.137113,0.500982,0.100287,0.33908
MALAT1,0.455150167096273,1.16705008957007e-14,4.49508792832737e-12,5.042195,4.587045,1,1
CCL3,-0.914278318274584,1.38915461202635e-14,5.20595077036684e-12,0.380102,1.29438,0.143266,0.364943
FAU,0.364582652036706,1.52281233793436e-14,5.55666207310468e-12,3.470185,3.105603,0.997135,0.974138
FGFBP2,0.665444235669994,1.59135994462881e-14,5.65789666467258e-12,1.118898,0.453454,0.472779,0.198276
PTPRC,0.621212211680237,3.25872477454884e-14,1.12963694309735e-11,1.906645,1.285433,0.845272,0.626437
CXCR4,0.56336435338096,3.43048102613735e-14,1.16017194898587e-11,1.024087,0.460723,0.507163,0.264368
RARRES3,0.628938677009081,4.29477112515497e-14,1.4178880100333e-11,1.317316,0.688377,0.624642,0.324713
MT-ND4L,0.341791779516438,4.49294004717792e-14,1.448534626146e-11,4.323766,3.981975,1,0.991379
RGS16,-0.526701496825995,4.5965327816547e-14,1.448534626146e-11,0.238437,0.765139,0.137536,0.359195
PKM,-0.726473329646369,7.37493035314779e-14,2.2724618728166e-11,0.862086,1.588559,0.395415,0.609195
PTPRCAP,0.400267118512819,8.45481911863189e-14,2.54857656302065e-11,0.558588,0.158321,0.323782,0.100575
FABP5,-0.491180493664534,1.2007586299894e-13,3.54249343902832e-11,0.22793,0.719111,0.123209,0.350575
GARS,-0.462827764498369,1.76983774582319e-13,5.11261878824673e-11,0.283145,0.745973,0.17192,0.416667
CD3D,0.562960742348868,1.84867709153165e-13,5.23137888799548e-11,1.921506,1.358545,0.856734,0.689655
ENO1,-0.710577352004061,5.25206618465519e-13,1.45650299432858e-10,1.132145,1.842722,0.524355,0.683908
CENPM,-0.251358515780361,6.73105429099458e-13,1.83005487841041e-10,0.039867,0.291226,0.034384,0.206897
RPS26,0.292205940691427,8.27571558503325e-13,2.20675139042444e-10,4.238182,3.945976,1,0.994253
AHCY,-0.24978776203208,9.34539072395939e-13,2.44496580714002e-10,0.059498,0.309286,0.054441,0.244253
NPM1,-0.656238872154597,1.06062414745936e-12,2.72344711642065e-10,1.567822,2.224061,0.710602,0.807471
GINS2,-0.283953390327722,1.22599650898889e-12,3.09084865338908e-10,0.084227,0.36818,0.068768,0.258621
BTN3A2,0.498596363691264,1.70626167673388e-12,4.22482578742714e-10,0.953171,0.454575,0.510029,0.252874
