Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
PFN1,-0.699854706380447,2.3449303095619e-37,3.68669943269322e-33,2.229593,2.929448,0.865297,0.93058
MX1,0.42678686421557,1.64626390325634e-28,1.29412805434981e-24,0.664104,0.237317,0.436073,0.203866
COX5A,-0.549203228469209,2.98026856356767e-28,1.56185941188036e-24,0.849296,1.398499,0.557078,0.755712
IFITM1,0.615375375466375,5.79956503201901e-24,2.27951903583507e-20,1.842458,1.227083,0.819635,0.705624
HLA-B,0.472891260976238,8.80825704849522e-24,2.76966834632884e-20,3.896602,3.423711,0.981735,0.97891
HLA-C,0.482708139528652,1.19516177229215e-22,3.13172223066285e-19,3.34385,2.861142,0.972603,0.960457
MT-ATP8,0.489536722307879,5.77647427863335e-22,1.29739612298105e-18,2.931935,2.442399,0.956621,0.942882
RPS2,-0.454567190077297,1.72675532171037e-21,3.3935058959913e-18,3.075308,3.529876,0.949772,0.97188
PTPRCAP,0.205180910077001,6.23077075929495e-21,1.08844642086261e-17,0.262883,0.057703,0.214612,0.066784
RANBP1,-0.419332015098326,8.86816597709208e-21,1.39425305491842e-17,0.597948,1.01728,0.454338,0.660808
HIST1H1E,-0.58942082058494,1.32778280667082e-20,1.89776375331624e-17,0.552081,1.141502,0.36758,0.611599
AC090498.1,0.425350954838517,1.05687902087218e-19,1.29033193204796e-16,1.361119,0.935768,0.737443,0.667838
IFI6,0.36889871178954,1.12005565276132e-19,1.29033193204796e-16,0.645445,0.276547,0.420091,0.23638
HNRNPAB,-0.417859555775854,1.14900439185037e-19,1.29033193204796e-16,0.518039,0.935899,0.401826,0.618629
YBX1,-0.534846918701269,1.88553647291586e-19,1.93036529867116e-16,1.710767,2.245614,0.780822,0.860281
IFI44L,0.20729466989769,1.96449845940329e-19,1.93036529867116e-16,0.274253,0.066958,0.223744,0.058875
RNF213,0.475463131401306,2.05411607376607e-18,1.89969487716177e-15,1.390641,0.915178,0.755708,0.615114
ANP32B,-0.432057389024488,2.52017712557048e-18,2.2012347093455e-15,1.085203,1.51726,0.66895,0.804921
GIMAP7,0.433393883528792,6.7371923272406e-18,5.57484935625667e-15,0.887579,0.454185,0.513699,0.338313
MT-ND3,0.413220825583977,1.5027808737217e-17,1.18133604483263e-14,3.341177,2.927956,0.974886,0.969244
CCT6A,-0.473244505323408,3.51662225480588e-17,2.63277786143133e-14,1.262501,1.735745,0.643836,0.797891
HMGN1,-0.372626181309194,5.78610534481303e-17,3.96088607540204e-14,0.646313,1.018939,0.5,0.68717
HLA-A,0.424601007588981,5.79445234284741e-17,3.96088607540204e-14,3.221302,2.796701,0.974886,0.955185
GAPDH,-0.59311259540405,6.61330927820917e-17,4.33226868633352e-14,3.595695,4.188808,0.945205,0.961336
EIF5A,-0.496754352184532,1.72409521681918e-16,1.08424899995325e-13,1.674237,2.170992,0.73516,0.839192
RPLP0,-0.366065920573071,2.37613057864852e-16,1.43682788298123e-13,3.666863,4.032929,0.965753,0.98594
ISG15,0.319727642996709,4.2883424938159e-16,2.49708595139902e-13,0.592465,0.272737,0.392694,0.240773
IRF7,0.274794110321782,4.80928641062118e-16,2.70041431956379e-13,0.498276,0.223482,0.374429,0.207381
BOLA3,-0.329946000362677,1.42888827634881e-15,7.74654533819172e-13,0.548769,0.878715,0.431507,0.637961
GPX1,-0.401634377232548,2.33600407956648e-15,1.22422187129814e-12,0.838668,1.240302,0.52968,0.70826
UQCRFS1,-0.292163067998935,3.37052795112349e-15,1.70940130476012e-12,0.3767,0.668863,0.36758,0.557118
MRPL37,-0.367276916984022,4.42796014575616e-15,2.17551216911182e-12,0.676063,1.04334,0.472603,0.662566
B2M,0.322903708213856,1.05505788537474e-14,5.02655153753384e-12,4.629291,4.306387,0.990868,0.989455
MRPL41,-0.319535084225246,1.12231853859748e-14,5.18973295994988e-12,0.565094,0.884629,0.474886,0.640598
MCUR1,-0.156341491794125,3.82912560069148e-14,1.68016100680234e-11,0.068251,0.224592,0.093607,0.282953
AC017002.1,0.134448728472811,3.84720749554027e-14,1.68016100680234e-11,0.183216,0.048768,0.180365,0.060633
CALM3,-0.357088765124528,9.83856066366429e-14,4.18059056092243e-11,0.783771,1.140859,0.527397,0.709139
ENO1,-0.503696125983648,1.34307048795994e-13,5.55677742413322e-11,2.08384,2.587536,0.751142,0.863796
RARRES3,0.249973538112248,1.66020630493714e-13,6.6927598785184e-11,0.408487,0.158514,0.267123,0.114236
NUDT4,-0.190407011095891,2.21958286331553e-13,8.72407044426171e-11,0.093558,0.283965,0.130137,0.29877
MRPL11,-0.302859512461303,2.74694901353966e-13,1.05335444855782e-10,0.560324,0.863183,0.426941,0.633568
ATP5G3,-0.415750164213867,3.00114359191877e-13,1.12342808457493e-10,1.381267,1.797018,0.675799,0.796134
MALAT1,0.491287779967951,3.94603930156816e-13,1.44129206237846e-10,4.379733,3.888445,0.981735,0.984183
HLA-E,0.378767027729414,4.03363762528001e-13,1.44129206237846e-10,2.317357,1.93859,0.931507,0.899824
TXN,-0.510039391819018,4.40729250357423e-13,1.53981006091542e-10,1.673661,2.1837,0.684932,0.806678
DDX60,0.157016943439658,5.47236191518281e-13,1.87035813109792e-10,0.218549,0.061532,0.16895,0.057118
FTH1,-0.413794267104973,5.93647371045204e-13,1.98581361012185e-10,2.144253,2.558048,0.835616,0.926186
DAZAP2,0.331547723088104,6.3935330930959e-13,2.09414848520112e-10,1.048339,0.716791,0.69863,0.575571
GZMK,0.231537457754247,7.33575121329896e-13,2.35372817500992e-10,0.278051,0.046514,0.093607,0.020211
JTB,-0.352654919154681,7.90787687410813e-13,2.48655280429456e-10,0.98572,1.338375,0.614155,0.749561
VDAC1,-0.369327871218169,1.15861440804363e-12,3.57171288691411e-10,1.086617,1.455945,0.616438,0.757469
PBXIP1,0.213438009857924,1.47730678774649e-12,4.46658025325968e-10,0.33342,0.119982,0.226027,0.088752
LDHA,-0.467958974566907,1.6019375566315e-12,4.75201174818122e-10,2.069275,2.537233,0.789954,0.86116
TUBA1B,-0.51733000216975,1.64418031609451e-12,4.78700054252553e-10,1.979217,2.496547,0.723744,0.826889
LTB,0.458483478331341,1.89723331555123e-12,5.42332767038116e-10,1.63671,1.178226,0.751142,0.64587
IL10RA,0.261522133167164,2.05289747721285e-12,5.69417100073024e-10,0.498129,0.236607,0.333333,0.202109
HSPD1,-0.486171070614406,2.06441767613296e-12,5.69417100073024e-10,1.792199,2.27837,0.712329,0.813708
IL32,0.518164802744713,2.15714545098424e-12,5.82415685201829e-10,2.114514,1.596349,0.808219,0.704745
NOP10,-0.345955555336571,2.18563321631522e-12,5.82415685201829e-10,0.941087,1.287042,0.586758,0.739016
DTYMK,-0.278352531842846,2.56670552056793e-12,6.72562403239484e-10,0.456047,0.7344,0.372146,0.557996
GSTK1,0.309665900546577,2.97767899364262e-12,7.67460149804087e-10,0.89647,0.586805,0.623288,0.493849
HSPE1,-0.418560318847023,3.48255582370025e-12,8.83108752584119e-10,1.351486,1.770047,0.641553,0.783831
MT1E,-0.356047187738598,3.5592599001305e-12,8.88233081743678e-10,0.48916,0.845207,0.351598,0.52109
PKM,-0.446577356030343,3.70733826160361e-12,9.10730814827062e-10,1.817719,2.264296,0.746575,0.841828
SYNE2,0.314300578446701,3.99932144525109e-12,9.67343565572886e-10,0.667491,0.35319,0.406393,0.274165
SNRNP25,-0.259919784635656,4.87437675733386e-12,1.16113562695156e-09,0.393019,0.652939,0.351598,0.526362
ANAPC11,-0.32391367256957,5.18417931422314e-12,1.21650249519726e-09,0.845906,1.169819,0.554795,0.721441
DUSP4,-0.374688078215627,5.66389871360724e-12,1.30952669963725e-09,0.759937,1.134625,0.468037,0.63884
SLC25A5,-0.422574090304345,5.77945929800234e-12,1.31687911714772e-09,1.371491,1.794065,0.657534,0.774165
MRPS26,-0.280225191354223,6.59692497207559e-12,1.48166934872818e-09,0.470413,0.750638,0.399543,0.588752
PCNA,-0.329899603401367,6.97105860924999e-12,1.54364765429054e-09,0.616342,0.946242,0.420091,0.596661
C11orf31,-0.357335434145859,7.94890042377617e-12,1.73573072864735e-09,1.136418,1.493754,0.641553,0.769772
RAD23A,-0.331234522232805,9.69187849026926e-12,2.0873385427947e-09,1.043809,1.375044,0.621005,0.769772
TCP1,-0.331975527581558,1.25380129621317e-11,2.6638194566302e-09,0.841215,1.173191,0.534247,0.688049
OLA1,-0.269583669278923,1.37417380162324e-11,2.88063473454941e-09,0.512604,0.782187,0.43379,0.598418
UHRF1,-0.307618620170517,1.92170517043053e-11,3.97540114335643e-09,0.438872,0.746491,0.328767,0.509666
SERBP1,-0.385535354945202,1.96343312645537e-11,4.00897345638068e-09,1.536299,1.921834,0.726027,0.818102
JAK1,0.253356857881846,2.0089356412115e-11,4.04929309629836e-09,0.512449,0.259092,0.369863,0.21529
RAB8B,-0.198598813197371,2.55192068626138e-11,5.01675055073249e-09,0.197386,0.395984,0.223744,0.401582
MT2A,-0.534344520576578,2.5527289407111e-11,5.01675055073249e-09,1.458099,1.992443,0.623288,0.750439
LDHB,-0.385010280796143,2.70302583470857e-11,5.24653977448001e-09,1.85587,2.24088,0.785388,0.866432
PGAM1,-0.426229070809615,2.95099428339544e-11,5.65799172238331e-09,1.57645,2.002679,0.675799,0.799649
PDCD5,-0.329057054090079,3.10117182548619e-11,5.87429198075829e-09,1.039012,1.368069,0.598174,0.760984
SMS,-0.279398178521955,3.39736212932525e-11,6.34947275954586e-09,0.506955,0.786353,0.408676,0.582601
RAN,-0.437657963562703,3.44525396371232e-11,6.34947275954586e-09,2.09352,2.531178,0.789954,0.862039
PTPRC,0.377776823112003,3.47318825417214e-11,6.34947275954586e-09,1.295243,0.917467,0.721461,0.618629
NCL,-0.414784048084491,3.52834862556279e-11,6.37617207943657e-09,2.124487,2.539271,0.842466,0.884886
BZW1,-0.325039182733069,3.9736819746981e-11,7.09934409161403e-09,0.867682,1.192721,0.570776,0.710018
SSRP1,-0.300848779843698,4.29602079511466e-11,7.5889931394149e-09,0.743176,1.044024,0.527397,0.673989
