Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.857156648085506,1.19256299900741e-133,1.92217304180015e-129,1.678963,0.821806,0.833333,0.487109
RPS29,0.665187175326553,1.03719369247557e-73,8.35874396766062e-70,2.584748,1.919561,0.950495,0.797586
RPL26,0.662222297619206,4.16036080878428e-72,2.23522318386617e-68,2.223156,1.560934,0.924917,0.709819
RPS10,0.467636882421945,5.49794252738577e-63,2.2153959414101e-59,0.960509,0.492872,0.676568,0.355458
IGHM,0.646400659285108,2.88563938688081e-62,9.30214712754897e-59,1.687099,1.040698,0.855611,0.533187
PTPRCAP,0.291696945010191,6.56373302181978e-60,1.76323748076152e-56,0.411447,0.11975,0.417492,0.128908
NME2,0.475095880865191,6.58085000021742e-59,1.51528771862149e-55,1.052518,0.577422,0.673267,0.39605
ARPC1B,0.447359573653357,1.18131625004976e-56,2.38005691478776e-53,0.946983,0.499624,0.688944,0.345584
IFITM2,0.489470944597568,5.11310067638929e-54,9.15699518911584e-51,1.117218,0.627747,0.714521,0.405376
MT-ATP8,0.47450205508731,1.7893704830393e-52,2.88410734456274e-49,3.047655,2.573153,0.986799,0.923204
ARHGDIB,0.55045247918808,1.17306180789302e-49,1.71885547451088e-46,1.482959,0.932506,0.782178,0.496434
RPS28,0.361803880500925,5.94652148926499e-47,7.98716944699775e-44,3.770081,3.408277,0.990924,0.974767
HMGB1,0.578142159670914,1.07443721661028e-46,1.33213685056342e-43,2.148631,1.570488,0.890264,0.708173
CTSH,0.460508788723823,2.95109893651642e-46,3.39755804705512e-43,1.189732,0.729224,0.734323,0.444323
RPL41,0.394367938495593,1.17347444759457e-45,1.26093740975529e-42,3.53231,3.137942,0.990099,0.961053
MIR155HG,-0.753781315271956,3.19119355991751e-44,3.2147286124219e-41,1.60162,2.355401,0.69967,0.784421
RPS21,0.399126422598738,2.29311139400805e-43,2.17413937933069e-40,3.289389,2.890263,0.986799,0.937466
ATP5I,0.367094750128118,6.24348783455149e-42,5.59069649540561e-39,0.862309,0.495214,0.640264,0.352715
CXCL9,-0.684863507807647,1.99756571661982e-41,1.69456653791991e-38,0.532914,1.217778,0.225248,0.433352
POU2F2,0.419483069961006,2.58362541472162e-41,2.08214372172415e-38,1.011099,0.591616,0.665017,0.375754
CD52,0.42663477798088,1.48058652208683e-40,1.13638540776169e-37,0.831693,0.405058,0.568482,0.26056
CARHSP1,0.262103772242235,4.3426209245142e-40,3.18156200278726e-37,0.433968,0.171864,0.379538,0.148656
SH3BGRL3,0.500578207976419,6.09340016716794e-40,4.27014886497447e-37,1.840802,1.340224,0.871287,0.652222
RPL37,0.357542075977987,4.31393316453656e-39,2.89716561441668e-36,3.55465,3.197108,0.990924,0.958859
TOMM7,0.446926570546079,1.08359520689795e-38,6.98615501791243e-36,1.600395,1.153469,0.857261,0.610532
RPS4Y1,0.481088511570029,2.17077536725998e-38,1.34571374498063e-35,1.842896,1.361808,0.873762,0.651673
CXCL10,-0.798501213117554,3.15621182458662e-38,1.88414156254397e-35,0.806024,1.604525,0.277228,0.498629
MEF2C,0.428881796276292,1.55546845397715e-37,8.95394305042987e-35,1.189146,0.760265,0.74505,0.458585
RPS27,0.324769031721609,2.94371570523862e-37,1.636096887484e-34,4.038542,3.713773,0.992574,0.982995
UQCRB,0.398334608514252,4.86195448634616e-37,2.61216608036425e-34,1.143133,0.744798,0.726898,0.461327
C11orf31,0.451016442140549,5.57629501649316e-37,2.89931364760764e-34,1.51414,1.063123,0.792904,0.571037
TMEM256,0.306948502889733,9.85659453627223e-36,4.96464346048862e-33,0.658251,0.351303,0.536304,0.269885
