Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.567655926916302,4.48439698518547e-28,6.38802350539671e-24,1.257838,0.690182,0.742931,0.42437
ARPC1B,0.439185847540853,1.48584796778434e-23,1.0582952150544e-19,0.836451,0.397265,0.59383,0.263866
RPL26,0.574281996921596,3.54351711806288e-22,1.68258004489352e-18,2.000738,1.426456,0.88946,0.683193
NME2,0.432756970366773,9.99760772849466e-22,3.56039805231016e-18,0.965704,0.532947,0.66581,0.358824
PFN1,-0.508694561827882,6.15422157574106e-20,1.75333772692863e-16,2.46425,2.972944,0.935733,0.922689
TSPO,0.265050517094491,3.70008823834834e-19,8.78462615921202e-16,0.407047,0.141997,0.339332,0.106723
ATP5I,0.361385280371126,1.56718531516856e-17,3.18922211636801e-14,0.786057,0.424672,0.570694,0.294118
CORO1A,0.524289996085747,7.71587742275809e-17,1.37390842358986e-13,1.869985,1.345695,0.866324,0.647059
RPS29,0.475030879100233,3.4217898478113e-15,5.41593293134134e-12,2.265612,1.790581,0.902314,0.77563
PSMA6,0.406718568623957,7.36750358837716e-15,1.04950088616433e-11,1.176276,0.769557,0.714653,0.457983
MT1X,0.259506185190596,1.03325701820153e-14,1.33806783857099e-11,0.479275,0.219768,0.377892,0.167227
RPS10,0.326883939735027,1.17704515094053e-14,1.39725068126232e-11,0.743565,0.416681,0.542416,0.286555
CD19,0.390685488565909,2.6773114021187e-14,2.9337154556293e-11,1.089611,0.698926,0.686375,0.430252
FTH1,-0.520360235523616,4.03829814790096e-14,4.10896836548923e-11,2.593488,3.113848,0.956298,0.940336
HLA-DRB5,0.492938343044239,2.41517463553521e-13,2.29361084554661e-10,2.259819,1.766881,0.933162,0.742017
EEF1G,0.118732559507434,2.7501616818342e-13,2.44850332235801e-10,0.155858,0.037125,0.154242,0.033613
NME1,0.235764208845536,3.26476730767915e-13,2.73568295869938e-10,0.461064,0.2253,0.390746,0.178992
COPE,0.295544422253403,3.97211201004771e-13,3.14348531017387e-10,0.690789,0.395244,0.537275,0.281513
IFITM2,0.328257884541539,6.81243474564744e-13,5.10753331324989e-10,0.776998,0.44874,0.532134,0.296639
IGHM,0.390872025757178,2.26588038592378e-12,1.61387330487421e-09,1.130809,0.739937,0.706941,0.416807
MIF,0.447608501863752,2.59543383891716e-12,1.76056928739881e-09,2.228883,1.781275,0.879177,0.745378
HLA-DPA1,0.426271699991607,1.09054843367661e-11,7.06130110805605e-09,2.694652,2.26838,0.971722,0.847059
PARK7,0.389834131413276,2.17553629168804e-11,1.34741367283027e-08,1.648125,1.258291,0.840617,0.630252
EXOSC4,0.279028450204491,2.95844824664301e-11,1.75596230305957e-08,0.727262,0.448233,0.560411,0.315966
SNRPB,0.338062969365887,3.17249816894211e-11,1.80768945666321e-08,1.078921,0.740858,0.688946,0.448739
MRPS23,0.28181419333969,3.65707662715206e-11,2.00365602129927e-08,0.731661,0.449847,0.570694,0.305042
LY6E,0.383839308599941,4.88342366302242e-11,2.52757148736557e-08,1.430753,1.046914,0.773779,0.559664
PSMB10,0.374235302070665,4.96819948376525e-11,2.52757148736557e-08,1.497982,1.123747,0.832905,0.589916
GYPC,0.341424127629367,6.12945576131766e-11,3.01083094206793e-08,1.061638,0.720214,0.686375,0.426891
BID,0.37655992144868,8.980514298779e-11,4.2642475395369e-08,1.450993,1.074433,0.789203,0.572269
HLA-DQB1,0.420701084499479,1.03359849295488e-10,4.749551784562e-08,1.8429,1.422199,0.868895,0.668908
TOMM7,0.361078681299885,1.08839162971316e-10,4.84504336414498e-08,1.372018,1.01094,0.791774,0.552101
UQCRB,0.308780338765941,1.15289318687121e-10,4.97665558999406e-08,0.906578,0.597798,0.622108,0.378992
CTSH,0.308691551750176,1.54508080174401e-10,6.33702419638637e-08,0.875747,0.567056,0.601542,0.357983
RPS17,0.409310946262694,1.55700840206053e-10,6.33702419638637e-08,2.176559,1.767248,0.884319,0.733613
IFITM1,0.394123698303824,1.66460766146733e-10,6.52003894886523e-08,1.670663,1.276539,0.845758,0.637815
FDPS,0.314631647436053,1.69351661009487e-10,6.52003894886523e-08,0.933346,0.618715,0.634961,0.385714
MEF2C,0.319221476197142,2.7269260558727e-10,9.74478891822324e-08,0.899458,0.580237,0.606684,0.357983
PA2G4,0.383107957293302,2.7314873425454e-10,9.74478891822324e-08,1.771891,1.388783,0.845758,0.652941
CMSS1,0.219525529671126,2.73633946457655e-10,9.74478891822324e-08,0.480072,0.260547,0.403599,0.192437
ATP5G3,0.374371800368127,3.05077505298912e-10,1.05995830804464e-07,1.56173,1.187358,0.802057,0.591597
CYBA,0.327385435337348,3.82375354752839e-10,1.29688974487005e-07,1.057927,0.730541,0.699229,0.435294
HERPUD1,0.372141577944734,4.803547024495e-10,1.59131458985887e-07,1.459281,1.087139,0.81491,0.572269
PSME1,0.362951455379385,5.94566367764357e-10,1.92490861563711e-07,2.347332,1.984381,0.940874,0.810084
PEBP1,0.316690016817009,6.2100922874017e-10,1.96583921408972e-07,1.052238,0.735548,0.673522,0.440336
ATP5J2,0.329237217887917,6.63832770794221e-10,2.05571691738341e-07,1.253444,0.924206,0.748072,0.531092
TPI1,0.404170960067137,7.6600370415827e-10,2.32164314164565e-07,2.029353,1.625182,0.866324,0.689916
RPS4Y1,0.368206743154183,8.31643257908888e-10,2.46807462685669e-07,1.548738,1.180531,0.822622,0.587395
LGALS9,0.179938226241909,8.88501000908639e-10,2.58299933835583e-07,0.334089,0.154151,0.29563,0.110924
HLA-DMA,0.292029541134202,9.210969869865e-10,2.62420531592454e-07,0.76658,0.474551,0.526992,0.293277
ALDOA,0.380877932851101,9.63663818872107e-10,2.69164531369278e-07,2.257179,1.876301,0.904884,0.766387
AP2S1,0.233755738795819,1.06840626494223e-09,2.87933193362013e-07,0.592954,0.359199,0.506427,0.261345
TCF25,0.250835685298529,1.07128531050801e-09,2.87933193362013e-07,0.648195,0.397359,0.514139,0.279832
NDUFB7,0.297608780823175,1.15453089345266e-09,3.04560973652465e-07,0.955604,0.657996,0.640103,0.411765
COX6C,0.345246979395488,1.21360483162922e-09,3.14323651391968e-07,1.549995,1.204748,0.822622,0.622689
SNRPC,0.291501278432106,1.35553333622813e-09,3.44813792403029e-07,0.938193,0.646692,0.627249,0.407563
GSTP1,0.388832501914213,1.59665659966096e-09,3.99024092318778e-07,2.528037,2.139205,0.935733,0.810924
HLA-DRB1,0.402594533818057,1.65952486761653e-09,4.07585029986163e-07,2.499439,2.096845,0.956298,0.821008
MRPL20,0.314361369889889,1.75953264228023e-09,4.24822754055625e-07,1.103805,0.789443,0.694087,0.462185
IGHG3,0.208587012449382,1.85097663306157e-09,4.39452702299368e-07,0.452931,0.244344,0.349614,0.178992
TOMM5,0.303418856296134,2.93440610376211e-09,6.85255982755594e-07,1.034217,0.730798,0.660668,0.439496
EIF4A1,0.215209840938778,4.20792532102418e-09,9.66804777386927e-07,0.510126,0.294916,0.421594,0.214286
FAM162A,0.234075097795675,4.48346136437848e-09,1.01376043072336e-06,0.631992,0.397917,0.488432,0.284034
LDHA,0.380283302929475,5.34276306278921e-09,1.18918218483488e-06,2.191338,1.811055,0.904884,0.734454
NDUFB10,0.270373991169573,5.54005641023375e-09,1.214124670212e-06,0.825149,0.554775,0.588689,0.357983
TRAPPC4,0.215269990323601,5.79655363631701e-09,1.25108949317176e-06,0.54974,0.33447,0.465296,0.248739
NDUFS8,0.248494090399222,9.30900082396351e-09,1.97920472742329e-06,0.724689,0.476195,0.547558,0.321008
C1QBP,0.27821788016642,9.69687529745472e-09,2.03135277370945e-06,0.93256,0.654342,0.627249,0.414286
CBR1,0.195817742812467,1.0113551480563e-08,2.08793537450174e-06,0.437188,0.24137,0.380463,0.177311
ATP5G2,0.334239674413464,1.06395475736084e-08,2.16514793122932e-06,1.830474,1.496234,0.884319,0.706723
EIF3I,0.300314839553216,1.07925111254723e-08,2.16534254904723e-06,1.178087,0.877772,0.730077,0.505882
MRTO4,0.281112865524965,1.20135146161182e-08,2.37684049592504e-06,0.977513,0.6964,0.660668,0.429412
SRP14,0.323001880593578,1.29440525851131e-08,2.52586341198542e-06,2.041078,1.718076,0.912596,0.770588
PTPN6,0.251869072946841,1.52445913435487e-08,2.93458383363313e-06,0.681202,0.429333,0.498715,0.27563
YAF2,0.118359039557096,1.57578330597455e-08,2.99293775914766e-06,0.201489,0.08313,0.200514,0.069748
ATP5J,0.298349095797453,1.64172887297032e-08,3.07716155203451e-06,1.128547,0.830198,0.691517,0.483193
TGFB1,0.267083464020907,1.67807043405107e-08,3.10443030299449e-06,0.83572,0.568636,0.588689,0.366387
ROMO1,0.263954923026145,1.7669344161468e-08,3.22692061000143e-06,0.864755,0.6008,0.611825,0.392437
AURKAIP1,0.289060081186319,1.90569656272385e-08,3.43628449822801e-06,1.103378,0.814318,0.709512,0.484874
DNAJC15,0.250405514426003,2.11283218315935e-08,3.76216180613812e-06,0.747478,0.497073,0.573265,0.331933
COMMD1,0.268648397259267,2.33107992803689e-08,4.09953500924512e-06,0.910674,0.642026,0.650386,0.410924
SLC25A5,0.350863495879905,2.44986972869758e-08,4.2559017421094e-06,1.766993,1.41613,0.812339,0.652941
UQCRQ,0.290520912365951,2.51662420064091e-08,4.25909985770902e-06,1.085031,0.79451,0.681234,0.467227
ATP5G1,0.331866940782007,2.52163176455054e-08,4.25909985770902e-06,1.58106,1.249193,0.809769,0.615126
DAD1,0.293024036163171,2.5414074265024e-08,4.25909985770902e-06,1.125777,0.832752,0.70437,0.486555
HMOX2,0.154568375574865,2.67379821904934e-08,4.42886693376253e-06,0.324437,0.169869,0.313625,0.139496
UBE2L6,0.313243364049618,2.98307108469264e-08,4.85629697887745e-06,1.561926,1.248683,0.838046,0.647059
RBM42,0.202884233793185,3.00002902170036e-08,4.85629697887745e-06,0.507904,0.305019,0.431877,0.22521
FAM96B,0.271605532848195,3.0912158342079e-08,4.94768197284174e-06,0.924008,0.652402,0.640103,0.410924
NDUFA1,0.267612060935984,3.30874598843254e-08,5.22902023022153e-06,0.910246,0.642634,0.642674,0.404202
TKT,0.267407198257793,3.34040604387616e-08,5.22902023022153e-06,0.875547,0.60814,0.604113,0.378992
ECH1,0.0962556312584999,3.41380243686816e-08,5.28582779491162e-06,0.148812,0.052556,0.167095,0.045378
TUBG1,0.13299348430463,3.70894312717515e-08,5.6716993547894e-06,0.258036,0.125043,0.257069,0.106723
