Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
ATP5D,-1.28423677797133,2.19271752493397e-192,3.36012033520882e-188,0.21777,1.502007,0.5,0.926471
PRELID1,-1.24710432171169,6.52634542753719e-142,5.00048586657899e-138,0.582614,1.829718,0.746512,0.948529
NFKBIA,-1.26428354379355,2.92907831184417e-140,1.49617320169e-136,0.697422,1.961706,0.84186,1
MARCKSL1,-1.12175322709817,1.4706084604426e-100,5.63390101195561e-97,0.462019,1.583772,0.702326,0.919118
C17orf89,-0.774077449523922,3.97221033169218e-98,1.21740302245702e-94,0.276062,1.050139,0.569767,0.860294
KRT10,-0.601518323905409,7.49790886833871e-80,1.91496592497371e-76,0.137631,0.73915,0.374419,0.772059
IFNGR2,-0.510297700027119,5.77502232136608e-66,1.26423488646591e-62,0.08521,0.595508,0.248837,0.720588
KDELR2,-0.503040334681449,4.09470849060874e-62,7.84341411376104e-59,0.178279,0.681319,0.432558,0.783088
ARL5A,-0.519375215562012,1.82767993973393e-60,3.1119297107203e-57,0.217916,0.737291,0.497674,0.786765
CYC1,-0.606471243974652,3.70091742139988e-56,5.67128585655317e-53,0.513919,1.12039,0.772093,0.845588
CHCHD10,-0.482476491384493,4.03694800354358e-53,5.62383556420925e-50,0.214516,0.696993,0.490698,0.724265
NME4,-0.508303312067498,1.62577141361505e-52,2.07611009518642e-49,0.212056,0.720359,0.481395,0.735294
STUB1,-0.445977325868957,1.82131088915163e-52,2.14690523579688e-49,0.168578,0.614555,0.409302,0.727941
PCBP2,-0.5211005629434,1.58784335680391e-47,1.73800797140451e-44,1.629452,2.150552,0.972093,0.981618
PPIF,-0.4663287697709,1.8072540773195e-44,1.8462907653896e-41,0.287969,0.754298,0.572093,0.742647
C20orf24,-0.428266887981878,5.64046084949587e-44,5.40215137860467e-41,0.236813,0.66508,0.5,0.738971
TNIP2,-0.40858439305866,4.45780523497445e-43,4.01831808357344e-40,0.19615,0.604734,0.453488,0.716912
BAG1,-0.433023956650422,1.72545496843692e-42,1.46464676891391e-39,0.24329,0.676314,0.525581,0.742647
RELB,-0.399710973180708,1.8159937750825e-42,1.46464676891391e-39,0.119357,0.519068,0.311628,0.691176
BOP1,-0.352965095164522,2.16381276176144e-42,1.65791333806162e-39,0.133659,0.486624,0.369767,0.683824
GRINA,-0.440847908369127,2.17172248904801e-41,1.55707623556713e-38,0.236486,0.677334,0.511628,0.753676
SLBP,-0.521334390198269,2.23542659765577e-41,1.55707623556713e-38,0.326963,0.848298,0.586047,0.727941
AC090498.1,0.513192923938814,2.48406328367856e-41,1.65503416343871e-38,2.066323,1.55313,0.986047,0.930147
SRSF9,-0.38428501286958,1.38239499241787e-40,8.82659202658812e-38,0.185834,0.570119,0.451163,0.676471
PTGES2,-0.411851351816722,1.19779865340581e-39,7.34202662591623e-37,0.217643,0.629494,0.476744,0.713235
TOMM40,-0.394596694813462,6.32897519270317e-39,3.73020060973013e-36,0.246197,0.640793,0.539535,0.742647
C19orf24,-0.374621666099993,3.331484588537e-38,1.89080258647189e-35,0.208011,0.582632,0.481395,0.709559
JAK1,-0.498969077299287,3.70437475895467e-38,2.02735138593648e-35,0.443472,0.942441,0.693023,0.845588
RCN2,-0.293497071134387,4.69334960473192e-38,2.48003066699697e-35,0.063227,0.356724,0.202326,0.569853
PDCD2,-0.329786286512759,5.15750625704651e-37,2.63445419609936e-34,0.154265,0.484051,0.390698,0.669118
CLTB,-0.302627309393418,1.2611310988234e-35,6.23405579302251e-33,0.09084,0.393467,0.272093,0.591912
FAM173A,-0.34964061050221,4.43796739537046e-35,2.12523163645803e-32,0.182971,0.532611,0.439535,0.6875
CRELD2,-0.316212776005421,8.47285988951183e-34,3.93448802869331e-31,0.133532,0.449745,0.360465,0.632353
GET4,-0.2195113619406,1.65819621595656e-32,7.47358788627008e-30,0.017235,0.236746,0.05814,0.426471
PDF,-0.239256870778209,5.66516921167636e-32,2.48037294284939e-29,0.048062,0.287319,0.160465,0.485294
ZYX,-0.308014003508731,5.93851583397806e-32,2.52782823999666e-29,0.119436,0.42745,0.3,0.621324
MTCH1,-0.300246968258952,3.65308912659136e-31,1.51297129124016e-28,0.145226,0.445473,0.386047,0.621324
FAAP20,-0.362678038760785,6.93084674022331e-31,2.7949551433469e-28,0.322899,0.685577,0.618605,0.768382
LYSMD2,-0.250269857743594,6.85516462600274e-30,2.69355237766323e-27,0.069431,0.319701,0.230233,0.511029
HSF1,-0.303519923258547,1.26405312318025e-29,4.84258751490352e-27,0.157307,0.460827,0.409302,0.643382
RPL21,-0.405877915206178,2.52492079636289e-28,9.43704543499146e-26,2.065004,2.470882,0.988372,0.985294
TRAF4,-0.247945161514677,3.03074596218418e-28,1.10578931248834e-25,0.086009,0.333954,0.27907,0.514706
AKR7A2,-0.266814634992286,7.913686123101e-28,2.8202168872186e-25,0.108338,0.375153,0.286047,0.584559
ZNF511,-0.261782588250935,3.54591470688398e-27,1.23494538564296e-24,0.110278,0.372061,0.316279,0.573529
MZT2B,-0.311197942175817,5.3436088689052e-27,1.81967694015785e-24,0.228987,0.540185,0.513953,0.647059
EBPL,-0.193083714337309,6.27095122418324e-27,2.0890447078127e-24,0.039104,0.232187,0.125581,0.441176
C4orf48,-0.280572766884295,6.28493385765909e-26,2.04915588159081e-23,0.155117,0.435689,0.388372,0.606618
HMGA1,-0.548859762222023,1.94161938234827e-25,6.19861987814685e-23,1.254085,1.802945,0.886047,0.897059
VOPP1,-0.355391299479453,2.3403929119111e-25,7.31922060859707e-23,0.377628,0.73302,0.644186,0.772059
TTC39C,-0.272363409170405,7.28575607361194e-25,2.23293852144059e-22,0.1533,0.425664,0.404651,0.566176
SOCS1,-0.235155280678955,8.84567661957845e-25,2.65786565722392e-22,0.028705,0.26386,0.090698,0.404412
TXNL4A,-0.334476238607892,9.90358556496339e-25,2.91851048456729e-22,0.288062,0.622539,0.574419,0.661765
NUDT8,-0.131097165262263,6.82388188807119e-24,1.97300313307175e-21,0.009957,0.141054,0.030233,0.319853
UBE2S,-0.270887118567255,2.84178141050306e-23,8.06434413602756e-21,0.114201,0.385088,0.290698,0.492647
GSR,-0.262015786573607,7.97569409128374e-23,2.22217338645149e-20,0.102263,0.364278,0.27907,0.492647
ATP6V0A2,-0.323908586618166,9.9361609678929e-23,2.71895947628555e-20,0.285958,0.609866,0.548837,0.694853
NME2,0.356134438025988,1.06737546254058e-22,2.86955466455647e-20,1.595822,1.239688,0.976744,0.897059
MAP2K3,-0.222449327830006,8.45321006036195e-22,2.23339639594804e-19,0.092112,0.314561,0.274419,0.511029
KRAS,-0.299372136707784,1.80310886410381e-21,4.6831932599198e-19,0.285756,0.585128,0.567442,0.705882
CBX3,0.370821517836378,2.73575748158856e-21,6.98712460797719e-19,1.163989,0.793167,0.925581,0.75
PARVB,-0.222625975216269,6.00407171137375e-21,1.50830155582117e-18,0.141021,0.363647,0.372093,0.584559
YBX1,-0.410635292923483,1.2309553864118e-20,3.04244521635072e-18,2.596332,3.006967,0.993023,0.981618
GFER,-0.236032029530276,2.33944647574025e-20,5.69042504670532e-18,0.152943,0.388975,0.393023,0.580882
METTL9,-0.226695868883297,8.05578799331267e-20,1.9288577376488e-17,0.150769,0.377465,0.374419,0.573529
RPL41,0.190580786310043,2.86276645137589e-19,6.74908201552064e-17,3.722031,3.53145,1,1
RPL37,0.216137650358288,2.91866867485353e-19,6.77661799597811e-17,3.801989,3.585851,1,0.996324
RBM17,-0.3548353338158,3.77460122733452e-19,8.63313271756331e-17,0.672479,1.027314,0.8,0.819853
EPN1,-0.214650537687189,4.2533775231306e-19,9.58511134771372e-17,0.137686,0.352337,0.388372,0.558824
RSAD1,-0.168210931886854,4.69351086221834e-19,1.04236754279179e-16,0.060561,0.228772,0.2,0.4375
TYMS,-0.394150486078862,7.39601261206682e-19,1.61909281810446e-16,0.305961,0.700112,0.481395,0.540441
C1QBP,-0.386879527755337,8.32747450158725e-19,1.7973270318637e-16,1.444726,1.831606,0.927907,0.944853
NFE2L2,-0.259697147119898,1.41857489214682e-18,3.01920022878582e-16,0.272633,0.53233,0.562791,0.683824
STRADB,-0.133701555573327,2.02171550310233e-18,4.24394087253974e-16,0.038033,0.171734,0.14186,0.349265
FDX1,-0.197045637783117,7.03974410858295e-18,1.45779782053953e-15,0.115422,0.312468,0.318605,0.514706
COPRS,-0.145583551855332,7.60501357972476e-18,1.55385637460936e-15,0.035096,0.180679,0.116279,0.349265
TSR3,-0.143292081243424,8.70956672290162e-18,1.75612369028611e-15,0.05498,0.198272,0.186047,0.415441
SNX3,-0.310166160307733,1.78876675476921e-17,3.55987814936148e-15,0.533448,0.843614,0.75814,0.819853
RPS21,0.227808124359022,1.86030107088782e-17,3.65477610388269e-15,3.511884,3.284076,1,0.985294
