Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.730736378281354,2.64562351887863e-16,3.28374791163216e-12,1.242509,0.511773,0.619658,0.249097
RPS29,0.756245692900207,1.02511764349649e-14,6.36188009553923e-11,2.427979,1.671733,0.931624,0.67509
RPL26,0.725748060701096,1.65339734637031e-13,6.84065595438277e-10,1.849843,1.124095,0.807692,0.509025
MT-ATP8,0.561562601457471,2.08620700945803e-12,6.47350035034825e-09,3.203432,2.641869,0.987179,0.891697
MT-ND3,0.446008668878591,7.31382176023166e-12,1.81558311375991e-08,3.439328,2.99332,0.995726,0.960289
RPS27,0.329900147678805,2.1358379726969e-10,4.41833681951898e-07,4.273782,3.943882,0.995726,0.98556
RPS21,0.463317931571976,4.68544132660469e-09,8.30795682083106e-06,3.011163,2.547845,0.978632,0.891697
RPL41,0.421546908587842,5.38075237902182e-09,8.34823731605235e-06,3.328454,2.906907,0.987179,0.938628
RPS10,0.360536215094489,7.81353056340272e-09,1.07757268169949e-05,0.547098,0.186561,0.324786,0.101083
RPL37,0.385387368941385,1.24197475981712e-08,1.54153907188501e-05,3.345059,2.959671,0.991453,0.942238
ARPC1B,0.421646302838412,4.0494084998247e-08,4.56920529998401e-05,0.771638,0.349992,0.42735,0.180505
FTH1,-0.493040298732542,4.94320664162037e-08,5.11292340298267e-05,2.654967,3.148007,0.935897,0.949458
CTSH,0.462158934876891,6.00969736100286e-08,5.6766618573066e-05,0.977539,0.51538,0.521368,0.252708
IGHM,0.585693045829444,6.40293796344605e-08,5.6766618573066e-05,1.900411,1.314718,0.799145,0.541516
MT-CO3,0.231935822454995,2.33988867919352e-07,0.000193617988574333,4.092014,3.860078,1,1
EIF3K,0.478477749430873,2.87823070641122e-07,0.00022327874704985,1.352335,0.873857,0.679487,0.411552
MT-ND6,0.593342470476833,3.5231887290069e-07,0.000246261765182784,2.301092,1.707749,0.846154,0.631769
PFDN1,0.282828488408288,3.57131145124888e-07,0.000246261765182784,0.408005,0.125177,0.24359,0.064982
RPL23A,0.410964089193022,6.64636472252684e-07,0.000434182520715806,2.969759,2.558795,0.978632,0.873646
SUPT4H1,0.308049690504931,9.4740163664858e-07,0.000587957455704109,0.50491,0.19686,0.299145,0.101083
RPL17,0.359509557201433,1.55602264411183e-06,0.000891726471073587,0.689479,0.32997,0.384615,0.162455
RPS28,0.297632926299529,1.63495049882137e-06,0.000891726471073587,3.628244,3.330612,0.987179,0.971119
POLD4,0.423278545275071,1.68903596065996e-06,0.000891726471073587,0.977376,0.554098,0.508547,0.263538
COX4I1,0.465998681923703,1.78249266618272e-06,0.000891726471073587,2.009585,1.543587,0.867521,0.649819
RPS19,0.237301722710995,1.79609746832418e-06,0.000891726471073587,3.890592,3.65329,0.995726,0.99278
KDELR1,0.288400210800402,2.56075540036245e-06,0.00122246523189611,0.469598,0.181198,0.277778,0.093863
POLR2L,0.348180458139528,6.39190667805389e-06,0.00293838317362981,0.757837,0.409656,0.42735,0.209386
PLAC8,0.306426163616711,6.77572668100507e-06,0.00300358284159411,0.527252,0.220825,0.286325,0.108303
MT-ND5,0.357899538277209,7.55969846881578e-06,0.00323555094465315,3.32486,2.96696,0.995726,0.924188
RPL11,0.248595521064105,1.04311408083134e-05,0.00431571065709286,3.657409,3.408813,0.995726,0.981949
FAU,0.224229963926158,1.33632026186193e-05,0.00535045390007429,3.493148,3.268918,1,0.978339
IGLV1-40,0.331813888171825,1.67644007624576e-05,0.00650249194573822,0.372763,0.040949,0.094017,0.01083
C14orf2,0.326275422618773,1.79357219824553e-05,0.00674600549231015,0.71706,0.390784,0.410256,0.198556
PLD3,0.1460057761649,1.88427296612958e-05,0.0068787047222354,0.168125,0.02212,0.102564,0.01083
TRAPPC1,0.347286611868071,1.95174230165275e-05,0.00692143584231827,0.843672,0.496385,0.474359,0.249097
PFN1,-0.432337115095212,2.23067343754569e-05,0.00750225961915564,1.792584,2.224922,0.786325,0.797834
SNRPD2,0.39778896085666,2.29430787638991e-05,0.00750225961915564,1.191202,0.793413,0.602564,0.364621
SKP1,0.349818911747451,2.29685679606763e-05,0.00750225961915564,0.83853,0.488711,0.461538,0.238267
EEF1B2,0.407131947471014,2.68465961114697e-05,0.00854410130604005,2.385104,1.977972,0.910256,0.754513
RHOH,0.385817160379137,2.75996371667457e-05,0.00856416741284118,1.077558,0.691741,0.547009,0.32852
MT-ND4,0.362676369198193,3.46689965709644e-05,0.0104954045228978,2.841934,2.479258,0.961538,0.862816
ATP5I,0.2509154573728,3.63437372198573e-05,0.0107404396755445,0.444553,0.193638,0.269231,0.093863
MIF,0.402946256666894,4.67362159931362e-05,0.013490463090856,1.312563,0.909617,0.606838,0.418773
ATP5J2,0.341305757114028,4.88416605893344e-05,0.013777788437155,0.880205,0.538899,0.474359,0.267148
RAB1B,0.306846992382787,5.10630113435742e-05,0.0140843132621432,0.684673,0.377826,0.393162,0.184116
RNF13,0.171729724603763,5.22724657753722e-05,0.0141044748957374,0.243219,0.07149,0.153846,0.043321
RPL14,0.313592953026324,5.36950891138619e-05,0.014166487421766,3.084434,2.770841,0.978632,0.913357
RPL34,0.266106921913121,5.5415242165935e-05,0.014166487421766,3.563362,3.297255,0.987179,0.960289
NABP2,0.182722080522268,5.59263522129014e-05,0.014166487421766,0.272821,0.090099,0.175214,0.050542
RPS26,0.188369019613635,5.84446287409125e-05,0.0145082946386441,3.763829,3.57546,0.995726,0.99639
TOMM7,0.390677679612762,7.11220671587073e-05,0.0173091587759583,1.526061,1.135384,0.735043,0.498195
OST4,0.35288370498854,7.81093719943824e-05,0.018644106253736,1.0892,0.736316,0.57265,0.357401
MYL6,0.398430686938425,8.14161035989945e-05,0.0190667297711457,2.032163,1.633732,0.871795,0.646209
MPHOSPH8,0.307947529122206,8.96678744359556e-05,0.0206103269907237,0.727553,0.419605,0.405983,0.209386
PSMA1,0.170237550095563,9.18319732493215e-05,0.0207239718540105,0.243692,0.073454,0.153846,0.039711
RPL18,0.2342529767584,0.000104208216542012,0.0230970068521331,3.397265,3.163012,0.995726,0.963899
ARFGAP2,0.217404008959071,0.000110018651517747,0.0239570439059348,0.378776,0.161372,0.230769,0.083032
FIS1,0.237851164876639,0.000114684099687978,0.0242342603772295,0.460362,0.222511,0.286325,0.119134
PFDN5,0.379155459817132,0.000115196693704201,0.0242342603772295,1.962117,1.582961,0.84188,0.66065
RPL8,0.230415275734033,0.000118309399464634,0.0242795417411268,3.56283,3.332415,1,0.967509
RPS8,0.180398842296673,0.000119324206107697,0.0242795417411268,3.898467,3.718068,0.995726,0.99639
MT-ND4L,0.18182165880778,0.000121847627831551,0.0243931089781486,3.938067,3.756245,1,0.99639
BTF3,0.376748267497627,0.000127689194475579,0.0251567981242998,1.995555,1.618806,0.846154,0.66787
NDUFA3,0.25618947648587,0.000148386007480031,0.0287776113256585,0.524943,0.268753,0.303419,0.137184
RPS16,0.321872887012484,0.000151891551297482,0.0287928297834052,2.875771,2.553898,0.970085,0.870036
RPL22,0.336367975981696,0.000153103993369702,0.0287928297834052,2.472963,2.136595,0.935897,0.815884
NDEL1,0.129233006155183,0.000163517372962254,0.0302922034807089,0.161684,0.032451,0.102564,0.018051
DBI,0.358674927165215,0.000171030120740106,0.0312180273327382,1.18938,0.830705,0.58547,0.386282
BRK1,0.342096078978481,0.000189865191057191,0.033986314237785,1.076599,0.734503,0.564103,0.34657
SQRDL,0.125547600513791,0.000191672735791569,0.033986314237785,0.15392,0.028373,0.094017,0.01444
RPS23,0.164149989860042,0.000209032215358204,0.0365423641834651,4.014743,3.850593,1,0.99639
SNX2,0.300699407496804,0.000220527644539953,0.0377003199703185,0.772146,0.471447,0.42735,0.231047
DLEU2,0.135781143668837,0.000221730853837677,0.0377003199703185,0.175664,0.039883,0.106838,0.021661
RPL37A,0.31782798952989,0.000224932584708707,0.037727881640601,2.808836,2.491008,0.965812,0.859206
C19orf53,0.287867800951216,0.000239847807004361,0.0396932130738417,0.739447,0.451579,0.41453,0.231047
