Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
NFKBIA,-1.60803872525286,1.80286656686995e-11,1.95034105203992e-07,0.879343,2.487382,0.673469,1
AC090498.1,1.13036172844115,1.79091988311261e-07,0.000968708564775611,2.097704,0.967342,0.959184,0.6
JAK1,-1.00821493353162,4.44334777497318e-07,0.00160227120765533,0.543315,1.55153,0.469388,1
KRT10,-0.636319691996996,2.07844594205254e-06,0.00562115705028109,0.10166,0.73798,0.122449,0.666667
ATP5D,-0.494363504364377,5.29676185617838e-06,0.0114600739520275,0.044501,0.538865,0.061224,0.466667
C1QBP,-0.968739842476486,1.59165421548285e-05,0.0286975255051557,0.499118,1.467858,0.387755,0.8
EBPL,-0.417251920700073,2.9132551061149e-05,0.0450222767685013,0,0.417252,0,0.333333
GABARAP,0.904624978376895,4.04683676668688e-05,0.0547233501775233,1.509046,0.604421,0.897959,0.466667
MARCKSL1,-0.881967939730404,5.31046233316964e-05,0.0638317572446991,0.257933,1.139901,0.244898,0.533333
TNIP2,-0.527808864424828,6.52161475930962e-05,0.0648587265883163,0.095218,0.623027,0.102041,0.533333
BOLA1,-0.410382880564449,6.59498976216934e-05,0.0648587265883163,0.016877,0.427259,0.020408,0.333333
VPS4A,-0.384379014352551,7.31116669771968e-05,0.0659101677799429,0.033782,0.418161,0.040816,0.4
RCN2,-0.45605345899556,8.20649092116212e-05,0.0682906298347168,0.042017,0.498071,0.040816,0.4
CCT5,-0.766728547073543,0.000132763646730995,0.102588366452565,0.580526,1.347255,0.530612,0.8
YBX1,-0.840482309075437,0.000143527698065909,0.103512175845134,1.669567,2.510049,0.897959,1
ZNF10,-0.303760498640489,0.000172970955610533,0.116949987362172,0.007915,0.311675,0.020408,0.266667
MT-ATP8,0.543328384963837,0.000195376278760894,0.124328269625609,3.38402,2.840692,1,1
HSF1,-0.441441293962958,0.000209643806270875,0.125995927568796,0.094987,0.536429,0.122449,0.466667
PSMA5,0.755005813618096,0.000241197836722306,0.13733043145589,1.128312,0.373306,0.816327,0.266667
GPATCH3,-0.30486387602326,0.000261331722920597,0.141354328927751,0.048027,0.352891,0.081633,0.4
HSPA9,-0.735117699337651,0.000274877692386763,0.141601279820953,0.5231,1.258217,0.469388,0.8
JCHAIN,-0.398634477942978,0.000304733387290313,0.149845717441209,0.012751,0.411386,0.020408,0.266667
HLA-DPB1,0.699788120976925,0.000326739291094531,0.153681115263506,2.538552,1.838764,1,0.866667
SOCS1,-0.474209004113463,0.000362136137592852,0.163232864019978,0.071228,0.545437,0.061224,0.4
SORD,-0.360115460230379,0.000432194053637895,0.173517248165285,0.053371,0.413486,0.081633,0.4
AP1G1,-0.359065195208503,0.000446377298739004,0.173517248165285,0.074458,0.433523,0.102041,0.466667
BLZF1,-0.476432547439524,0.000447603689687374,0.173517248165285,0.06048,0.536912,0.081633,0.333333
RPL30,0.371930613809706,0.000449111013923828,0.173517248165285,3.917915,3.545985,1,1
RPS28,0.371915811421922,0.000505906928644667,0.188720729450966,4.07511,3.703195,1,1
AKAP8,-0.46153907216325,0.000524067596662897,0.188978775356641,0.091825,0.553364,0.122449,0.4
PMS2,-0.331954441305731,0.000728812623786325,0.247160767972253,0.048539,0.380493,0.081633,0.333333
SPRYD4,-0.406188929202604,0.000731109685257171,0.247160767972253,0.092628,0.498817,0.163265,0.4
HLA-DPA1,0.573763365161664,0.000862714938018849,0.282813642408724,2.928666,2.354903,1,0.933333
DHX29,-0.340462114616315,0.00116632507685944,0.362922193942383,0.0804,0.420862,0.142857,0.4
IFNGR2,-0.491524712893428,0.00117417977333919,0.362922193942383,0.160877,0.652402,0.163265,0.533333
RNF166,-0.157282364368439,0.00123900952278265,0.372322361596186,0,0.157282,0,0.2
ZNF837,-0.187031797568003,0.00134241399371391,0.37972005573895,0,0.187032,0,0.2
PRDM4,-0.183226919174194,0.00137862673206056,0.37972005573895,0,0.183227,0,0.2
NUSAP1,-0.209307142098744,0.00138721864659094,0.37972005573895,0,0.209307,0,0.2
RAB3D,-0.184779262542725,0.00140403052593437,0.37972005573895,0,0.184779,0,0.2
TNF,-0.394126825105576,0.00163563986174395,0.4230411828991,0.065201,0.459328,0.061224,0.333333
PMM1,-0.295567046825577,0.00164242278441137,0.4230411828991,0.008943,0.30451,0.020408,0.2
SLC25A25,-0.261781096458435,0.00174595617366447,0.423396674796307,0,0.261781,0,0.2
NIPA2,0.52168036792554,0.00176419408154682,0.423396674796307,0.61057,0.088889,0.571429,0.133333
UBR2,-0.371992386603842,0.00180114867569174,0.423396674796307,0.069101,0.441094,0.102041,0.333333
UPF1,-0.236236957708994,0.00180835102605281,0.423396674796307,0,0.236237,0,0.2
MDC1,-0.323535524379637,0.00183949378031303,0.423396674796307,0.051879,0.375415,0.061224,0.333333
GINS3,-0.164723332722982,0.00187964715211044,0.42362547690689,0,0.164723,0,0.2
MCU,-0.239757426579793,0.00208658321049353,0.444509139979724,0,0.239757,0,0.2
LASP1,-0.395112153745831,0.00208900654803323,0.444509139979724,0.113716,0.508828,0.142857,0.4
PRKX,-0.299095246540446,0.00209557830827934,0.444509139979724,0.044643,0.343738,0.061224,0.333333
LRRFIP1,-0.652617668416222,0.00220564061838818,0.458858080956219,0.390236,1.042854,0.346939,0.666667
ST6GALNAC3,-0.216444142659505,0.00225711137325857,0.460706242187005,0,0.216444,0,0.2
AKAP17A,-0.428716689469862,0.00241327584837154,0.473354295833404,0.116884,0.545601,0.122449,0.4
HMGN1,-0.632282673582737,0.00242409392624041,0.473354295833404,0.785469,1.417752,0.591837,0.933333
MT-ND4L,0.304452074790492,0.00252079962644128,0.473354295833404,4.014131,3.709679,1,1
DNAJC2,-0.472869627856884,0.00256952509309858,0.473354295833404,0.200634,0.673504,0.22449,0.533333
ZNF267,-0.528151212946899,0.00257038435835938,0.473354295833404,0.331821,0.859972,0.326531,0.666667
ATP6V0A2,-0.554904067597422,0.00260276827387547,0.473354295833404,0.329088,0.883992,0.306122,0.666667
ATP5J2,0.590572008551384,0.0026253704705125,0.473354295833404,1.422086,0.831514,0.918367,0.533333
AGPAT2,-0.22833153406779,0.00272752475633051,0.483710865803008,0,0.228332,0,0.2
RUNX1,-0.227722268039677,0.00299302359501846,0.515302957124801,0.028568,0.256291,0.040816,0.266667
ISG15,0.724668126852335,0.00300093236262363,0.515302957124801,1.344724,0.620056,0.816327,0.533333
ABCD4,-0.184734677295295,0.00308565512583491,0.516200972288808,0.008607,0.193342,0.020408,0.2
HSD17B4,-0.460674162340812,0.0031389327107375,0.516200972288808,0.165742,0.626417,0.142857,0.466667
USP22,-0.402381578919029,0.00314931264291564,0.516200972288808,0.097812,0.500194,0.102041,0.4
WDR59,-0.306346139210421,0.00325523608111462,0.525599163067133,0.066617,0.372963,0.081633,0.333333
ZZZ3,-0.239750779972595,0.00349383065785085,0.547843934791344,0.024137,0.263888,0.040816,0.266667
EHBP1,-0.184263898969508,0.00349429021081556,0.547843934791344,0.009627,0.193891,0.020408,0.2
ZBTB21,-0.220825443705734,0.00360450570356972,0.557050610017389,0.009627,0.230452,0.020408,0.2
PPP4R2,-0.485702388181168,0.00371176224945432,0.565547098797139,0.244092,0.729795,0.265306,0.533333
LRRC40,-0.221278499624356,0.0039207539037611,0.58185308770543,0.03388,0.255158,0.061224,0.266667
RPP38,-0.392603673091551,0.00395977394266342,0.58185308770543,0.128886,0.521489,0.163265,0.4
RP11-37B2.1,-0.320934496363815,0.00402817484273549,0.58185308770543,0.043229,0.364163,0.040816,0.266667
CCDC43,-0.218124534970238,0.00403392323700382,0.58185308770543,0.049821,0.267946,0.081633,0.333333
ELF4,-0.251279188986536,0.00420921241562907,0.597960088616242,0.01783,0.269109,0.020408,0.2
EPSTI1,0.560296391629849,0.00428072468488827,0.597960088616242,0.880529,0.320232,0.673469,0.333333
DBI,0.697033608365222,0.00431141494842548,0.597960088616242,1.441697,0.744664,0.816327,0.466667
INTS2,-0.230905646126286,0.00448530562407911,0.60846689828251,0.009627,0.240532,0.020408,0.2
FAM98B,-0.193847751860716,0.00471973422843644,0.60846689828251,0.016105,0.209953,0.040816,0.2
CLNS1A,0.533183846181753,0.00473561983070143,0.60846689828251,0.776222,0.243038,0.632653,0.266667
GRIPAP1,-0.281316112377205,0.00475523636578952,0.60846689828251,0.068156,0.349472,0.102041,0.333333
ISCA2,0.453877376050365,0.00476833261049036,0.60846689828251,0.453877,0,0.408163,0
TRA2B,0.610514982541402,0.00476892507919324,0.60846689828251,0.948433,0.337918,0.673469,0.266667
