Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
RPS29,0.626599436629231,3.96226702586992e-12,5.39383410231672e-08,2.706369,2.07977,0.958333,0.905738
IFITM1,0.773362093698403,3.17354808909912e-11,1.4507776679175e-07,2.319888,1.546526,0.923611,0.803279
AC090498.1,0.598862995717586,3.19718871942445e-11,1.4507776679175e-07,1.520616,0.921753,0.826389,0.643443
RPL34,0.46597805632811,5.29970728215912e-10,1.8036228808008e-06,3.655877,3.189899,1,0.983607
MT-ATP8,0.459099062180692,2.2542455618038e-08,6.13740896656703e-05,2.936915,2.477816,0.979167,0.954918
MX1,0.524940079610747,3.33346829538965e-08,7.5630839841899e-05,1.106291,0.581351,0.666667,0.409836
RPS27,0.508530252414648,4.40894179691301e-08,8.57413209733955e-05,3.92298,3.414449,0.979167,0.979508
IFI44L,0.303616300198115,6.21073910591121e-08,0.000105683489310962,0.425224,0.121608,0.340278,0.106557
GIMAP7,0.520356711424303,1.27472906078846e-07,0.000159893430475343,1.118508,0.598152,0.645833,0.430328
RPL26,0.499191045231832,1.29148554285527e-07,0.000159893430475343,2.077998,1.578807,0.916667,0.831967
COX5A,-0.47668956237114,1.29202066791212e-07,0.000159893430475343,0.858356,1.335045,0.576389,0.745902
RPL11,0.376343079915571,1.66715811595638e-07,0.000189125195270951,3.671336,3.294993,0.986111,0.983607
ATP1B3,-0.349821217297042,1.840917777362e-07,0.000192772413101761,0.293747,0.643568,0.284722,0.520492
DAZAP2,0.451171335423253,3.9551493182965e-07,0.000381709882566967,1.373209,0.922038,0.847222,0.651639
RPS21,0.356518155292951,4.20601501396056e-07,0.000381709882566967,3.180047,2.823528,0.986111,0.971311
RPS10,0.366600992324302,6.84981986623174e-07,0.000582791236493829,0.838682,0.472081,0.625,0.418033
GIMAP4,0.401598551970498,1.072834962217e-06,0.000817972024574781,0.743903,0.342304,0.486111,0.25
LGALS9,0.235748212119541,1.08157617294836e-06,0.000817972024574781,0.325004,0.089256,0.270833,0.090164
IL2RA,-0.642848127173813,1.47516180051479e-06,0.00104290134041859,1.40814,2.050988,0.576389,0.782787
RNF213,0.483262140724557,1.58186084741748e-06,0.00104290134041859,1.639348,1.156086,0.861111,0.696721
ATP5I,0.370238260371112,1.60882451691695e-06,0.00104290134041859,0.941042,0.570804,0.618056,0.5
OAS1,0.28218376967642,1.98889786988946e-06,0.00123067575921842,0.420677,0.138493,0.305556,0.131148
TSHZ2,0.317890491051589,2.08866341498066e-06,0.00123621630731007,0.521711,0.203821,0.368056,0.184426
RPS26,0.253903421819319,2.88595772224439e-06,0.00157858497645852,3.884131,3.630227,1,0.991803
MT-ND3,0.378396113957864,2.8990394778126e-06,0.00157858497645852,3.263847,2.885451,0.993056,0.971311
RANBP1,-0.364142634422401,3.41652655461637e-06,0.00178881446107664,0.490833,0.854976,0.409722,0.594262
C1orf228,0.185940749278268,3.58486784804506e-06,0.00180743725983101,0.234707,0.048766,0.194444,0.053279
TCF7,0.287134834319244,3.74215647830629e-06,0.00180922090339124,0.444141,0.157006,0.291667,0.143443
HSPD1,-0.574270696017912,3.85421334006802e-06,0.00180922090339124,1.486229,2.0605,0.680556,0.782787
RPS28,0.284149301765937,6.51574414377429e-06,0.00295662750097331,3.677534,3.393385,0.993056,0.983607
RPL41,0.322840697534097,6.86515425273987e-06,0.00296081853633122,3.5039,3.18106,0.993056,0.97541
PFN1,-0.399518600456376,6.95997892915587e-06,0.00296081853633122,2.596526,2.996045,0.951389,0.942623
IFI6,0.441495182596568,8.43628289601448e-06,0.003426945646132,1.049186,0.607691,0.638889,0.413934
