Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
BTG1,1.16106253286588,2.11271209003961e-95,2.96667031683362e-91,2.7915,1.630438,0.971049,0.752887
AC090498.1,1.16541584621057,6.63036327571723e-94,4.65517805588107e-90,2.474514,1.309098,0.94813,0.621247
STK17A,1.1117568097908,8.01264446610865e-91,3.75045178643659e-87,1.671554,0.559797,0.844391,0.316397
YBX1,1.03473054799079,9.90447565420925e-76,3.47696617841016e-72,1.779965,0.745234,0.869723,0.387991
ZFP36L2,1.03563913024968,1.44583879903219e-73,4.060493683202e-70,1.374177,0.338538,0.709288,0.212471
PTPRCAP,0.867433734452995,4.76180428169163e-66,1.11442092872523e-62,1.226186,0.358752,0.710495,0.233256
PNRC1,0.840102050167186,3.82556003943665e-56,7.67407343910991e-53,1.288243,0.448141,0.72497,0.258661
ATP5D,0.647821016617784,2.30602754224101e-53,4.04765484351853e-50,0.72875,0.080929,0.481303,0.050808
RPS10,0.797124346041628,1.29651267477909e-49,2.02284788658311e-46,1.482257,0.685133,0.794934,0.3903
RPL26,0.750175173903576,6.03904185203863e-47,8.48002256863265e-44,3.041744,2.291569,0.979493,0.829099
RPL41,0.446521171505763,1.93687791579306e-45,2.4725126994151e-42,4.334574,3.888053,0.998794,0.993072
RPS29,0.686448756885046,7.0503586796175e-45,8.25009471493242e-42,3.348329,2.661881,0.981906,0.905312
KRT10,0.584828107974338,1.08404804938842e-40,1.17093866996248e-37,0.767263,0.182435,0.510253,0.115473
MT-ATP8,0.565705839805596,2.0927925866653e-40,2.0990709644253e-37,3.3897,2.823994,0.991556,0.942263
MARCKSL1,0.596306441033439,9.83536964053958e-34,9.20721736616379e-31,0.79794,0.201633,0.470446,0.117783
SNHG7,0.532146267180046,1.20382315092987e-32,1.05650529283483e-29,0.71362,0.181473,0.457177,0.115473
C19orf43,0.619957158393308,2.43999338196165e-32,2.01543453350032e-29,1.288161,0.668204,0.735826,0.385681
SNX3,0.538689307034352,3.67208222490205e-30,2.8646321445597e-27,0.888361,0.349672,0.572979,0.214781
BACH2,0.594661288209829,6.04290523990341e-29,4.46602501993283e-26,1.093814,0.499153,0.634499,0.290993
LYSMD2,0.371270612505518,2.57294726225108e-28,1.80646627282648e-25,0.41172,0.04045,0.296743,0.023095
TGFBR2,0.525201655539729,2.86551683198508e-28,1.91607558832069e-25,0.79053,0.265328,0.492159,0.161663
RPS2,0.39949486622529,2.67566921335358e-27,1.70780668608686e-24,3.521953,3.122458,0.992762,0.976905
CHCHD10,0.363051756475499,4.73186599779611e-27,2.88890705830665e-24,0.402772,0.03972,0.28468,0.027714
CYBA,0.556212668987677,1.89255779601616e-26,1.10730402381912e-23,1.10105,0.544837,0.662244,0.300231
NME2,0.498795129731197,2.18689433379853e-26,1.22833480940796e-23,0.828587,0.329791,0.536791,0.200924
PSIP1,0.390788316410775,1.14830172457395e-22,6.20171262171825e-20,0.54874,0.157952,0.382388,0.096998
RPL17,0.550257479045719,2.11454676840995e-22,1.09972095266713e-19,1.564079,1.013822,0.797346,0.52194
BLOC1S4,0.268758198819817,9.49075673627798e-22,4.75961450324341e-19,0.279146,0.010388,0.205066,0.006928
FAM26F,0.429341984562912,2.86185429074587e-21,1.38572958450529e-18,0.683003,0.253661,0.441496,0.152425
C16orf74,0.305163316231996,4.14124151186944e-21,1.91370038518268e-18,0.351844,0.046681,0.247286,0.032333
HPCAL1,0.308895374657989,4.22480500930516e-21,1.91370038518268e-18,0.37562,0.066724,0.276236,0.04157
RPL39,0.214960515778246,1.85788444485875e-18,8.1526291795958e-16,4.21676,4.0018,0.998794,0.993072
RPL37,0.262595540079923,2.34811719533516e-18,9.99159444148373e-16,3.952992,3.690396,0.997587,0.990762
RPL36A,0.495903260866625,7.4863359843807e-18,3.09185676154923e-15,1.813808,1.317905,0.851628,0.632794
JAK1,0.428185890281231,3.08075505132859e-17,1.23599892659303e-14,0.9542,0.526014,0.593486,0.30254
NFKBIA,0.474310565552639,5.99469087708631e-17,2.33826248044572e-14,1.325288,0.850977,0.723764,0.461894
WARS,-0.420819757173721,1.20784105602411e-16,4.58392002937583e-14,0.192437,0.613257,0.097708,0.237875
EEF1G,0.278435210905374,1.48867171551327e-16,5.50103374453615e-14,0.377048,0.098613,0.272618,0.066975
RPS21,0.271601462583582,2.57874179703314e-16,9.28479290101009e-14,3.711835,3.440234,0.996381,0.976905
LAMP1,0.227541022477536,3.66812271826733e-16,1.28769448024775e-13,0.259619,0.032078,0.191797,0.018476
SLBP,0.242467185095742,1.35336117096192e-15,4.63509696649933e-13,0.309535,0.067068,0.231604,0.04157
GGA2,0.377611419492114,2.43777863160833e-15,8.15030655834384e-13,0.799864,0.422252,0.516285,0.256351
C1QBP,0.325527899345963,2.59052564287701e-15,8.45957234355324e-13,0.569578,0.24405,0.404101,0.143187
TMEM165,0.268324645080645,3.83445509868278e-15,1.20337368299192e-12,0.369253,0.100928,0.264174,0.062356
TMEM248,0.239956032554521,3.89897690398428e-15,1.20337368299192e-12,0.307066,0.06711,0.229192,0.04157
