Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC090498.1,0.942650969460988,3.71158761118128e-41,5.03142816571734e-37,1.528985,0.586334,0.697941,0.282051
RPS29,0.83415318639474,7.44251856321328e-28,5.04453908214596e-24,2.58278,1.748627,0.929062,0.674556
MT-ATP8,0.662398176807815,3.14498141781403e-25,1.42111226999623e-21,3.24203,2.579632,0.988558,0.859961
RPL26,0.793709775967519,3.05068488037525e-24,1.03387710595917e-20,2.090439,1.296729,0.839817,0.536489
RPS10,0.515090652827382,2.05527919887168e-22,5.57227296398091e-19,0.781001,0.265911,0.455378,0.143984
RPL41,0.493506986263628,1.53884273782295e-17,3.47675869232133e-14,3.557176,3.063669,0.98627,0.940828
RPS21,0.497021304234186,2.98517672816653e-16,5.78100796100364e-13,3.19743,2.700409,0.979405,0.893491
IGHM,0.649830179529903,4.15246655137653e-16,7.03635457130752e-13,2.011712,1.361882,0.839817,0.542406
LSM7,0.527093779913815,1.02416028184417e-15,1.54261297563106e-12,1.124695,0.597601,0.594966,0.289941
RPL37,0.427828154421256,2.47072885913534e-15,3.34932004144386e-12,3.494057,3.066228,0.988558,0.936884
MT-ND3,0.379280662537589,9.96134252973652e-14,1.22759963030098e-10,3.521764,3.142484,0.990847,0.960552
CTSH,0.48353290027992,1.25157457271559e-13,1.41386207564438e-10,1.071056,0.587523,0.569794,0.280079
STK17A,0.396994464490399,1.86722151586698e-13,1.94708114377637e-10,0.671539,0.274545,0.379863,0.138067
RPS28,0.326014285680859,3.90656540334061e-13,3.73906013149076e-10,3.779051,3.453037,0.988558,0.976331
PTPRCAP,0.310614323613095,4.13734892094728e-13,3.73906013149076e-10,0.46493,0.154315,0.297483,0.084813
RPS27,0.336100675149142,1.21240010191832e-12,1.0272059863503e-09,4.303177,3.967076,0.988558,0.980276
RPL22,0.475942129937269,4.03267571618413e-12,3.21570305932895e-09,2.671573,2.195631,0.949657,0.796844
ARPC1B,0.37983327763435,9.92116094933535e-12,7.47173654606611e-09,0.758852,0.379019,0.457666,0.193294
RPL34,0.347535411569554,1.23199109798342e-11,8.78993227592799e-09,3.740952,3.393416,0.988558,0.956607
COX4I1,0.493321974061772,2.55186735026057e-11,1.72965569000662e-08,2.124178,1.630856,0.878719,0.650888
PFDN1,0.25672700240368,3.13031428507652e-11,2.0206924023094e-08,0.378511,0.121784,0.251716,0.067061
NME2,0.297060508451503,4.20897639057356e-11,2.506014599309e-08,0.498571,0.20151,0.308924,0.116371
C19orf43,0.411255345593164,4.25186897197603e-11,2.506014599309e-08,0.99069,0.579435,0.569794,0.280079
RPL37A,0.463568590334823,5.1754689132429e-11,2.92327735783003e-08,2.883894,2.420326,0.949657,0.816568
ATP5E,0.478888252374188,5.5922517634795e-11,3.03234259622912e-08,2.094244,1.615355,0.878719,0.646943
RPL36A,0.414643813532163,9.43528855887488e-11,4.8887038438622e-08,1.00009,0.585446,0.558352,0.278107
RPL17,0.391214601572829,9.73701709827968e-11,4.8887038438622e-08,0.831728,0.440514,0.462243,0.211045
CYBA,0.408215721229008,2.78160193306222e-10,1.34669270730684e-07,1.011513,0.603297,0.562929,0.282051
C14orf2,0.339892262124314,3.08159548687812e-10,1.44048649724551e-07,0.7007,0.360808,0.430206,0.185404
ATP5J2,0.381997127951861,4.12559080288667e-10,1.86421696413106e-07,0.92423,0.542233,0.530892,0.266272
MIF,0.455492007143982,4.38070423531546e-10,1.9156395681915e-07,1.409768,0.954276,0.670481,0.42998
GABARAP,0.426135920169309,5.45057573899701e-10,2.30900014743261e-07,1.242157,0.816021,0.656751,0.376726
IFITM2,0.423527728566234,5.69167270080292e-10,2.33807015551771e-07,1.156482,0.732954,0.615561,0.333333
OAZ1,0.462935091838407,6.14834158619223e-10,2.45137995713005e-07,1.87488,1.411945,0.82151,0.583826
