gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	celltype_B_cells_memory_activated	celltype_B_cells_naive	celltype_B_cells_naive_activated	celltype_B_cells_oligoclonal	celltype_B_cells_memory	celltype_T_regs	celltype_T8_activated_1	celltype_T_gd	celltype_T4_activated	celltype_NK_CD16_bright	celltype_T4_naive	celltype_T4_memory	celltype_NK_CD16_bright_activated	celltype_T8_memory	celltype_NK_CD56_bright	celltype_NK_CD56_bright_activated	celltype_MAIT_cells	celltype_T8_naive	celltype_MAIT_cells_activated	celltype_T8_activated_2	celltype_Myeloid_cells
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.003	0.002	0.005	0.0	0.0	0.01	0.001	0.016	0.005	0.001	0.059	0.028	0.012	0.007	0.018	0.0	0.034	0.007	0.011	0.01	0.086
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS03DDE0728	0.003	0.002	0.005	0.0	0.0	0.01	0.001	0.016	0.005	0.001	0.059	0.028	0.012	0.007	0.018	0.0	0.034	0.007	0.011	0.01	0.086
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.003	0.002	0.0	0.0	0.0	0.057	0.009	0.026	0.022	0.001	0.051	0.058	0.012	0.025	0.0	0.0	0.012	0.01	0.0	0.027	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS02B77E621	0.003	0.002	0.0	0.0	0.0	0.057	0.009	0.026	0.022	0.001	0.051	0.058	0.012	0.025	0.0	0.0	0.012	0.01	0.0	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.003	0.002	0.005	0.0	0.0	0.01	0.001	0.016	0.005	0.001	0.059	0.028	0.012	0.007	0.018	0.0	0.034	0.007	0.011	0.01	0.086
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS03DDE0728	0.003	0.002	0.005	0.0	0.0	0.01	0.001	0.016	0.005	0.001	0.059	0.028	0.012	0.007	0.018	0.0	0.034	0.007	0.011	0.01	0.086
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.003	0.002	0.005	0.0	0.0	0.01	0.001	0.016	0.005	0.019	0.035	0.028	0.013	0.007	0.018	0.0	0.036	0.007	0.011	0.01	0.086
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.003	0.002	0.005	0.0	0.0	0.01	0.001	0.016	0.005	0.019	0.035	0.028	0.013	0.007	0.018	0.0	0.036	0.007	0.011	0.01	0.086
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.014	0.004	0.0	0.063	0.028	0.011	0.0	0.0	0.0	0.037	0.007	0.0	0.0	0.005
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CS044C546F0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.014	0.004	0.0	0.063	0.028	0.011	0.0	0.0	0.0	0.037	0.007	0.0	0.0	0.005
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.003	0.002	0.0	0.0	0.0	0.057	0.009	0.026	0.022	0.001	0.051	0.058	0.012	0.025	0.0	0.0	0.012	0.01	0.0	0.027	0.015
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS02B77E621	0.003	0.002	0.0	0.0	0.0	0.057	0.009	0.026	0.022	0.001	0.051	0.058	0.012	0.025	0.0	0.0	0.012	0.01	0.0	0.027	0.015
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.003	0.002	0.0	0.0	0.0	0.057	0.009	0.034	0.022	0.024	0.035	0.029	0.019	0.025	0.0	0.0	0.012	0.026	0.0	0.027	0.015
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.003	0.002	0.0	0.0	0.0	0.057	0.009	0.034	0.022	0.024	0.035	0.029	0.019	0.025	0.0	0.0	0.012	0.026	0.0	0.027	0.015
