gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	celltype_NK_CD16_bright	celltype_Monocytes_non-classical	celltype_Monocytes_intermediate	celltype_iNKT_cells	celltype_T4_naive	celltype_TEM_CD8+	celltype_B_cells_memory_activated	celltype_T4_activated	celltype_MAIT_cells	celltype_T_gd	celltype_T_regs	celltype_Monocytes_classical	celltype_B_cells_naive	celltype_Macrophages	celltype_TCM_CD8+	celltype_cDC1	celltype_T4_memory	celltype_TMRA_CD8+	celltype_NK_CD56_bright	celltype_T8_activated	celltype_T8_naive	celltype_Precursor_cells	celltype_NK_CD16_bright_activated	celltype_B_cells_naive_activated	celltype_NK_CD56_bright_activated	celltype_B_cells_memory	celltype_cDC2	celltype_Plasma_cells	celltype_pDC
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.006	0.048	0.026	0.018	0.018	0.012	0.007	0.013	0.011	0.005	0.018	0.04	0.003	0.061	0.015	0.049	0.041	0.002	0.0	0.019	0.018	0.026	0.014	0.005	0.03	0.015	0.01	0.012	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.006	0.048	0.026	0.018	0.018	0.012	0.007	0.013	0.011	0.005	0.018	0.04	0.003	0.061	0.015	0.049	0.041	0.002	0.0	0.019	0.018	0.026	0.014	0.005	0.03	0.015	0.01	0.012	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0F4A9F786	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS03DDE0728	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
